"source","id","name","color","r_color"
"ARC Polyester","Color #10","White","#ECF4FB","aliceblue"
"ARC Polyester","Color #101","Almost Aqua","#CBD1C2","ivory3"
"ARC Polyester","Color #102","Pearl Blue","#AEB9B6","gray71"
"ARC Polyester","Color #1031","Purple","#4B4884","darkslateblue"
"ARC Polyester","Color #104","Medium Blue","#1A6690","deepskyblue4"
"ARC Polyester","Color #107","Surf Spray","#B2BFBD","gray74"
"ARC Polyester","Color #109","Tender Teal","#1E9E89","cyan4"
"ARC Polyester","Color #111","Quarry","#9BA9A5","gray65"
"ARC Polyester","Color #112","Neutral Gray","#889186","gray53"
"ARC Polyester","Color #114","Flint Stone","#6C7C7E","slategray4"
"ARC Polyester","Color #1140","Light Yellow","#EDEDD2","lightyellow2"
"ARC Polyester","Color #1141","Alfalfa","#BDB9A2","bisque3"
"ARC Polyester","Color #1145","Winter Wheat","#E3C498","burlywood2"
"ARC Polyester","Color #1146","Light Green/Yellow","#D3C8A5","lemonchiffon3"
"ARC Polyester","Color #1147","Sand","#C1B99D","bisque3"
"ARC Polyester","Color #1148","Gravel","#C7BA9A","wheat3"
"ARC Polyester","Color #1149","Flint Gray","#A3A28E","gray63"
"ARC Polyester","Color #115","Stormy Sea","#737F7F","gray50"
"ARC Polyester","Color #1152","Dark Fawn","#5F4E40","gray30"
"ARC Polyester","Color #116","Dark Grey","#565E5A","gray35"
"ARC Polyester","Color #1160","Opaline","#FDDBB9","peachpuff"
"ARC Polyester","Color #1163","Medium Blue","#3770A4","steelblue4"
"ARC Polyester","Color #117","Granite","#515250","gray32"
"ARC Polyester","Color #118","Mushroom","#787668","gray46"
"ARC Polyester","Color #1183","Bright Green","#7FD957","darkolivegreen3"
"ARC Polyester","Color #1240","Terra Cotta","#A73B41","indianred4"
"ARC Polyester","Color #1241","Dark Rust Red","#8D3F43","indianred4"
"ARC Polyester","Color #1243","Sepia","#733B3D","indianred4"
"ARC Polyester","Color #1313","Light Grape","#82628B","plum4"
"ARC Polyester","Color #1323","Argyle Purple","#835478","pink4"
"ARC Polyester","Color #1324","Aster Purple","#81749F","lightslategray"
"ARC Polyester","Color #1331","Medium Purple","#535599","mediumpurple4"
"ARC Polyester","Color #134","Orange","#E36732","sienna3"
"ARC Polyester","Color #135","Tangerine","#F3592F","tomato2"
"ARC Polyester","Color #138","Grizzly Turquoise","#2EA59B","lightseagreen"
"ARC Polyester","Color #1386","Gander Green","#487072","skyblue4"
"ARC Polyester","Color #142","Medium Green/Blue","#396276","steelblue4"
