"source","id","name","color","r_color"
"ARC Rayon","Color #10","White","#EAF5FD","aliceblue"
"ARC Rayon","Color #100","Vanilla Ice","#F0F0D8","lightyellow2"
"ARC Rayon","Color #103","Cashmere Blue","#ABBECC","lightsteelblue3"
"ARC Rayon","Color #104","Medium Blue","#31678F","steelblue4"
"ARC Rayon","Color #109","Parrot","#0EA190","cyan4"
"ARC Rayon","Color #110","Jade","#31867A","aquamarine4"
"ARC Rayon","Color #118","Quarry","#A0A9A4","gray64"
"ARC Rayon","Color #120","Dark Grey/Blue","#383F4F","gray25"
"ARC Rayon","Color #122","Dark Grey/Blue","#3B4154","gray25"
"ARC Rayon","Color #123","Petrol Blue","#4A5466","gray33"
"ARC Rayon","Color #126","Dark Turquoise Blue","#007385","deepskyblue4"
"ARC Rayon","Color #129","Enchanted Sea","#31554E","darkslategray"
"ARC Rayon","Color #138","Medium Green/Blue","#5DA49C","cadetblue"
"ARC Rayon","Color #142","Petrol Blue","#466888","skyblue4"
"ARC Rayon","Color #144","Toast","#8E694A","burlywood4"
"ARC Rayon","Color #145","Clayrust","#674D3E","gray30"
"ARC Rayon","Color #146","Medium Brown","#945D3D","lightsalmon4"
"ARC Rayon","Color #15","White","#F4FCFD","mintcream"
"ARC Rayon","Color #157","Isle Green","#008779","turquoise4"
"ARC Rayon","Color #176","Blue/Green","#0098BD","deepskyblue3"
"ARC Rayon","Color #177","Medium Turquoise Blue","#0083AE","turquoise4"
"ARC Rayon","Color #185","Dark Green/Blue","#37726D","steelblue4"
"ARC Rayon","Color #187","Terra Cotta","#AB3B3D","indianred4"
"ARC Rayon","Color #188","Terra Cotta","#AF4A52","maroon"
"ARC Rayon","Color #195","Light Bronze","#C09169","lightsalmon3"
"ARC Rayon","Color #20","Black","#383938","gray22"
"ARC Rayon","Color #213","Dark Rust Red","#934240","indianred4"
"ARC Rayon","Color #214","Red Violet","#B75C6F","indianred"
"ARC Rayon","Color #215","Medium Purple","#A74769","palevioletred4"
"ARC Rayon","Color #216","Dark Brown","#794148","indianred4"
"ARC Rayon","Color #217","Petrol Blue","#474767","gray28"
"ARC Rayon","Color #218","Dark Blue/Green","#3A485E","darkslategray"
"ARC Rayon","Color #219","Pale Beige","#EFD32B","goldenrod1"
"ARC Rayon","Color #234","Sage Green","#A7A881","gray65"
"ARC Rayon","Color #235","Medium Green/Yellow","#586047","gray34"
"ARC Rayon","Color #236","Dark Salmon","#C8484D","indianred3"
"ARC Rayon","Color #237","Medium Green/Yellow","#817E53","lightgoldenrod4"
"ARC Rayon","Color #238","Dark Grey/Green","#52543E","gray32"
"ARC Rayon","Color #239","Olive Drab","#5D7144","darkolivegreen"
"ARC Rayon","Color #240","Water Lilly","#556A50","gray33"
"ARC Rayon","Color #242","Dark Jade Green","#3F5F56","gray34"
"ARC Rayon","Color #243","Dark Green","#86887E","cornsilk4"
"ARC Rayon","Color #244","Trooper","#637273","gray45"
"ARC Rayon","Color #245","Kahki Green","#4D5E53","gray32"
"ARC Rayon","Color #246","Granite","#4B5152","gray32"
"ARC Rayon","Color #247","Granite","#505351","gray32"
"ARC Rayon","Color #254","Canyon Rose","#B06F5C","salmon3"
"ARC Rayon","Color #255","Medium Brown","#A25741","lightsalmon4"
"ARC Rayon","Color #256","Brown","#A56247","lightsalmon4"
"ARC Rayon","Color #257","Brown","#9F5B4B","lightsalmon4"
"ARC Rayon","Color #258","Faded Rose","#BC6651","salmon3"
"ARC Rayon","Color #259","Medium Pink","#D45483","hotpink3"
"ARC Rayon","Color #260","Medium Brown","#A7554B","lightsalmon4"
"ARC Rayon","Color #261","Hot Pink","#D66999","palevioletred"
"ARC Rayon","Color #263","Medium Pink","#C85485","hotpink3"
