"source","id","name","color","r_color"
"Admelody Poly","Color #6001","Powder Pink","#FFBBC1","lightpink"
"Admelody Poly","Color #6002","Salmon Rose","#FC979E","palevioletred1"
"Admelody Poly","Color #6003","Geranium","#B6424B","maroon"
"Admelody Poly","Color #6004","Hibiscus","#CF3A40","brown3"
"Admelody Poly","Color #6005","Fiery Red","#DF2D34","firebrick2"
"Admelody Poly","Color #6006","Calypso Coral","#E24D67","indianred2"
"Admelody Poly","Color #6007","Teaberry","#CE2F52","brown3"
"Admelody Poly","Color #6008","Barberry","#9B213C","brown"
"Admelody Poly","Color #6009","Rose Red","#A72C50","maroon"
"Admelody Poly","Color #6010","Raspberry","#AB3149","maroon"
"Admelody Poly","Color #6011","Crimson","#7E172A","brown4"
"Admelody Poly","Color #6012","Candy Pink","#FA9CC3","pink1"
"Admelody Poly","Color #6013","Carmine Rose","#CF5B90","hotpink3"
"Admelody Poly","Color #6014","Camellia Rose","#E76A94","palevioletred"
"Admelody Poly","Color #6015","Beetroot Purple","#A9265E","maroon"
"Admelody Poly","Color #6016","Fuchsia Purple","#A62C66","maroon"
"Admelody Poly","Color #6017","Baton Rouge","#71214B","violetred4"
"Admelody Poly","Color #6018","Raspberry Rose","#C53D99","maroon3"
"Admelody Poly","Color #6019","Fuchsia Red","#932F77","hotpink4"
"Admelody Poly","Color #6020","Hollyhock","#5F265C","gray36"
"Admelody Poly","Color #6021","Blushing Bride","#FECEDD","mistyrose"
"Admelody Poly","Color #6022","Quartz Pink","#FFBCCC","pink"
"Admelody Poly","Color #6023","Pink Lemonade","#FF96AE","palevioletred1"
"Admelody Poly","Color #6024","Rapture Rose","#C26D80","palevioletred3"
"Admelody Poly","Color #6025","Carmine","#8C465B","palevioletred4"
"Admelody Poly","Color #6026","Beet Red","#5C2338","gray22"
"Admelody Poly","Color #6027","Anemone","#552138","gray22"
"Admelody Poly","Color #6028","Orchid Haze","#94748C","thistle4"
"Admelody Poly","Color #6029","Phlox","#4A2746","gray27"
"Admelody Poly","Color #6030","Purple Passion","#52314C","gray30"
"Admelody Poly","Color #6031","Deep Purple","#3C2837","gray21"
"Admelody Poly","Color #6032","Prune Purple","#34252D","gray18"
"Admelody Poly","Color #6033","Pink Dogwood","#FED8D6","mistyrose2"
"Admelody Poly","Color #6034","Creole Pink","#E9C3BA","bisque2"
"Admelody Poly","Color #6035","Pale Mauve","#BB8F91","rosybrown"
"Admelody Poly","Color #6036","Chutney","#7B4C48","salmon4"
"Admelody Poly","Color #6037","Mellow Mauve","#70575A","gray35"
"Admelody Poly","Color #6038","Mahogany","#5B3C3B","gray23"
"Admelody Poly","Color #6039","Henna","#522720","gray15"
"Admelody Poly","Color #6040","Deep Mahogany","#3B2C2B","gray17"
"Admelody Poly","Color #6041","Flame Orange","#DE6A00","darkorange3"
"Admelody Poly","Color #6042","Orange Peel","#E6600A","darkorange2"
"Admelody Poly","Color #6043","Vermillion Orange","#DD4B0D","orangered2"
"Admelody Poly","Color #6044","Spicy Orange","#D4390B","orangered3"
"Admelody Poly","Color #6045","Mandarin Red","#AD2A15","firebrick"
"Admelody Poly","Color #6046","High Risk Red","#AB1E1D","firebrick"
"Admelody Poly","Color #6047","Flame Scarlet","#AA2324","firebrick"
"Admelody Poly","Color #6048","Aurora Red","#97131B","firebrick4"
"Admelody Poly","Color #6049","Formula One","#851F22","brown4"
"Admelody Poly","Color #6050","Apricot Blush","#FFAAA1","lightpink1"
"Admelody Poly","Color #6051","Peach Amber","#F78876","salmon"
"Admelody Poly","Color #6052","Georgia Peach","#DF6B66","indianred2"
"Admelody Poly","Color #6053","Emberglow","#C24E3D","tomato3"
"Admelody Poly","Color #6054","Paprika","#94322D","tomato4"
"Admelody Poly","Color #6055","Scarlet","#732221","brown4"
"Admelody Poly","Color #6056","Tango Red","#661D21","brown4"
"Admelody Poly","Color #6057","Red Rust","#77212C","brown4"
"Admelody Poly","Color #6058","Deep Claret","#60232D","brown4"
"Admelody Poly","Color #6059","Red Bud","#682135","brown4"
"Admelody Poly","Color #6060","Earth Red","#6F2A3A","indianred4"
"Admelody Poly","Color #6061","Pale Peach","#FCCBA9","peachpuff2"
"Admelody Poly","Color #6062","Spanish Villa","#FACCB0","peachpuff2"
"Admelody Poly","Color #6063","Peach Nectar","#F9AA92","burlywood2"
"Admelody Poly","Color #6064","Shrimp","#EB957D","darksalmon"
"Admelody Poly","Color #6065","Fresh Salmon","#F2744E","coral2"
"Admelody Poly","Color #6066","Sunset","#D55225","tomato3"
"Admelody Poly","Color #6067","Red Clay","#943120","tomato4"
"Admelody Poly","Color #6068","Burnt Ochre","#772F1B","tomato4"
"Admelody Poly","Color #6069","Cinnabar","#723430","coral4"
"Admelody Poly","Color #6070","Pale Tan","#B9977E","rosybrown"
"Admelody Poly","Color #6071","Strawberry Pink","#AE8766","lightsalmon3"
"Admelody Poly","Color #6072","Ginger Bread","#663625","tomato4"
"Admelody Poly","Color #6073","Arabian Spice","#552B1E","gray17"
"Admelody Poly","Color #6074","Tortoise Shell","#624133","coral4"
"Admelody Poly","Color #6075","Friar Brown","#452F25","gray18"
"Admelody Poly","Color #6076","Peach Nougat","#FFB481","lightsalmon"
"Admelody Poly","Color #6077","Butterum","#AE6434","sienna"
"Admelody Poly","Color #6078","Caramel","#AF4B17","sienna"
"Admelody Poly","Color #6079","Rust","#904A27","sienna4"
"Admelody Poly","Color #6080","Amberglow","#8A4026","sienna4"
"Admelody Poly","Color #6081","Mimosa","#DFA430","goldenrod"
"Admelody Poly","Color #6082","Arrowwood","#C18527","peru"
"Admelody Poly","Color #6083","Golden Yellow","#BA770D","darkgoldenrod"
"Admelody Poly","Color #6084","Artisa's Gold","#D68524","peru"
"Admelody Poly","Color #6085","Citrus","#F58D00","darkorange"
"Admelody Poly","Color #6086","Old Gold","#F99300","darkorange"
"Admelody Poly","Color #6087","Marigold","#F09944","tan2"
"Admelody Poly","Color #6088","Radiant Yellow","#D37711","chocolate"
"Admelody Poly","Color #6089","Flax","#E7A55A","sandybrown"
"Admelody Poly","Color #6090","Inca Gold","#A9661D","chocolate3"
"Admelody Poly","Color #6091","Buckthorn Brown","#7C5021","sienna4"
"Admelody Poly","Color #6092","Glazed Ginger","#7A4822","sienna4"
"Admelody Poly","Color #6093","Chipmunk","#6E4E33","salmon4"
"Admelody Poly","Color #6094","Monks Robe","#5B3D23","gray24"
"Admelody Poly","Color #6095","Golden Tan","#D0A85E","burlywood3"
"Admelody Poly","Color #6096","Parsnip","#BEA46B","darkkhaki"
"Admelody Poly","Color #6097","Willow","#918154","lightgoldenrod4"
"Admelody Poly","Color #6098","Fall Leaf","#9F844C","lightgoldenrod4"
"Admelody Poly","Color #6099","Honey","#9F702C","sienna"
"Admelody Poly","Color #6100","Green Sulphur","#987026","goldenrod4"
"Admelody Poly","Color #6101","Pearly Cream","#FAF7DC","cornsilk"
"Admelody Poly","Color #6102","Papyrus","#EAEAC7","cornsilk2"
"Admelody Poly","Color #6103","Rutabaga","#F8ECBD","lemonchiffon2"
"Admelody Poly","Color #6104","Wood Ash","#CABE9C","bisque3"
"Admelody Poly","Color #6105","Glass Green","#D9D9B0","wheat2"
"Admelody Poly","Color #6106","Leomonade","#F9EB86","lightgoldenrod1"
"Admelody Poly","Color #6107","Custard","#FCD870","lightgoldenrod2"
"Admelody Poly","Color #6108","Cornsilk","#F9DE60","lightgoldenrod"
"Admelody Poly","Color #6109","Aurora","#FEDD4E","tan1"
"Admelody Poly","Color #6110","Empire Yellow","#FFE100","gold"
"Admelody Poly","Color #6111","Blazing Yellow","#FDED3C","goldenrod1"
"Admelody Poly","Color #6112","Vibrant Yellow","#FFCE00","gold"
"Admelody Poly","Color #6113","Goldenrod","#FDC438","goldenrod1"
"Admelody Poly","Color #6114","Dandelion","#FFC300","gold"
"Admelody Poly","Color #6115","Freesia","#D1950D","darkgoldenrod3"
"Admelody Poly","Color #6116","Lemon Chrome","#EBA30D","darkgoldenrod2"
"Admelody Poly","Color #6117","Snapdragon","#FFD572","lightgoldenrod2"
"Admelody Poly","Color #6118","Sulphur","#E5B31D","goldenrod2"
"Admelody Poly","Color #6119","Oil Yellow","#9D791B","goldenrod4"
"Admelody Poly","Color #6120","Golden Palm","#9C8200","yellow4"
"Admelody Poly","Color #6121","Orchid Bouquet","#CEBAE2","thistle"
"Admelody Poly","Color #6122","Lavender Herb","#8D759D","thistle4"
"Admelody Poly","Color #6123","Crocus","#9E71A1","gray62"
"Admelody Poly","Color #6124","Iris Orchid","#9365A1","plum4"
"Admelody Poly","Color #6125","Hyacinth","#8C6AAD","mediumpurple3"
"Admelody Poly","Color #6126","Dahlia","#673181","darkorchid4"
"Admelody Poly","Color #6127","Redish Purple","#69266E","darkorchid4"
"Admelody Poly","Color #6128","Amaranth Purple","#481857","gray28"
"Admelody Poly","Color #6129","Clover","#5E325C","gray36"
"Admelody Poly","Color #6130","Grape Juice","#4B3255","gray29"
"Admelody Poly","Color #6131","Pastel Lilac","#9A99C7","slategray3"
"Admelody Poly","Color #6132","Violet Tulip","#7981B5","lightslategray"
"Admelody Poly","Color #6133","Passion Flower","#5B4B93","mediumpurple4"
"Admelody Poly","Color #6134","Helliotrope","#3F2975","slateblue4"
"Admelody Poly","Color #6135","Black Purple","#2E266A","midnightblue"
"Admelody Poly","Color #6136","Gentian Violet","#302A55","gray19"
"Admelody Poly","Color #6137","Darkest Purple","#302A41","gray19"
"Admelody Poly","Color #6138","Lupine","#9E8CB6","gray62"
"Admelody Poly","Color #6139","Plum Gray","#716F86","lightsteelblue4"
"Admelody Poly","Color #6140","Mysterioso","#212129","gray13"
"Admelody Poly","Color #6141","Baby Blue","#ACD6F0","lightblue"
"Admelody Poly","Color #6142","Powder Blue","#97C0E4","lightblue3"
"Admelody Poly","Color #6143","Angel Falls","#94C5EA","skyblue"
"Admelody Poly","Color #6144","Dusk Blue","#73ACD0","skyblue3"
"Admelody Poly","Color #6145","Placid Blue","#7CAFDE","skyblue2"
"Admelody Poly","Color #6146","Azure Blue","#407EBB","steelblue"
"Admelody Poly","Color #6147","Turkish Sea","#265392","royalblue4"
"Admelody Poly","Color #6148","True Blue","#12386A","midnightblue"
"Admelody Poly","Color #6149","Grapemist","#6589CA","steelblue3"
"Admelody Poly","Color #6150","Baja Blue","#546BAE","steelblue"
"Admelody Poly","Color #6151","Blue Iris","#404995","darkslateblue"
"Admelody Poly","Color #6152","Clematis Blue","#212A72","midnightblue"
"Admelody Poly","Color #6153","Dazzling Blue","#203B78","royalblue4"
"Admelody Poly","Color #6154","Bright Navy","#1C2E64","midnightblue"
"Admelody Poly","Color #6155","Blueprint","#1B2E54","midnightblue"
"Admelody Poly","Color #6156","Mazarine Blue","#232C50","gray17"
"Admelody Poly","Color #6157","True Navy","#1B2F4E","gray18"
"Admelody Poly","Color #6158","Insignia Blue","#1D2F40","gray18"
"Admelody Poly","Color #6159","Mood Indigo","#1D2832","gray16"
"Admelody Poly","Color #6160","Eclipse Blue","#1D232E","gray14"
"Admelody Poly","Color #6161","Light Turquoise","#60BEDE","steelblue2"
"Admelody Poly","Color #6162","Dresdon Blue","#0086BA","deepskyblue3"
"Admelody Poly","Color #6163","Blue Aster","#005F96","deepskyblue4"
"Admelody Poly","Color #6164","Victoria Blue","#00548F","deepskyblue4"
"Admelody Poly","Color #6165","Campanula","#1F619D","steelblue4"
"Admelody Poly","Color #6166","Strong Blue","#07427D","dodgerblue4"
"Admelody Poly","Color #6167","Moonlight Blue","#143150","darkslategray"
"Admelody Poly","Color #6168","Winter Sky","#86A6B5","gray65"
"Admelody Poly","Color #6169","Blue Bell","#7DA9C7","skyblue3"
"Admelody Poly","Color #6170","Coronet Blue","#5983A7","steelblue"
"Admelody Poly","Color #6171","Niagra","#4181A4","steelblue"
"Admelody Poly","Color #6172","Cendre Blue","#37698B","steelblue4"
"Admelody Poly","Color #6173","Storm Blue","#2F748B","steelblue4"
"Admelody Poly","Color #6174","Citadel","#446473","steelblue4"
"Admelody Poly","Color #6175","Ink Blue","#184B5E","darkslategray"
"Admelody Poly","Color #6176","Federal Blue","#254D72","royalblue4"
"Admelody Poly","Color #6177","Stellar Blue","#184663","darkslategray"
"Admelody Poly","Color #6178","Dark Denim","#233F55","darkslategray"
"Admelody Poly","Color #6179","Indian Teal","#1A3641","gray21"
"Admelody Poly","Color #6180","Black Iris","#1B2B38","gray17"
"Admelody Poly","Color #6181","Birch","#D1C8B1","cornsilk3"
"Admelody Poly","Color #6182","Feather Gray","#B4A791","rosybrown"
"Admelody Poly","Color #6183","Apricot Gelao","#F8D8A0","burlywood1"
"Admelody Poly","Color #6184","Almond Buff","#CFB58E","tan"
"Admelody Poly","Color #6185","Lark","#AE9063","lightsalmon3"
"Admelody Poly","Color #6186","Tan","#A3845F","navajowhite4"
"Admelody Poly","Color #6187","Doe","#8E7A5F","navajowhite4"
"Admelody Poly","Color #6188","Dried Tobacco","#75582A","tan4"
"Admelody Poly","Color #6189","Apricot Illusion","#F9CF9F","navajowhite2"
"Admelody Poly","Color #6190","Sheepskin","#D5B38F","tan"
"Admelody Poly","Color #6191","Biscuit","#A27548","burlywood4"
"Admelody Poly","Color #6192","Simply Taupe","#867E70","bisque4"
"Admelody Poly","Color #6193","Natural","#8A7566","peachpuff4"
"Admelody Poly","Color #6194","Partridge","#675448","gray33"
