"source","id","name","color","r_color"
"Admelody Rayon","Color #101","Pearly Cream","#F7F2DE","beige"
"Admelody Rayon","Color #102","Peach Cloud","#E7D5C3","bisque2"
"Admelody Rayon","Color #103","Palest Peach","#F6D7CA","antiquewhite2"
"Admelody Rayon","Color #104","Sandy Peach","#E1B4A6","rosybrown2"
"Admelody Rayon","Color #105","Light Salmon","#F8C3B3","rosybrown1"
"Admelody Rayon","Color #106","Salmon","#EA9C8F","darksalmon"
"Admelody Rayon","Color #107","Deep Coral","#E77D6D","salmon2"
"Admelody Rayon","Color #108","Coral Rose","#E57E6A","salmon2"
"Admelody Rayon","Color #109","Orange","#BE5046","coral3"
"Admelody Rayon","Color #110","Rust","#962D2F","brown"
"Admelody Rayon","Color #111","Bright Orange","#E1500F","orangered2"
"Admelody Rayon","Color #112","Pumpkin Orange","#F16E0F","darkorange2"
"Admelody Rayon","Color #113","Copper","#E9744F","coral2"
"Admelody Rayon","Color #114","Sunset","#D96537","sienna3"
"Admelody Rayon","Color #115","Golden Glory","#C1552D","tomato3"
"Admelody Rayon","Color #116","Solell","#FA941F","chocolate1"
"Admelody Rayon","Color #117","Wild Carrot","#F98712","darkorange"
"Admelody Rayon","Color #118","Pale Lemon","#F4E58F","khaki"
"Admelody Rayon","Color #119","Saffron","#F1D882","lightgoldenrod2"
"Admelody Rayon","Color #120","Snapdragon","#FAD25E","sandybrown"
"Admelody Rayon","Color #121","Popcorn","#FEDE7C","lightgoldenrod"
"Admelody Rayon","Color #122","Cornsilk","#FBDC72","lightgoldenrod2"
"Admelody Rayon","Color #123","Buttered Popcorn","#FDC84E","tan1"
"Admelody Rayon","Color #124","Orangeade","#FFC00C","darkgoldenrod1"
"Admelody Rayon","Color #125","Dark Orangeade","#FFB918","darkgoldenrod1"
"Admelody Rayon","Color #126","Lt. Golden Tan","#EFB25D","sandybrown"
"Admelody Rayon","Color #127","Persimmon","#EBA140","tan2"
"Admelody Rayon","Color #128","Gold","#D79E46","tan2"
"Admelody Rayon","Color #129","Sunburst","#CA8945","peru"
"Admelody Rayon","Color #130","Marigold","#EF9344","tan2"
"Admelody Rayon","Color #131","Yellow Cream","#F9FADD","cornsilk"
"Admelody Rayon","Color #132","Mellow Yellow","#FAF4BD","wheat1"
"Admelody Rayon","Color #133","Lime","#EDE31B","yellow2"
"Admelody Rayon","Color #134","Light Yellow","#F9ED7A","lightgoldenrod1"
"Admelody Rayon","Color #135","Soft Yellow","#F8E655","khaki2"
"Admelody Rayon","Color #136","Yellow","#F0E750","khaki2"
"Admelody Rayon","Color #137","Yellow Finch","#FBE214","gold"
"Admelody Rayon","Color #138","Mimosa","#F8CC5F","sandybrown"
"Admelody Rayon","Color #139","Dark Lemon","#F8D817","gold"
"Admelody Rayon","Color #140","Daffodil","#FDCB00","gold"
"Admelody Rayon","Color #141","Powder Pink","#F9E3E9","mistyrose"
"Admelody Rayon","Color #142","Sugar Pink","#EAB7D5","thistle"
"Admelody Rayon","Color #143","Delicate Mauve","#E0B7D4","thistle"
"Admelody Rayon","Color #144","Palest Pink","#D5ACCE","thistle3"
"Admelody Rayon","Color #145","Lt. Red Violet","#B98BAB","rosybrown"
"Admelody Rayon","Color #146","Rosie Pink","#B974A5","rosybrown"
"Admelody Rayon","Color #147","Clematis","#AE5594","hotpink3"
"Admelody Rayon","Color #148","Rose Splash","#A32363","maroon"
"Admelody Rayon","Color #149","Wild Rose","#9D4374","orchid4"
"Admelody Rayon","Color #150","Dark Wild Rose","#74214A","violetred4"
"Admelody Rayon","Color #151","Raspberry","#7F2653","violetred4"
"Admelody Rayon","Color #152","Bilberry","#681E40","violetred4"
"Admelody Rayon","Color #153","Deep Bilberry","#631C36","brown4"
"Admelody Rayon","Color #154","Claret","#651F2D","brown4"
"Admelody Rayon","Color #155","Burgundy","#5E1E39","gray22"
"Admelody Rayon","Color #156","Maroon","#541F2F","gray18"
"Admelody Rayon","Color #157","Plum Wine","#5C1B33","gray20"
"Admelody Rayon","Color #158","Rich Burgundy","#511C23","gray14"
"Admelody Rayon","Color #159","Eggplant","#492533","gray20"
"Admelody Rayon","Color #160","Black Wine","#321E21","gray13"
"Admelody Rayon","Color #161","Eggshell White","#EEECDB","ivory2"
"Admelody Rayon","Color #162","Palest Fawn","#F1DAC1","bisque2"
"Admelody Rayon","Color #163","Creamy White","#E0D6BE","bisque2"
"Admelody Rayon","Color #164","Coffee Cream","#C3B49B","bisque3"
"Admelody Rayon","Color #165","Victorian Rose","#C8AEA3","bisque3"
"Admelody Rayon","Color #166","Pink Cloud","#DDB3B2","rosybrown2"
"Admelody Rayon","Color #167","Bronze","#C5988E","rosybrown"
"Admelody Rayon","Color #168","Blush","#CA9396","lightpink3"
"Admelody Rayon","Color #169","Pale Mauve","#9C7777","mistyrose4"
"Admelody Rayon","Color #170","Pale Wine","#966569","rosybrown4"
"Admelody Rayon","Color #171","Mocha Rose","#734041","indianred4"
"Admelody Rayon","Color #172","Rusty Plum","#672F2E","tomato4"
"Admelody Rayon","Color #173","Plum","#592F29","gray18"
"Admelody Rayon","Color #174","Petal Pink","#DC9ABF","plum3"
"Admelody Rayon","Color #175","Rose Pink","#D37BAA","palevioletred2"
"Admelody Rayon","Color #176","Sunset Pink","#C0809F","pink3"
"Admelody Rayon","Color #177","Desert Rose","#BA708B","palevioletred3"
"Admelody Rayon","Color #178","Dusty Rose","#AE476A","maroon"
"Admelody Rayon","Color #179","Pink Rose","#D1639E","hotpink3"
"Admelody Rayon","Color #180","Magenta","#C34181","violetred3"
"Admelody Rayon","Color #181","Fiesta Pink","#D64B6C","indianred"
"Admelody Rayon","Color #182","Scarlet","#CB364A","brown3"
"Admelody Rayon","Color #183","Ruby","#B41D1E","firebrick"
"Admelody Rayon","Color #184","True Red","#BF2920","firebrick"
"Admelody Rayon","Color #185","Red","#BB271F","firebrick"
"Admelody Rayon","Color #186","Firecracker","#C3321A","firebrick3"
"Admelody Rayon","Color #187","Cherry Red","#AC1D28","firebrick"
"Admelody Rayon","Color #188","Baked Cherry","#951320","firebrick4"
"Admelody Rayon","Color #189","Carmine","#94131F","firebrick4"
"Admelody Rayon","Color #190","Red Wine","#722829","brown4"
"Admelody Rayon","Color #191","Wine","#782120","brown4"
"Admelody Rayon","Color #192","Antique Red","#A23B4D","indianred4"
"Admelody Rayon","Color #193","Brandy","#9D2345","violetred4"
"Admelody Rayon","Color #194","Crimson","#A51D37","brown"
"Admelody Rayon","Color #195","Chili Pepper","#971A33","brown4"
"Admelody Rayon","Color #196","Grenadine","#8A1629","brown4"
"Admelody Rayon","Color #197","Brick","#8E1824","brown4"
"Admelody Rayon","Color #198","Bronze Red","#7B2028","brown4"
"Admelody Rayon","Color #199","Dark Rust","#631C24","brown4"
"Admelody Rayon","Color #200","Cranberry","#5F2022","brown4"
"Admelody Rayon","Color #201","Passion Pink","#DB76B0","palevioletred"
"Admelody Rayon","Color #202","Bright Pink","#C3417E","violetred3"
"Admelody Rayon","Color #203","Madcap Pink","#C13F7F","violetred3"
"Admelody Rayon","Color #204","Lipstick Pink","#CB4881","violetred3"
"Admelody Rayon","Color #205","Pink Rapture","#CE4673","violetred3"
"Admelody Rayon","Color #206","Cerise","#BD225C","maroon"
"Admelody Rayon","Color #207","Fuchsia","#A22261","maroon"
"Admelody Rayon","Color #208","Pink Lady","#B13560","maroon"
"Admelody Rayon","Color #209","Light Fuchsia","#AB2F5D","maroon"
"Admelody Rayon","Color #210","Hot Pink","#BD2854","maroon"
"Admelody Rayon","Color #211","Blood Red","#871635","brown4"
"Admelody Rayon","Color #212","Old Burgundy","#7D152D","brown4"
"Admelody Rayon","Color #213","Pink Blush","#E889A8","palevioletred2"
"Admelody Rayon","Color #214","Pink Mist","#E17796","palevioletred"
"Admelody Rayon","Color #215","Light Cerise","#D8687F","palevioletred3"
"Admelody Rayon","Color #216","Pink","#D66792","palevioletred"
"Admelody Rayon","Color #217","Pink Aster","#CD4D77","violetred3"
"Admelody Rayon","Color #218","Pink Carnation","#C44476","violetred3"
"Admelody Rayon","Color #219","Dusty Pink","#D8767F","palevioletred"
"Admelody Rayon","Color #220","Deep Pink","#C13B5A","maroon"
"Admelody Rayon","Color #221","White Whisper","#F4F6DF","beige"
"Admelody Rayon","Color #222","Palest Ivory","#F6F8F0","gray96"
"Admelody Rayon","Color #223","Pale White","#F3F6EE","gray95"
"Admelody Rayon","Color #224","Bright White","#D5E2FF","lightsteelblue1"
"Admelody Rayon","Color #225","Dove White","#EFF4FF","aliceblue"
"Admelody Rayon","Color #226","White","#E2E9FF","lavender"
"Admelody Rayon","Color #227","Black","#1D2222","gray13"
"Admelody Rayon","Color #228","Grey Mist","#C3CCC1","honeydew3"
"Admelody Rayon","Color #229","Blue Foam","#B6CCC6","lightcyan3"
"Admelody Rayon","Color #230","Green Shadow","#7D9190","lightcyan4"
"Admelody Rayon","Color #231","Dusty Green","#AFCDB2","gray70"
"Admelody Rayon","Color #232","Seafoam Grey","#ABCCBE","lightcyan3"
"Admelody Rayon","Color #233","Sea Green","#8AA28F","gray56"
"Admelody Rayon","Color #234","Slate Grey","#89A08E","gray56"
"Admelody Rayon","Color #235","Grecian Green","#57735F","gray37"
"Admelody Rayon","Color #236","Slate Green","#597660","gray38"
"Admelody Rayon","Color #237","Teal","#435D48","gray28"
"Admelody Rayon","Color #238","Forest Green","#2B4335","gray21"
"Admelody Rayon","Color #239","Pine Green","#2C4D3B","darkslategray"
"Admelody Rayon","Color #240","Spruce Green","#274130","gray19"
"Admelody Rayon","Color #241","Soft Pale Green","#A6BEB0","gray69"
"Admelody Rayon","Color #242","Bright Mint","#A8E8CA","darkseagreen2"
"Admelody Rayon","Color #243","Wintermint","#8AC6B5","cadetblue3"
"Admelody Rayon","Color #244","Mint","#AADAC6","lightcyan3"
"Admelody Rayon","Color #245","Peppermint","#8BD3C4","paleturquoise3"
"Admelody Rayon","Color #246","Aqua","#68C0AE","aquamarine3"
"Admelody Rayon","Color #247","Lido","#339481","aquamarine4"
"Admelody Rayon","Color #248","Blue Turquoise","#009E8C","cyan4"
"Admelody Rayon","Color #249","Aztec Blue","#15A48C","cyan4"
"Admelody Rayon","Color #250","Regend Green","#008E7B","cyan4"
"Admelody Rayon","Color #251","Tropical Green","#006E59","springgreen4"
"Admelody Rayon","Color #252","Lt. Sea Green","#4EAE8B","darkslategray4"
"Admelody Rayon","Color #253","Dk. Sea Green","#007858","springgreen4"
"Admelody Rayon","Color #254","Emerald","#008A51","springgreen4"
"Admelody Rayon","Color #255","Green","#1D7D43","springgreen4"
"Admelody Rayon","Color #256","Festive Green","#177343","springgreen4"
"Admelody Rayon","Color #257","Jade","#0A7E60","springgreen4"
"Admelody Rayon","Color #258","Light Green","#3A8E4C","seagreen"
"Admelody Rayon","Color #259","Northern Pine","#4E863F","palegreen4"
"Admelody Rayon","Color #260","Clear Green","#58924F","palegreen4"
"Admelody Rayon","Color #261","Lt. Celery","#BCDA8D","darkolivegreen2"
"Admelody Rayon","Color #262","After Dinner Mint","#C3E7A1","darkseagreen2"
