"source","id","name","color","r_color"
"Anchor","Color #1","Snow White","#FFFFFF","white"
"Anchor","Color #2","White","#FFFFFF","white"
"Anchor","Color #6","Salmon Very Light","#FFC4B8","rosybrown1"
"Anchor","Color #8","Salmon Light","#FFC68C","burlywood2"
"Anchor","Color #9","Salmon Medium Light","#FF9D90","lightsalmon"
"Anchor","Color #10","Salmon Medium","#FF8087","lightcoral"
"Anchor","Color #11","Salmon Medium Dark","#ED455A","indianred2"
"Anchor","Color #13","Salmon Dark","#DB1855","deeppink3"
"Anchor","Color #22","Burgundy Very Dark","#995C30","sienna"
"Anchor","Color #23","Carnation Ultra Light","#FFEAEB","seashell"
"Anchor","Color #24","Carnation Very Light","#FFB1AE","lightpink1"
"Anchor","Color #25","Carnation Light","#FFD3D4","mistyrose2"
"Anchor","Color #26","Carnation Medium Light","#FF8CBF","palevioletred1"
"Anchor","Color #27","Carnation Medium","#FFC2BF","rosybrown1"
"Anchor","Color #41","Carmine Rose Medium Light","#F3959D","lightpink2"
"Anchor","Color #28","Carnation Medium Dark","#CC3377","violetred3"
"Anchor","Color #29","Carnation Dark","#E60066","deeppink3"
"Anchor","Color #31","Blush Light","#FED4DB","mistyrose"
"Anchor","Color #33","Blush Medium","#FF806D","salmon"
"Anchor","Color #35","Blush Dark","#FF555B","coral1"
"Anchor","Color #36","Blossem Pink Light","#FF9D96","lightsalmon"
"Anchor","Color #38","Blossem Pink Dark","#DB244F","brown3"
"Anchor","Color #40","Carmine Rose Light","#FF6D73","indianred1"
"Anchor","Color #42","Carmine Rose Medium","#D62B5B","violetred3"
"Anchor","Color #43","Carmine Rose Medium Dark","#A6005B","deeppink4"
"Anchor","Color #45","Carmine Rose Dark","#A20058","deeppink4"
"Anchor","Color #46","Crimson Red","#D52756","violetred3"
"Anchor","Color #47","Carmine Red","#E71261","deeppink2"
"Anchor","Color #48","China Rose Very Light","#FFEAEB","seashell"
"Anchor","Color #49","China Rose Light","#FFD5D8","mistyrose2"
"Anchor","Color #50","China Rose Medium","#FFCCD0","pink"
"Anchor","Color #52","China Rose Medium Dark","#E96D73","indianred2"
"Anchor","Color #54","Rose Dark China","#FF6D73","indianred1"
"Anchor","Color #55","Beauty Rose Light","#FFBDCA","pink"
"Anchor","Color #57","Beauty Rose Medium","#DE3969","violetred3"
"Anchor","Color #59","China Rose","#C94F5B","indianred3"
"Anchor","Color #60","Magenta Light","#FA9790","lightsalmon"
"Anchor","Color #62","Magenta Medium","#FF738C","lightcoral"
"Anchor","Color #63","Magenta Dark","#E7547A","indianred2"
"Anchor","Color #65","Rose Very Dark Antique","#C94F5B","indianred3"
"Anchor","Color #66","Raspberry Light","#FA9790","lightsalmon"
"Anchor","Color #68","Raspberry Medium Light","#CB4E61","indianred"
"Anchor","Color #72","Raspberry Very Dark","#E60066","deeppink3"
"Anchor","Color #73","Antique Rose Very Light","#FFE9E9","mistyrose"
"Anchor","Color #74","Antique Rose Light","#FFD6D1","mistyrose2"
"Anchor","Color #76","Antique Rose Medium","#CB4E61","indianred"
"Anchor","Color #75","Antique Rose Medium Light","#FF9A94","lightsalmon"
"Anchor","Color #77","Antique Rose Medium Dark","#CB4E61","indianred"
"Anchor","Color #78","Antique Rose Dark","#AB165F","maroon"
"Anchor","Color #85","Orchid Light","#FFD6E5","mistyrose"
"Anchor","Color #86","Orchid Medium Light","#F798B6","lightpink2"
"Anchor","Color #87","Orchid Medium","#E74F86","violetred2"
"Anchor","Color #88","Orchid Medium Dark","#DB3779","violetred3"
"Anchor","Color #89","Orchid Dark","#AB165F","maroon"
"Anchor","Color #90","Plum Light","#CCA3CC","plum3"
"Anchor","Color #92","Plum Medium","#A06492","plum4"
"Anchor","Color #94","Plum Dark","#AB165F","maroon"
"Anchor","Color #95","Violet Very Light","#FFD6E5","mistyrose"
"Anchor","Color #96","Violet Light","#F798B6","lightpink2"
"Anchor","Color #97","Violet Medium Light","#F3CEE1","thistle2"
"Anchor","Color #98","Violet Medium","#A06492","plum4"
"Anchor","Color #99","Violet","#925582","orchid4"
"Anchor","Color #100","Violet Medium Dark","#3D0067","midnightblue"
"Anchor","Color #101","Violet Dark","#6D1261","maroon4"
"Anchor","Color #102","Violet Very Dark","#6D1261","maroon4"
"Anchor","Color #103","Very Light Plum","#F3DAE4","lavenderblush2"
"Anchor","Color #108","Lavender Light","#ECCFE1","thistle2"
"Anchor","Color #109","Lavender Medium Light","#CE94BA","plum3"
"Anchor","Color #110","Lavender Medium","#945B80","plum4"
"Anchor","Color #117","Thistle Light","#91B4C5","lightskyblue3"
"Anchor","Color #118","Thistle Medium","#A279A4","gray63"
"Anchor","Color #119","Thistle Dark","#7F5482","orchid4"
"Anchor","Color #120","Bleuberry Light","#E6ECE8","gray91"
"Anchor","Color #121","Bleuberry Medium Light","#BBD0DA","azure3"
"Anchor","Color #122","Medium Bleuberry","#7759B3","slateblue"
"Anchor","Color #123","Bleuberry Dark","#47375D","gray28"
"Anchor","Color #127","Indigo","#000049","navy"
"Anchor","Color #128","Cobalt Bleu Light","#F7F6F8","gray97"
"Anchor","Color #129","Cobalt Bleu","#CAE2E5","lightsteelblue1"
"Anchor","Color #130","Cobalt Bleu Medium Light","#BEC1CD","azure3"
"Anchor","Color #131","Cobalt Bleu Medium","#67738D","slategray4"
"Anchor","Color #132","Cobalt Bleu Medium Dark","#1E4263","darkslategray"
"Anchor","Color #133","Cobalt Bleu Dark","#1E3A5F","darkslategray"
"Anchor","Color #134","Cobalt Bleu Very Dark","#1E3655","darkslategray"
