"source","id","name","color","r_color"
"Aurifil Lana","Color #8021","Ivory White","#FFFFE3","lightyellow"
"Aurifil Lana","Color #8024","White","#F2F2F2","gray95"
"Aurifil Lana","Color #8082","Medium Grey","#878787","gray53"
"Aurifil Lana","Color #8083","Dark Grey","#595959","gray35"
"Aurifil Lana","Color #8084","Ashes Of Roses","#B9AFA4","gray69"
"Aurifil Lana","Color #8085","Aqua Gray","#9FABA4","gray64"
"Aurifil Lana","Color #8087","Atmosphere","#A7968D","gray59"
"Aurifil Lana","Color #8088","Gray Ridge","#917985","thistle4"
"Aurifil Lana","Color #8089","Chocolate","#912D00","orangered4"
"Aurifil Lana","Color #8090","Green","#134833","gray20"
"Aurifil Lana","Color #8110","Etherial Green","#EFE2BF","lemonchiffon2"
"Aurifil Lana","Color #8115","Dark Olive Green","#E8F6A6","palegoldenrod"
"Aurifil Lana","Color #8120","Gold/Yellow","#E3F241","olivedrab1"
"Aurifil Lana","Color #8130","Popcorn","#FEE395","lightgoldenrod1"
"Aurifil Lana","Color #8135","Chamois","#FDA968","sandybrown"
"Aurifil Lana","Color #8140","Honey","#CFA169","burlywood3"
"Aurifil Lana","Color #8174","Pink Sand","#E1BA90","burlywood"
"Aurifil Lana","Color #8205","Grape","#FDD2BE","peachpuff"
"Aurifil Lana","Color #8210","Shrimp","#FA929A","palevioletred1"
"Aurifil Lana","Color #8215","Shell Pink","#FA7E84","lightcoral"
"Aurifil Lana","Color #8220","Cardinal Red","#FD1813","red"
"Aurifil Lana","Color #8225","Red","#EF1209","red2"
"Aurifil Lana","Color #8235","Pumpkin","#FF7D00","darkorange1"
"Aurifil Lana","Color #8240","Almond","#D17700","orange3"
"Aurifil Lana","Color #8248","Fluo Pink","#FB3F3F","brown1"
"Aurifil Lana","Color #8250","Cardinal Red","#FC1921","firebrick1"
"Aurifil Lana","Color #8255","Fuschia","#F2016C","deeppink2"
"Aurifil Lana","Color #8260","Scarlet","#ED171F","firebrick2"
"Aurifil Lana","Color #8265","Flame Red","#C1131E","firebrick"
"Aurifil Lana","Color #8310","Light Blue Green","#CAD9C6","gray79"
"Aurifil Lana","Color #8315","Medium Green/Yellow","#B2B25E","darkkhaki"
"Aurifil Lana","Color #8320","Pistachio","#9E9E37","olivedrab3"
"Aurifil Lana","Color #8325","Chalk","#EFD6CA","mistyrose2"
"Aurifil Lana","Color #8330","Tiger Eye","#B17629","darkgoldenrod"
"Aurifil Lana","Color #8331","Crescent Moon","#7F8301","yellow4"
"Aurifil Lana","Color #8332","Pink","#FBBBC8","pink"
"Aurifil Lana","Color #8333","Salmon Pink","#FCBBB5","lightpink"
"Aurifil Lana","Color #8334","Orange","#D15C00","darkorange3"
"Aurifil Lana","Color #8340","Tamarack","#929202","yellow4"
"Aurifil Lana","Color #8341","Pale Orange","#E6CABB","bisque2"
"Aurifil Lana","Color #8344","Pale Salmon","#E0A6A7","lightpink2"
"Aurifil Lana","Color #8345","White","#F0F0F0","gray94"
"Aurifil Lana","Color #8346","Green/Gold","#B2B200","gold3"
"Aurifil Lana","Color #8360","Mushroom","#663204","orangered4"
"Aurifil Lana","Color #8361","Cypress","#70700F","goldenrod4"
"Aurifil Lana","Color #8380","Dark Brown","#470F00","gray6"
"Aurifil Lana","Color #8401","Medium Pink","#FAA9D3","pink1"
"Aurifil Lana","Color #8402","Ruby Glint","#F22690","violetred2"
"Aurifil Lana","Color #8403","Dark Red","#CA003B","brown3"
"Aurifil Lana","Color #8405","Pink","#FCBBC4","pink1"
"Aurifil Lana","Color #8410","Oyster","#FEE3F1","thistle1"
"Aurifil Lana","Color #8420","Oyster","#FDE3F1","thistle1"
"Aurifil Lana","Color #8425","Pink","#FBBBCF","pink"
"Aurifil Lana","Color #8430","Lavender","#C05FAD","hotpink3"
"Aurifil Lana","Color #8433","Rose Pink","#F989A0","palevioletred1"
"Aurifil Lana","Color #8440","Dark Pink","#C91989","mediumvioletred"
"Aurifil Lana","Color #8450","Burgundy","#A00145","deeppink4"
"Aurifil Lana","Color #8454","Light Pink","#E49ACB","plum3"
"Aurifil Lana","Color #8455","French Raspberry Red","#6C0A42","deeppink4"
"Aurifil Lana","Color #8460","Warm Red","#B11107","firebrick"
"Aurifil Lana","Color #8510","Purple","#B082BE","gray69"
"Aurifil Lana","Color #8520","Laurie Lilac","#884BA1","orchid4"
"Aurifil Lana","Color #8525","Baja Blue","#686AB0","slateblue"
"Aurifil Lana","Color #8530","Dark Pink","#CA2C92","maroon3"
"Aurifil Lana","Color #8535","Lavender","#D362AF","hotpink3"
"Aurifil Lana","Color #8540","Plum","#901284","darkmagenta"
"Aurifil Lana","Color #8545","Dark Purple","#691C8A","darkorchid4"
"Aurifil Lana","Color #8550","Purple Maze","#3B0071","midnightblue"
"Aurifil Lana","Color #8553","Orchid Bloom","#CFA7BF","mistyrose3"
"Aurifil Lana","Color #8574","Light Pink","#E1C9E3","gray88"
"Aurifil Lana","Color #8600","Ice Blue","#BAD8E9","slategray2"
"Aurifil Lana","Color #8605","Silver Gray","#E3E3E3","gray89"
"Aurifil Lana","Color #8610","Winter Sage","#BABABA","gray73"
"Aurifil Lana","Color #8692","Black","#000000","black"
"Aurifil Lana","Color #8710","Ice Blue","#BAD1E5","lightsteelblue2"
"Aurifil Lana","Color #8715","Pale Blue","#91C9E0","skyblue"
"Aurifil Lana","Color #8720","Warrior Blue","#0C479D","dodgerblue4"
"Aurifil Lana","Color #8725","Royal","#120C80","navy"
"Aurifil Lana","Color #8730","Salem Blue","#053C6D","midnightblue"
"Aurifil Lana","Color #8757","Pale Silver","#D1E0EE","lightcyan2"
"Aurifil Lana","Color #8762","Blue","#0F238C","dodgerblue4"
"Aurifil Lana","Color #8781","Sky Blue","#A8D1E5","lightblue"
"Aurifil Lana","Color #8782","Royal Blue","#093A80","dodgerblue4"
"Aurifil Lana","Color #8784","Navy Blue","#060F3D","gray6"
"Aurifil Lana","Color #8785","Navy Blue","#060D3C","gray5"
"Aurifil Lana","Color #8805","Turquoise","#7DCEE2","skyblue"
"Aurifil Lana","Color #8810","Magic Blue","#1F60A9","steelblue4"
"Aurifil Lana","Color #8820","Emerald","#3DA639","limegreen"
"Aurifil Lana","Color #8825","Emerald Green","#4FB68B","darkslategray4"
"Aurifil Lana","Color #8850","Calypso Green","#00808D","turquoise4"
"Aurifil Lana","Color #8860","Sliced Lime","#70C48C","palegreen3"
"Aurifil Lana","Color #8861","Wonder Blue","#5C93AE","cadetblue"
"Aurifil Lana","Color #8870","Peacock Green","#019376","cyan4"
"Aurifil Lana","Color #8875","Medium Green","#18964C","springgreen4"
"Aurifil Lana","Color #8880","Green","#2F7E20","forestgreen"
"Aurifil Lana","Color #8890","Green","#286017","forestgreen"
"Aurifil Lana","Color #8892","Dark Green","#004C37","darkslategray"
"Aurifil Lana","Color #8910","Olive Green","#909859","khaki4"
"Aurifil Lana","Color #8920","Peapod","#A5B003","gold3"
"Aurifil Lana","Color #8930","Tamarack","#919100","yellow4"
"Aurifil Lana","Color #8940","Brook Green","#A8DDB9","darkseagreen2"
"Aurifil Lana","Color #8950","Medium Green","#007A54","springgreen4"
"Aurifil Lana","Color #8955","Parrot","#139B89","cyan4"
"Aurifil Lana","Color #8960","Green","#006445","springgreen4"
"Aurifil Lana","Color #8970","Dark Green","#005138","springgreen4"
"Aurifil Lana","Color #8980","Dark Grey","#5A5959","gray35"
