"source","id","name","color","r_color"
"Aurifil Mako","Color #1100","Dark Red","#9F0159","deeppink4"
"Aurifil Mako","Color #1103","Atom Red","#A41128","brown"
"Aurifil Mako","Color #1104","Burnt Orange","#FD5A1E","chocolate1"
"Aurifil Mako","Color #1114","Gotcha Green","#2CA366","seagreen"
"Aurifil Mako","Color #1125","Jade Green","#009092","cyan4"
"Aurifil Mako","Color #1126","Blue","#072F67","midnightblue"
"Aurifil Mako","Color #1128","Purple","#3E3997","slateblue4"
"Aurifil Mako","Color #1130","Black","#171F0B","gray9"
"Aurifil Mako","Color #1133","Fluo Orange","#F77D11","darkorange1"
"Aurifil Mako","Color #1135","Medium Yellow","#F9F97D","khaki1"
"Aurifil Mako","Color #1140","Dark Grey","#595959","gray35"
"Aurifil Mako","Color #1147","Peapod","#ABBF08","yellow3"
"Aurifil Mako","Color #1148","Parrot","#139B89","cyan4"
"Aurifil Mako","Color #1154","Fluo Pink","#F73F3F","brown1"
"Aurifil Mako","Color #1158","Medium Grey","#878787","gray53"
"Aurifil Mako","Color #1200","Imperial Blue","#0D095E","midnightblue"
"Aurifil Mako","Color #1231","Sliced Lime","#70C48C","palegreen3"
"Aurifil Mako","Color #1240","French Raspberry Red","#6C0A42","deeppink4"
"Aurifil Mako","Color #1243 reat","Dark Purple","#6A1C8A","darkorchid4"
"Aurifil Mako","Color #1246","Grey","#7F8485","gray52"
"Aurifil Mako","Color #1248","Dark Blue","#1E4166","royalblue4"
"Aurifil Mako","Color #1285","Dark Grey/Green","#4F4F3D","gray31"
"Aurifil Mako","Color #1310","Deep Windsor","#01405A","darkslategray"
"Aurifil Mako","Color #1318","Vertiver Green","#7C7D6A","bisque4"
"Aurifil Mako","Color #1320 reat","Blue","#0D2B88","dodgerblue4"
"Aurifil Mako","Color #2000","Almond Oil","#EFE3B9","lemonchiffon2"
"Aurifil Mako","Color #2021","Bright White","#F8FAE2","beige"
"Aurifil Mako","Color #2024","White","#F2F2F2","gray95"
"Aurifil Mako","Color #2110","Bright White","#F7FAE2","beige"
"Aurifil Mako","Color #2115","Lemon","#F8F84F","khaki1"
"Aurifil Mako","Color #2120","Canary Yellow","#F7F619","yellow"
"Aurifil Mako","Color #2123","Popcorn","#E5D075","lightgoldenrod2"
"Aurifil Mako","Color #2125","Light Yellow/Orange","#E7D19A","navajowhite2"
"Aurifil Mako","Color #2130","Popcorn","#FEE395","lightgoldenrod1"
"Aurifil Mako","Color #2135","Scholastic","#FAB343","tan1"
"Aurifil Mako","Color #2140","Gold/Orange","#F69E32","tan2"
"Aurifil Mako","Color #2145","Soleil","#F67C1B","chocolate2"
"Aurifil Mako","Color #2150","Fluo Orange","#F96611","chocolate2"
"Aurifil Mako","Color #2155","Dark Orange","#D15C0B","darkorange3"
"Aurifil Mako","Color #2205","Pink","#FCC5CD","pink"
"Aurifil Mako","Color #2210","Peachbeige","#D7A793","peachpuff3"
"Aurifil Mako","Color #2215","Coral","#F7886F","salmon"
"Aurifil Mako","Color #2220","Shrimp","#F3929A","palevioletred2"
"Aurifil Mako","Color #2225","Shell Pink","#F27E85","lightcoral"
"Aurifil Mako","Color #2230","Pink","#F13666","violetred2"
"Aurifil Mako","Color #2235","Paprika","#F75810","orangered"
"Aurifil Mako","Color #2240","Dark Orange","#D1540A","darkorange3"
"Aurifil Mako","Color #2245 E","Cardinal Red","#F71713","red"
"Aurifil Mako","Color #2250 reat","Cardinal Red","#F41727","firebrick2"
"Aurifil Mako","Color #2255","Cardinal Red","#F6102D","firebrick2"
"Aurifil Mako","Color #2260","Red Orange","#CC252B","firebrick3"
"Aurifil Mako","Color #2277","Fluo Pink","#F5495C","indianred2"
"Aurifil Mako","Color #2310","Palest Ivory","#ECE2DB","seashell2"
"Aurifil Mako","Color #2314","Faded Brass","#B29C45","peru"
"Aurifil Mako","Color #2315","Crystal Gray","#E1D0C5","ivory3"
"Aurifil Mako","Color #2320","Pale/Orange","#DFBAA9","antiquewhite3"
"Aurifil Mako","Color #2324","Faded Brass","#B29C59","darkkhaki"
"Aurifil Mako","Color #2325","Pearl Gray","#D1D1C5","gray82"
"Aurifil Mako","Color #2326","Medium Yellow","#B28653","khaki4"
"Aurifil Mako","Color #2330","Fawn","#B28069","lightsalmon3"
"Aurifil Mako","Color #2335","Desert Cactus","#917713","goldenrod4"
"Aurifil Mako","Color #2340","Bullion","#A77B0E","darkgoldenrod"
"Aurifil Mako","Color #2345","Burgundy","#7A2320","brown4"
"Aurifil Mako","Color #2350","Old Dark Tex Orange","#A74A11","chocolate4"
"Aurifil Mako","Color #2355","Mushroom","#66320D","chocolate4"
"Aurifil Mako","Color #2360","Mushroom","#65320D","chocolate4"
"Aurifil Mako","Color #2370","Pale/Grey","#91927E","lightyellow4"
"Aurifil Mako","Color #2372","Dark Grey","#6E5C4E","gray36"
"Aurifil Mako","Color #2410","Pale Pink","#F4D9DE","seashell2"
"Aurifil Mako","Color #2415","Primrose Pink","#F6D2DA","mistyrose2"
"Aurifil Mako","Color #2420","Orchid Pink","#F4BAC3","lightpink"
"Aurifil Mako","Color #2423","Carnatio","#FBB4C4","pink1"
"Aurifil Mako","Color #2425","Floral Pink","#F172A9","hotpink2"
"Aurifil Mako","Color #2430","Medium Pink","#DC64B0","hotpink2"
"Aurifil Mako","Color #2435","Medium Pink","#E559A3","hotpink2"
"Aurifil Mako","Color #2437","Sugar Pink","#F7C4CD","pink"
"Aurifil Mako","Color #2440","Crimson","#F3399A","violetred2"
"Aurifil Mako","Color #2445","Lavender","#D362AF","hotpink3"
"Aurifil Mako","Color #2450","Dark Pink","#C91989","mediumvioletred"
"Aurifil Mako","Color #2452","Dusky Rose","#AE3751","maroon"
"Aurifil Mako","Color #2455","Baroque Rose","#B54C64","maroon"
"Aurifil Mako","Color #2460 E","Tan","#6E1C1E","firebrick4"
"Aurifil Mako","Color #2465","Dark Brown","#36082E","gray18"
"Aurifil Mako","Color #2468","Dark Chocolate","#340B09","gray4"
"Aurifil Mako","Color #2479","Dark Pink","#C91989","mediumvioletred"
"Aurifil Mako","Color #2510","Light Pink","#E5BEDD","thistle"
"Aurifil Mako","Color #2515","Light Pink","#D597C9","plum3"
"Aurifil Mako","Color #2520 reat","Laurie Lilac","#884BA1","orchid4"
"Aurifil Mako","Color #2524","Dark Grey/Blue","#67606E","gray40"
"Aurifil Mako","Color #2525","Baja Blue","#686AB0","slateblue"
"Aurifil Mako","Color #2530","Fuschia","#F0027F","deeppink2"
"Aurifil Mako","Color #2535","Dark Purple","#7F1183","darkmagenta"
"Aurifil Mako","Color #2540 reat","Dark Purple","#801183","darkmagenta"
"Aurifil Mako","Color #2545 reat","Purple Maze","#41007D","purple4"
"Aurifil Mako","Color #2581","Dark Brown","#36052E","gray18"
"Aurifil Mako","Color #2582 reat","Purple Maze","#3B0071","midnightblue"
"Aurifil Mako","Color #2588","Grape Wine","#881687","darkmagenta"
"Aurifil Mako","Color #2600","White","#F0F0F0","gray94"
"Aurifil Mako","Color #2605","Lilac Hint","#D1D1D1","gray82"
"Aurifil Mako","Color #2610","Natural","#D9D9D9","gray85"
"Aurifil Mako","Color #2692","Black","#000000","black"
"Aurifil Mako","Color #2710","Light Blue","#B9CCE3","slategray2"
"Aurifil Mako","Color #2715","Sky Blue","#A8CBE2","lightsteelblue"
"Aurifil Mako","Color #2720","Magic Blue","#1F60A9","steelblue4"
"Aurifil Mako","Color #2725","Morning Glory","#2053A3","dodgerblue4"
"Aurifil Mako","Color #2730","Royal Blue","#0C2577","midnightblue"
"Aurifil Mako","Color #2735","Imperial Blue","#0C085E","midnightblue"
"Aurifil Mako","Color #2740","Navy Blue","#0B0E58","midnightblue"
"Aurifil Mako","Color #2745","Navy Blue","#060D3C","gray5"
"Aurifil Mako","Color #2770","Pale Purple","#B2A6D0","lightsteelblue3"
"Aurifil Mako","Color #2775","Royal Blue","#092869","midnightblue"
"Aurifil Mako","Color #2780","Navy Blue","#0B074F","midnightblue"
"Aurifil Mako","Color #2783","Royal Blue","#0B2B78","midnightblue"
"Aurifil Mako","Color #2784","Navy Blue","#160C42","gray9"
"Aurifil Mako","Color #2785 E","Navy Blue","#060F3D","gray6"
