"source","id","name","color","r_color"
"Aurifil Polyester","Color #5102","Navy Blue","#05143F","gray8"
"Aurifil Polyester","Color #5104","Navy Blue","#060D3C","gray5"
"Aurifil Polyester","Color #5106","Navy Blue","#060F3D","gray6"
"Aurifil Polyester","Color #5108","Royal Blue","#0C2074","midnightblue"
"Aurifil Polyester","Color #5110","Baja Blue","#686AB0","slateblue"
"Aurifil Polyester","Color #5112","Light Purple","#7264AD","slateblue"
"Aurifil Polyester","Color #5114","Ice Blue","#BAD8E9","slategray2"
"Aurifil Polyester","Color #5116","Navy Blue","#011A33","gray10"
"Aurifil Polyester","Color #5118","Navy Blue","#0B0E58","midnightblue"
"Aurifil Polyester","Color #5120","Navy Blue","#0C0854","midnightblue"
"Aurifil Polyester","Color #5122","Scalloped Blue","#9EA9D0","slategray3"
"Aurifil Polyester","Color #5124","Light Blue","#D1EDE0","lightcyan2"
"Aurifil Polyester","Color #5126","Medium Turquoise","#3EB5C9","mediumturquoise"
"Aurifil Polyester","Color #5128","Medium Blue","#4B6BAF","steelblue"
"Aurifil Polyester","Color #5130","Imperial Blue","#0B1966","midnightblue"
"Aurifil Polyester","Color #5132","Royal","#110C79","midnightblue"
"Aurifil Polyester","Color #5134","Palest Blue","#D0D4E8","gray83"
"Aurifil Polyester","Color #5136","Baja Blue","#686AB0","slateblue"
"Aurifil Polyester","Color #5138","Salem Blue","#053C6D","midnightblue"
"Aurifil Polyester","Color #5140","Royal Blue","#092769","midnightblue"
"Aurifil Polyester","Color #5142","Pale Silver","#D1E0EE","lightcyan2"
"Aurifil Polyester","Color #5144","Salem Blue","#073770","midnightblue"
"Aurifil Polyester","Color #5146","Dark Blue","#0F3A68","midnightblue"
"Aurifil Polyester","Color #5148","Blue Ribbon","#042A55","midnightblue"
"Aurifil Polyester","Color #5150","Dark Green","#004C37","darkslategray"
"Aurifil Polyester","Color #5152","Dark Teal","#005758","darkslategray"
"Aurifil Polyester","Color #5154","Emerald Green","#47B494","mediumseagreen"
"Aurifil Polyester","Color #5156","Baby Blue","#B2E2E1","powderblue"
"Aurifil Polyester","Color #5158","Petrel Blue","#074B88","dodgerblue4"
"Aurifil Polyester","Color #5160","Mallard Blue","#00687A","deepskyblue4"
