"source","id","name","color","r_color"
"Aurifil Rayon","Color #C001","White","#F2F2F2","gray95"
"Aurifil Rayon","Color #C004","Medium Yellow","#FFFF7D","khaki1"
"Aurifil Rayon","Color #C005","Lime","#F0F83F","olivedrab1"
"Aurifil Rayon","Color #C006","Canary","#FFD911","gold"
"Aurifil Rayon","Color #C008","Gold/Yellow","#FEFF00","yellow"
"Aurifil Rayon","Color #C009","Star Gold","#FFE855","lightgoldenrod1"
"Aurifil Rayon","Color #C010","Gold/Yellow","#FFFF00","yellow"
"Aurifil Rayon","Color #C011","Canary","#FFD911","gold"
"Aurifil Rayon","Color #C015","Mustard","#FFF08D","lightgoldenrod1"
"Aurifil Rayon","Color #C016","Wheat","#FEE88A","lightgoldenrod1"
"Aurifil Rayon","Color #C021","Pink","#FBBBCF","pink"
"Aurifil Rayon","Color #C025","Coral","#FB886F","salmon"
"Aurifil Rayon","Color #C029","Gold/Orange","#FE9E2C","chocolate1"
"Aurifil Rayon","Color #C041","Oyster","#FDE3F1","thistle1"
"Aurifil Rayon","Color #C044","Pale Pink","#EDB7DA","plum2"
"Aurifil Rayon","Color #C046","Carnatio","#FBB3C5","pink1"
"Aurifil Rayon","Color #C050","Floral Pink","#F772AC","hotpink1"
"Aurifil Rayon","Color #C052","Azalea","#F97F92","lightcoral"
"Aurifil Rayon","Color #C058","Dark Purple","#852364","maroon4"
"Aurifil Rayon","Color #C061","Etherial Green","#EFE2BF","lemonchiffon2"
"Aurifil Rayon","Color #C062","Pale Orange","#E6CABB","bisque2"
"Aurifil Rayon","Color #C063","Almond Oil","#EFE3B9","lemonchiffon2"
"Aurifil Rayon","Color #C066","Almond","#D1820C","orange3"
"Aurifil Rayon","Color #C075","Chocolate","#703700","darkorange4"
"Aurifil Rayon","Color #C080","Dark Brown","#470F00","gray6"
"Aurifil Rayon","Color #C081","Medium Pink","#E059AA","hotpink2"
"Aurifil Rayon","Color #C101","Light Blue","#D1EDE0","lightcyan2"
"Aurifil Rayon","Color #C103","Baby Blue","#A8DEEB","lightblue2"
"Aurifil Rayon","Color #C104","Basic Turquoise","#70C9D4","darkslategray3"
"Aurifil Rayon","Color #C107","Dark Aqua Green","#00829B","turquoise4"
"Aurifil Rayon","Color #C109","Pale Turquoise","#87D1CE","darkslategray3"
"Aurifil Rayon","Color #C110","Medium Turquoise","#3EB5C9","mediumturquoise"
"Aurifil Rayon","Color #C113","Dark Turquoise Blue","#2584BB","steelblue"
"Aurifil Rayon","Color #C114","Teal Haze","#005362","deepskyblue4"
"Aurifil Rayon","Color #C119","Ivy","#00262F","gray15"
"Aurifil Rayon","Color #C120","Ivy","#002F30","gray18"
"Aurifil Rayon","Color #C121","Cadet Blue","#C5E0E6","powderblue"
"Aurifil Rayon","Color #C129","Magic Blue","#1F60A9","steelblue4"
"Aurifil Rayon","Color #C130","Medium Purple","#5374A9","steelblue"
"Aurifil Rayon","Color #C143","Bleached Aqua","#BAE4D7","powderblue"
"Aurifil Rayon","Color #C146","Mint Green","#7DCBA6","aquamarine3"
"Aurifil Rayon","Color #C154","Bright Green","#01832D","springgreen4"
"Aurifil Rayon","Color #C161","Light Green/Yellow","#BAE4BC","darkseagreen2"
"Aurifil Rayon","Color #C165","Sharp Green","#C4E668","darkolivegreen2"
"Aurifil Rayon","Color #C166","Meadow Green","#6F9C12","olivedrab"
"Aurifil Rayon","Color #C172","Crescent Moon","#7D7D00","gold4"
"Aurifil Rayon","Color #C176","Black","#202A0E","gray12"
"Aurifil Rayon","Color #C181","Natural White","#F2EDE7","snow2"
"Aurifil Rayon","Color #C182","Silver Gray","#E3E3E3","gray89"
"Aurifil Rayon","Color #C189","Grey","#808485","gray52"
"Aurifil Rayon","Color #C197","Navy Blue","#051640","gray9"
"Aurifil Rayon","Color #C199","Dark Grey","#363636","gray21"
"Aurifil Rayon","Color #C200","Black","#000000","black"
"Aurifil Rayon","Color #C201","Palest Ivory","#F1E7D8","seashell2"
"Aurifil Rayon","Color #C203","Almond Oil","#EFE3B9","lemonchiffon2"
"Aurifil Rayon","Color #C204","Cloud","#B9AFAA","gray69"
"Aurifil Rayon","Color #C211","Tamarack","#919100","yellow4"
"Aurifil Rayon","Color #C212","Medium Yellow","#F0F97D","khaki2"
"Aurifil Rayon","Color #C219","Atom Red","#A41128","brown"
"Aurifil Rayon","Color #C222","Salmon Pink","#FCBBB5","lightpink"
"Aurifil Rayon","Color #C225","Satin Wine","#B1959C","gray61"
"Aurifil Rayon","Color #C232","Grey","#7F8485","gray52"
"Aurifil Rayon","Color #C264","Navy Blue","#041C43","gray11"
"Aurifil Rayon","Color #C273","Midnight","#474747","gray28"
"Aurifil Rayon","Color #C278","Black","#0D1011","gray6"
"Aurifil Rayon","Color #C282","Ivory White","#FFFFE3","lightyellow"
"Aurifil Rayon","Color #C285","Jade Green","#007E6F","turquoise4"
"Aurifil Rayon","Color #C289","Tusk","#FEE8B2","moccasin"
"Aurifil Rayon","Color #C313","Isle Green","#008777","turquoise4"
"Aurifil Rayon","Color #C314","Navy Blue","#060F3D","gray6"
"Aurifil Rayon","Color #C315","Silver Gray","#E3E3E3","gray89"
"Aurifil Rayon","Color #C319","Delicate Mauve","#FCD2E8","thistle2"
"Aurifil Rayon","Color #C322","Salmon Pink","#FCBBB5","lightpink"
"Aurifil Rayon","Color #C323","Fire Blue","#0B3D91","dodgerblue4"
