"source","id","name","color","r_color"
"Aurifil Royal","Color #C001","White","#F3E7FA","lavender"
"Aurifil Royal","Color #C003","Light Beige","#FFFFF0","ivory"
"Aurifil Royal","Color #C004","Yellow Beige","#FFFFE1","lightyellow"
"Aurifil Royal","Color #C005","Green Gold","#E6F066","darkolivegreen2"
"Aurifil Royal","Color #C006","Green Gold","#E6F066","darkolivegreen2"
"Aurifil Royal","Color #C007","Green Gold","#E6F066","darkolivegreen2"
"Aurifil Royal","Color #C008","Lemon Yellow","#FFFF66","khaki1"
"Aurifil Royal","Color #C009","Pale Gold","#FFF0CC","blanchedalmond"
"Aurifil Royal","Color #C010","Gold","#FFFA99","khaki1"
"Aurifil Royal","Color #C011","Darker Gold","#F5F066","khaki2"
"Aurifil Royal","Color #C012","Mid Gold","#FFE64B","tan1"
"Aurifil Royal","Color #C013","Orange Gold","#FFF500","yellow"
"Aurifil Royal","Color #C015","Pale Gold","#FFFA99","khaki1"
"Aurifil Royal","Color #C016","Creamy Beige","#F0DCAA","wheat2"
"Aurifil Royal","Color #C017","Gold","#FFFA99","khaki1"
"Aurifil Royal","Color #C018","Copper","#FFCC00","gold"
"Aurifil Royal","Color #C020","Copper","#FFCC00","gold"
"Aurifil Royal","Color #C021","Very Pale Peach","#FFCCB4","peachpuff"
"Aurifil Royal","Color #C024","Pale Peach","#FFB4A0","lightpink1"
"Aurifil Royal","Color #C025","Peach","#F09982","darksalmon"
"Aurifil Royal","Color #C026","Carrot","#FF9933","tan1"
"Aurifil Royal","Color #C027","Carrot","#FF9933","tan1"
"Aurifil Royal","Color #C029","Carrot","#FF9933","tan1"
"Aurifil Royal","Color #C030","Orange","#FF6600","darkorange1"
"Aurifil Royal","Color #C031","Tomato Red","#FF3300","orangered"
"Aurifil Royal","Color #C032","Tomato Red","#FF3300","orangered"
"Aurifil Royal","Color #C033","Tomato Red","#FF3300","orangered"
"Aurifil Royal","Color #C037","Red","#FF0000","red"
"Aurifil Royal","Color #C038","Deep Red","#FF004B","brown1"
"Aurifil Royal","Color #C040","Rich Red","#AA0033","brown"
"Aurifil Royal","Color #C041","Light Grey","#DCDCE0","gainsboro"
"Aurifil Royal","Color #C042","Pale Mauve","#FFCCFF","plum1"
"Aurifil Royal","Color #C044","Pale Mauve","#FFCCFF","plum1"
"Aurifil Royal","Color #C046","Mauve Pink","#FFCCD7","pink"
"Aurifil Royal","Color #C048","Mauve Pink","#FFCCD7","pink"
"Aurifil Royal","Color #C049","Pink","#FADCDC","mistyrose"
"Aurifil Royal","Color #C050","Dark Mauve","#DC99CC","plum3"
"Aurifil Royal","Color #C051","Plum Pink","#FF99AA","palevioletred1"
"Aurifil Royal","Color #C052","Dark Pink","#FFA0CC","pink1"
