"source","id","name","color","r_color"
"Brildor PB","Color #1021","Light Orange/Red","#B72F17","firebrick"
"Brildor PB","Color #1033","Navy","#112440","gray14"
"Brildor PB","Color #1037","Blueberry Blue","#22264B","gray15"
"Brildor PB","Color #1039","Blackberry","#4B2A61","gray29"
"Brildor PB","Color #1060","Almond Oil","#F7DFC1","bisque"
"Brildor PB","Color #1071","Jonquil Very Light","#FFFFDD","lightyellow"
"Brildor PB","Color #1072","Field Green","#2E3E21","gray18"
"Brildor PB","Color #1090","White","#F0F3F2","gray95"
"Brildor PB","Color #1100","White","#FAFBFC","gray98"
"Brildor PB","Color #1101","Pale Yellow-Green","#EEF6E8","snow2"
"Brildor PB","Color #1102","Reddish Brown","#F64C10","orangered"
"Brildor PB","Color #1103","Vanilla Ice","#F1F1D3","lightyellow2"
"Brildor PB","Color #1104","Tan Light","#E8DAB5","bisque2"
"Brildor PB","Color #1106","Light Brown","#BFAA9C","peachpuff3"
"Brildor PB","Color #1107","Cornsilk","#EECF7D","lightgoldenrod2"
"Brildor PB","Color #1109","Pale Orange/Brown","#CB9547","peru"
"Brildor PB","Color #1110","Mocha Brown Very Dark","#553719","gray21"
"Brildor PB","Color #1112","Ice Blue","#D0EEFA","lightcyan2"
"Brildor PB","Color #1113","Ice Blue","#D0EBFF","lightsteelblue1"
"Brildor PB","Color #1114","Pale Silver","#D4DCF0","lightcyan2"
"Brildor PB","Color #1115","Pastal Blue","#C7D2FF","slategray1"
"Brildor PB","Color #1116","Ice Blue","#D0E5FF","lightsteelblue1"
"Brildor PB","Color #1117","Pastal Blue","#BDD5FF","lightsteelblue2"
"Brildor PB","Color #1119","Medium Blue","#8BB3FF","skyblue1"
"Brildor PB","Color #1120","Medium Blue","#7399FF","cornflowerblue"
"Brildor PB","Color #1121","Medium Blue","#3E62B8","royalblue3"
"Brildor PB","Color #1122","Navy Blue","#0E1D57","midnightblue"
"Brildor PB","Color #1123","Silver Grey","#EEFFE8","honeydew"
"Brildor PB","Color #1124","Jonquil Very Light","#FFFFDB","lightyellow"
"Brildor PB","Color #1125","Sprite","#CEFFE2","lightcyan2"
"Brildor PB","Color #1126","Pale Aqua","#8FEABA","aquamarine2"
"Brildor PB","Color #1128","Bright Blue","#53A8B4","cadetblue"
"Brildor PB","Color #1129","Dark Olive Green","#DAF5A0","palegoldenrod"
"Brildor PB","Color #1130","Light Green","#97EE98","palegreen"
