"source","id","name","color","r_color"
"Brildor Polyester","Color #1021","Bright Rust","#B64000","orangered3"
"Brildor Polyester","Color #1033","Dark Blue","#0C3546","gray21"
"Brildor Polyester","Color #1037","Dark Blue Grey","#0B203A","gray12"
"Brildor Polyester","Color #1039","Medium Green/Blue","#361487","purple4"
"Brildor Polyester","Color #1060","Beach Sand","#F5C498","burlywood2"
"Brildor Polyester","Color #1071","Ivory White","#FFFEED","ivory"
"Brildor Polyester","Color #1072","Black","#1E2B21","gray13"
"Brildor Polyester","Color #1090","Lilac Hint","#D1D1CF","gray82"
"Brildor Polyester","Color #1100","Light Silver Grey","#DFDFDF","gray87"
"Brildor Polyester","Color #1101","Ivory White","#FFFCD2","lemonchiffon"
"Brildor Polyester","Color #1102","Red","#D13309","orangered3"
"Brildor Polyester","Color #1103","Champagne Mist","#DFD9B3","wheat2"
"Brildor Polyester","Color #1104","Latte","#C5AD81","burlywood3"
"Brildor Polyester","Color #1106","Cloud","#BDB2AC","gray70"
"Brildor Polyester","Color #1107","Oak Buff","#C49B55","lightsalmon3"
"Brildor Polyester","Color #1109","Medium Brown","#986B4C","burlywood4"
"Brildor Polyester","Color #1110","Dark Oak","#502B15","gray17"
"Brildor Polyester","Color #1112","Basic Turquoise","#73D5E5","skyblue"
"Brildor Polyester","Color #1113","Ice Blue","#AFCFE8","lightblue"
"Brildor Polyester","Color #1114","Fieldstone","#BFC6C4","gray77"
"Brildor Polyester","Color #1115","Cristy Blue","#A5B6E0","lightsteelblue3"
"Brildor Polyester","Color #1116","Misty Fog","#BDC9D7","azure3"
"Brildor Polyester","Color #1117","Angel Falls","#85B8E8","skyblue2"
"Brildor Polyester","Color #1119","Medium Purple","#7F99D7","skyblue3"
"Brildor Polyester","Color #1120","Royal Blue","#5475C6","steelblue3"
"Brildor Polyester","Color #1121","Smurf Blue","#1160C6","dodgerblue3"
"Brildor Polyester","Color #1122","Chow Blue","#002E59","midnightblue"
"Brildor Polyester","Color #1123","Pale Blue","#C8D4C9","gray79"
