"source","id","name","color","r_color"
"Brother Country","Color #000","White","#F0F0F0","gray94"
"Brother Country","Color #003","Wistaria Violet","#9CBEDB","lightblue3"
"Brother Country","Color #012","Beige","#F0D5B3","bisque2"
"Brother Country","Color #015","Corn Flower Blue","#557FBA","steelblue"
"Brother Country","Color #020","Silver","#E0CAC6","snow3"
"Brother Country","Color #024","Deep Rose","#CC2838","brown3"
"Brother Country","Color #025","Linen","#FCDBA1","burlywood1"
"Brother Country","Color #043","Yellow","#FBFB20","yellow"
"Brother Country","Color #057","Peacock Blue","#056060","deepskyblue4"
"Brother Country","Color #100","Black","#000000","black"
"Brother Country","Color #122","Salmon Pink","#F19FBC","pink2"
"Brother Country","Color #126","Dark Fuchsia","#A0074E","deeppink4"
"Brother Country","Color #133","Light Lilac","#F36FB1","hotpink1"
"Brother Country","Color #148","Vermilion","#FF4209","orangered"
"Brother Country","Color #149","Red","#E70268","deeppink3"
"Brother Country","Color #150","Light Blue","#D5ECEB","lightcyan2"
"Brother Country","Color #152","Flesh Pink","#FC8DAF","palevioletred1"
"Brother Country","Color #155","Pink","#FD566E","indianred1"
"Brother Country","Color #158","Carmine","#E50033","firebrick2"
"Brother Country","Color #212","Amber Red","#E94C64","indianred2"
"Brother Country","Color #224","Clay Brown","#B87432","sienna3"
"Brother Country","Color #242","Khaki","#E4983B","tan2"
"Brother Country","Color #255","Light Brown","#682408","orangered4"
"Brother Country","Color #264","Reddish Brown","#FE470C","orangered"
"Brother Country","Color #322","Pumpkin","#FAAD4E","tan1"
"Brother Country","Color #331","Cream Brown","#FFEFA8","navajowhite"
"Brother Country","Color #334","Harvest Gold","#FBE96A","lightgoldenrod1"
"Brother Country","Color #335","Orange","#FAB600","orange"
"Brother Country","Color #336","Tangerine","#FAB700","darkgoldenrod1"
"Brother Country","Color #342","Lemon Yellow","#FEFE7B","khaki1"
"Brother Country","Color #354","Deep Gold","#F2990E","orange2"
"Brother Country","Color #370","Cream Yellow","#FFEB84","lightgoldenrod1"
"Brother Country","Color #404","Brass","#EECC0C","gold2"
"Brother Country","Color #414","Russet Brown","#BAA308","darkgoldenrod"
"Brother Country","Color #442","Fresh Green","#CBE9A2","lemonchiffon3"
"Brother Country","Color #444","Lime Green","#B6DD11","yellow3"
"Brother Country","Color #446","Moss Green","#518921","olivedrab4"
"Brother Country","Color #461","Mint Green","#C8DCC8","gray79"
"Brother Country","Color #463","Leaf Green","#77C487","palegreen3"
"Brother Country","Color #467","Deep Green","#00301E","gray12"
"Brother Country","Color #473","Dark Olive","#B0CF78","khaki3"
"Brother Country","Color #476","Olive Green","#0D2A07","gray5"
"Brother Country","Color #483","Teal Green","#78C79F","aquamarine3"
"Brother Country","Color #485","Emerald Green","#005127","darkgreen"
"Brother Country","Color #505","Seacrest","#74C6B1","aquamarine3"
"Brother Country","Color #512","Sky Blue","#B1E2DF","powderblue"
"Brother Country","Color #564","Electric Blue","#085A6F","dodgerblue4"
"Brother Country","Color #575","Ultramarine","#0A59A3","dodgerblue4"
"Brother Country","Color #586","Blue","#006390","deepskyblue4"
"Brother Country","Color #588","Prussian Blue","#062934","gray16"
"Brother Country","Color #604","Lavender","#9285C3","mediumpurple"
"Brother Country","Color #623","Lilac","#C4A0CF","plum3"
"Brother Country","Color #624","Violet","#B480C4","orchid3"
"Brother Country","Color #625","Magenta","#670070","darkorchid4"
"Brother Country","Color #635","Purple","#691588","darkorchid4"
"Brother Country","Color #636","Royal Purple","#450451","deeppink4"
"Brother Country","Color #706","Warm Gray","#AC9A61","darkkhaki"
"Brother Country","Color #717","Dark Brown","#1D1803","gray9"
"Brother Country","Color #734","Gray","#6E6452","gray39"
"Brother Country","Color #745","Pewter","#A8ABAD","gray67"
"Brother Country","Color #747","Dark Gray","#10140C","gray6"
