"source","id","name","color","r_color"
"Brother Embroidery","Color #001","White","#F0F0F0","gray94"
"Brother Embroidery","Color #005","Silver","#A9A8A7","gray66"
"Brother Embroidery","Color #007","Prussian Blue","#111F77","midnightblue"
"Brother Embroidery","Color #010","Cream Brown","#FFFDB2","moccasin"
"Brother Embroidery","Color #017","Light Blue","#AEDBE5","lightblue"
"Brother Embroidery","Color #019","Sky Blue","#2187BE","dodgerblue3"
"Brother Embroidery","Color #027","Fresh Green","#E3F260","darkolivegreen2"
"Brother Embroidery","Color #030","Vermilion","#FF380B","orangered"
"Brother Embroidery","Color #058","Dark Brown","#2B1300","gray7"
"Brother Embroidery","Color #070","Corn Flower","#5068B7","steelblue"
"Brother Embroidery","Color #079","Salmon Pink","#FEB8C9","pink1"
"Brother Embroidery","Color #085","Pink","#F994B9","lightpink1"
"Brother Embroidery","Color #086","Deep Rose","#F04D8D","violetred2"
"Brother Embroidery","Color #107","Dark Fuchsia","#C70356","deeppink3"
"Brother Embroidery","Color #124","Flesh Pink","#FADADE","mistyrose"
"Brother Embroidery","Color #126","Pumpkin","#FDB244","tan1"
"Brother Embroidery","Color #202","Lemon Yellow","#EDFA73","khaki2"
"Brother Embroidery","Color #205","Yellow","#FFFF02","yellow"
"Brother Embroidery","Color #206","Harvest Gold","#FDDB11","gold"
"Brother Embroidery","Color #208","Orange","#FCBB34","goldenrod1"
"Brother Embroidery","Color #209","Tangerine","#FB9D32","tan2"
"Brother Embroidery","Color #214","Deep Gold","#E6AE00","darkgoldenrod2"
"Brother Embroidery","Color #307","Linen","#FFE3C4","bisque"
"Brother Embroidery","Color #323","Light Brown","#B47626","darkgoldenrod"
"Brother Embroidery","Color #328","Brass","#C09509","darkgoldenrod3"
"Brother Embroidery","Color #330","Russet Brown","#7D6E0A","darkgoldenrod4"
"Brother Embroidery","Color #333","Amber Red","#B44E65","maroon"
"Brother Embroidery","Color #337","Reddish Brown","#CC5D03","darkorange3"
"Brother Embroidery","Color #339","Clay Brown","#D95400","darkorange3"
"Brother Embroidery","Color #348","Khaki","#D4A55E","sandybrown"
"Brother Embroidery","Color #399","Warm Gray","#D8CCC9","snow3"
"Brother Embroidery","Color #405","Blue","#0A53A8","dodgerblue4"
"Brother Embroidery","Color #406","Ultramarine","#0A3E91","dodgerblue4"
"Brother Embroidery","Color #415","Peacock Blue","#12494A","darkslategray"
"Brother Embroidery","Color #420","Electric Blue","#0C5BA5","dodgerblue4"
"Brother Embroidery","Color #502","Mint Green","#A1D67D","darkolivegreen3"
"Brother Embroidery","Color #507","Emerald Green","#05673F","springgreen4"
"Brother Embroidery","Color #509","Leaf Green","#69B945","darkolivegreen4"
"Brother Embroidery","Color #513","Lime Green","#70BB29","olivedrab"
"Brother Embroidery","Color #515","Moss Green","#307D26","forestgreen"
"Brother Embroidery","Color #517","Dark Olive","#43520A","chartreuse4"
"Brother Embroidery","Color #519","Olive Green","#132B18","gray9"
"Brother Embroidery","Color #534","Teal Green","#008A74","cyan4"
"Brother Embroidery","Color #542","Seacrest","#ACDBC0","lightcyan3"
"Brother Embroidery","Color #607","Wistaria Violet","#6868B5","slateblue"
"Brother Embroidery","Color #612","Lilac","#925EAF","mediumpurple3"
"Brother Embroidery","Color #613","Violet","#6B1C88","darkorchid4"
"Brother Embroidery","Color #614","Purple","#4F298D","purple4"
"Brother Embroidery","Color #620","Magenta","#8F3890","orchid4"
"Brother Embroidery","Color #704","Pewter","#515456","gray33"
"Brother Embroidery","Color #707","Dark Gray","#2A3133","gray19"
"Brother Embroidery","Color #800","Red","#E91A1B","firebrick2"
"Brother Embroidery","Color #804","Lavender","#B6AED8","lightsteelblue"
"Brother Embroidery","Color #807","Carmine","#FA3760","brown1"
"Brother Embroidery","Color #808","Deep Green","#043727","gray15"
"Brother Embroidery","Color #810","Light Lilac","#E49ACC","plum3"
"Brother Embroidery","Color #812","Cream Yellow","#FFEE91","lightgoldenrod1"
"Brother Embroidery","Color #817","Gray","#898887","gray53"
"Brother Embroidery","Color #843","Beige","#EFE3BC","lemonchiffon2"
"Brother Embroidery","Color #869","Royal Purple","#730579","darkmagenta"
"Brother Embroidery","Color #900","Black","#000000","black"
