"source","id","name","color","r_color"
"Coats Alcazar","Color #0001","White","#E6E8FF","lavender"
"Coats Alcazar","Color #0002","Light Yellow","#ECE659","khaki2"
"Coats Alcazar","Color #0003","Yellow","#EFDA17","gold2"
"Coats Alcazar","Color #0005","Yellow","#F1D700","gold"
"Coats Alcazar","Color #0006","Pale Yellow/Green","#BDB984","darkkhaki"
"Coats Alcazar","Color #0008","Medium Yellow/Green","#99852E","khaki4"
"Coats Alcazar","Color #0011","Medium Orange","#F2A800","orange"
"Coats Alcazar","Color #0012","Light Orange","#F2AF1E","goldenrod2"
"Coats Alcazar","Color #0013","Light Orange","#D9A931","goldenrod"
"Coats Alcazar","Color #0014","Brown/Gold","#C49C30","goldenrod3"
"Coats Alcazar","Color #0015","Orange/Brown","#BE8A10","darkgoldenrod"
"Coats Alcazar","Color #0016","Brown/Olive","#AA7317","goldenrod4"
"Coats Alcazar","Color #0017","Brown","#9D7249","burlywood4"
"Coats Alcazar","Color #0018","Orange/Brown","#B27100","darkgoldenrod"
"Coats Alcazar","Color #0019","Medium Green/Yellow","#969350","khaki4"
"Coats Alcazar","Color #0020","Dark Green/Yellow","#857F35","lightgoldenrod4"
"Coats Alcazar","Color #0022","White","#E9E9E8","gray91"
"Coats Alcazar","Color #0023","Medium Green/Yellow","#BEA83B","peru"
"Coats Alcazar","Color #0024","Pale Brown","#9A8652","khaki4"
"Coats Alcazar","Color #0025","Medium Yellow","#AA8D54","khaki4"
"Coats Alcazar","Color #0026","Light Orange/Red","#E2DEDA","gray87"
"Coats Alcazar","Color #0027","Pale Brown","#A88C66","lemonchiffon4"
"Coats Alcazar","Color #0028","Medium Brown","#8E5B24","tan4"
"Coats Alcazar","Color #0029","Pale Brown","#A17439","sienna"
"Coats Alcazar","Color #0031","Orange/Brown","#A05807","orange4"
"Coats Alcazar","Color #0101","Light Yellow","#E9EBE3","gray91"
"Coats Alcazar","Color #0103","Light Yellow","#EAEBCE","cornsilk2"
"Coats Alcazar","Color #0104","Light Orange","#F1DA97","khaki"
"Coats Alcazar","Color #0105","Pale Yellow/Gold","#EBDF81","lightgoldenrod"
"Coats Alcazar","Color #0109","Medium Orange","#F18F00","orange2"
"Coats Alcazar","Color #0120","Medium Orange","#F28B00","darkorange"
"Coats Alcazar","Color #0122","Orange","#F17C00","darkorange2"
"Coats Alcazar","Color #0124","Orange/Red","#EB5C00","darkorange2"
"Coats Alcazar","Color #0125","Pale Green/Yellow","#B8A063","darkkhaki"
"Coats Alcazar","Color #0126","Medium Green/Yellow","#A89034","peru"
"Coats Alcazar","Color #0129","Dark Green/Yellow","#685923","tan4"
"Coats Alcazar","Color #0131","Pale Orange/Brown","#CD9342","peru"
"Coats Alcazar","Color #0132","Medium Orange/Brown","#C88331","peru"
"Coats Alcazar","Color #0133","Yellow Gold","#F1CC67","lightgoldenrod2"
"Coats Alcazar","Color #0134","Yellow Gold","#F4C447","goldenrod1"
"Coats Alcazar","Color #0135","Medium Orange","#F5BE22","goldenrod1"
"Coats Alcazar","Color #0136","Medium Yellow","#D0AA2E","goldenrod"
"Coats Alcazar","Color #0137","Light Orange","#E0D0BE","ivory3"
"Coats Alcazar","Color #0138","Medium Brown","#9C732C","sienna"
"Coats Alcazar","Color #0139","Pale Orange","#EBE8D0","cornsilk2"
"Coats Alcazar","Color #0140","Light Yellow","#E9E8DB","seashell2"
"Coats Alcazar","Color #0141","Orange/Brown","#AF6400","darkorange3"
"Coats Alcazar","Color #0150","Light Yellow/Orange","#E4CF97","navajowhite2"
"Coats Alcazar","Color #0202","Dark Orange","#D23F00","orangered3"
"Coats Alcazar","Color #0203","Pale Orange","#E8C5BB","bisque2"
"Coats Alcazar","Color #0205","Pale Orange","#F3AD9A","lightpink2"
"Coats Alcazar","Color #0206","Medium Orange","#EF8F78","lightsalmon2"
"Coats Alcazar","Color #0207","Orange/Red","#AE372C","brown"
"Coats Alcazar","Color #0208","Orange","#E96005","darkorange2"
"Coats Alcazar","Color #0209","Light Orange/Red","#AD2B16","firebrick"
"Coats Alcazar","Color #0210","Dark Orange/Red","#A63025","brown"
"Coats Alcazar","Color #0211","Orange/Red","#C0352C","brown3"
"Coats Alcazar","Color #0212","Light Orange","#EB9396","darksalmon"
"Coats Alcazar","Color #0213","Pale Orange","#E99864","lightsalmon2"
"Coats Alcazar","Color #0215","Orange/Red","#DB3100","orangered3"
"Coats Alcazar","Color #0218","Pale/Orange","#DFB9A7","bisque3"
"Coats Alcazar","Color #0219","Brown","#AA4C28","sienna"
"Coats Alcazar","Color #0220","Orange","#DF5700","darkorange3"
"Coats Alcazar","Color #0221","Medium Pink","#E1B0B2","rosybrown2"
"Coats Alcazar","Color #0222","Medium Orange","#F18935","sienna2"
"Coats Alcazar","Color #0223","Medium Green/Yellow","#9D7D2D","sienna"
"Coats Alcazar","Color #0225","Light Red/Orange","#C99F78","burlywood3"
"Coats Alcazar","Color #0227","Medium Pink","#D6566E","indianred"
"Coats Alcazar","Color #0229","Dark Pink","#A62449","brown"
"Coats Alcazar","Color #0230","Brown","#6F2632","brown4"
"Coats Alcazar","Color #0231","Dark Brown","#5B1D28","brown4"
"Coats Alcazar","Color #0238","Dark Orange/Red","#972F33","brown"
"Coats Alcazar","Color #0240","Brown","#7F2F34","indianred4"
"Coats Alcazar","Color #0242","Pale Orange","#E0B7A1","bisque3"
"Coats Alcazar","Color #0245","Pale Red/Orange","#BB855C","lightsalmon3"
"Coats Alcazar","Color #0246","Brown","#BD724E","salmon3"
"Coats Alcazar","Color #0247","Orange/Brown","#AB5F22","sienna"
"Coats Alcazar","Color #0248","Brown","#8A5435","salmon4"
"Coats Alcazar","Color #0250","Brown","#804B28","sienna4"
"Coats Alcazar","Color #0251","Dark Brown","#804C43","salmon4"
"Coats Alcazar","Color #0252","Light Orange","#EFBA90","burlywood2"
"Coats Alcazar","Color #0253","Medium Orange","#EDAF79","darksalmon"
"Coats Alcazar","Color #0254","Medium Orange","#EE9C55","tan2"
"Coats Alcazar","Color #0257","Orange","#D36A32","sienna3"
"Coats Alcazar","Color #0258","Dark Orange/Brown","#B26534","sienna3"
"Coats Alcazar","Color #0260","Orange","#ED5700","orangered2"
"Coats Alcazar","Color #0262","Brown","#BC5D3D","coral3"
"Coats Alcazar","Color #0265","Dark Red/Orange","#A14C42","sienna"
"Coats Alcazar","Color #0267","Dark Brown","#76352F","coral4"
"Coats Alcazar","Color #0271","Dark Brown","#6E3336","indianred4"
"Coats Alcazar","Color #0273","Medium Brown","#9F5341","sienna"
"Coats Alcazar","Color #0300","Medium Red/Orange","#BD001A","red3"
"Coats Alcazar","Color #0301","Medium Purple","#A66780","plum4"
"Coats Alcazar","Color #0302","Medium Pink","#E3788A","palevioletred"
"Coats Alcazar","Color #0303","Dark Red/Orange","#A1002B","brown"
"Coats Alcazar","Color #0306","Medium Pink","#D98392","palevioletred"
"Coats Alcazar","Color #0307","Red","#A90049","deeppink4"
"Coats Alcazar","Color #0308","Medium Pink","#A05566","lightpink4"
"Coats Alcazar","Color #0309","Dark Pink","#CF367A","violetred3"
"Coats Alcazar","Color #0311","Brown","#80273D","indianred4"
"Coats Alcazar","Color #0312","Brown","#772E42","indianred4"
"Coats Alcazar","Color #0313","Light Pink","#E7BFD1","thistle"
"Coats Alcazar","Color #0316","Light Pink","#E7C2DE","thistle"
"Coats Alcazar","Color #0317","Dark Pink","#B95778","hotpink3"
"Coats Alcazar","Color #0318","Light Green/Yellow","#B9DDBD","honeydew3"
"Coats Alcazar","Color #0319","Brown","#8C2C4D","violetred4"
"Coats Alcazar","Color #0321","Medium Red/Orange","#DA4C55","indianred3"
"Coats Alcazar","Color #0322","Brown","#8C3657","hotpink4"
"Coats Alcazar","Color #0323","Dark Red","#A00025","brown"
"Coats Alcazar","Color #0324","Dark Purple","#77264A","violetred4"
"Coats Alcazar","Color #0326","Dark Brown","#874450","palevioletred4"
"Coats Alcazar","Color #0327","Red","#D53E62","violetred3"
"Coats Alcazar","Color #0329","Dark Purple","#733E56","hotpink4"
"Coats Alcazar","Color #0330","Dark Purple","#701E51","violetred4"
"Coats Alcazar","Color #0331","Medium Pink","#D0539E","hotpink3"
"Coats Alcazar","Color #0332","Dark Pink","#C20F7D","deeppink3"
"Coats Alcazar","Color #0335","Light Pink","#E39BC6","plum"
"Coats Alcazar","Color #0337","Medium Pink","#BC6396","hotpink3"
"Coats Alcazar","Color #0338","Dark Purple","#622E4D","gray30"
"Coats Alcazar","Color #0339","Medium Pink","#BE5C90","hotpink3"
"Coats Alcazar","Color #0340","Medium Purple","#974675","orchid4"
"Coats Alcazar","Color #0341","Medium Purple","#A2426C","hotpink4"
"Coats Alcazar","Color #0342","Medium Purple","#863463","hotpink4"
"Coats Alcazar","Color #0343","Dark Red","#AD003A","firebrick"
"Coats Alcazar","Color #0344","Red","#A80024","firebrick"
"Coats Alcazar","Color #0345","Dark Red","#8F0031","deeppink4"
"Coats Alcazar","Color #0346","Dark Purple","#49213C","gray23"
"Coats Alcazar","Color #0347","Dark Purple","#7B1035","deeppink4"
"Coats Alcazar","Color #0348","Dark Brown","#35222C","gray17"
"Coats Alcazar","Color #0349","Brown","#641F34","brown4"
"Coats Alcazar","Color #0350","Dark Purple","#592037","gray21"
"Coats Alcazar","Color #0355","Light Pink","#ECCFDE","mistyrose2"
"Coats Alcazar","Color #0356","Light Pink","#E7BED3","thistle"
"Coats Alcazar","Color #0358","Dark Pink","#D7608F","hotpink3"
"Coats Alcazar","Color #0360","Red","#D22667","violetred3"
"Coats Alcazar","Color #0361","Red","#C7175E","deeppink3"
"Coats Alcazar","Color #0363","Red","#8C0032","deeppink4"
"Coats Alcazar","Color #0364","Light Pink","#E3A2BE","pink2"
"Coats Alcazar","Color #0365","Medium Pink","#D66D87","palevioletred3"
"Coats Alcazar","Color #0366","Medium Pink","#C85284","hotpink3"
"Coats Alcazar","Color #0367","Dark Red/Orange","#DC6562","indianred2"
"Coats Alcazar","Color #0368","Dark Red/Orange","#D9233F","brown3"
"Coats Alcazar","Color #0369","Medium Purple","#B02782","maroon"
"Coats Alcazar","Color #0370","Warm Red","#DD3039","brown3"
"Coats Alcazar","Color #0372","Red","#C50030","firebrick3"
"Coats Alcazar","Color #0373","Dark Red","#BC0059","deeppink3"
"Coats Alcazar","Color #0376","Dark Red","#A5006E","darkmagenta"
"Coats Alcazar","Color #0377","Dark Red","#9D005D","deeppink4"
"Coats Alcazar","Color #0378","Dark Red/Orange","#BD273D","brown3"
"Coats Alcazar","Color #0380","Dark Purple","#44232C","gray17"
"Coats Alcazar","Color #0381","Medium Pink","#DE72B7","orchid"
"Coats Alcazar","Color #0382","Pink","#E27EAA","palevioletred2"
"Coats Alcazar","Color #0383","Dark Pink","#B8005D","maroon"
"Coats Alcazar","Color #0400","Warm Gray","#A69C8F","gray61"
"Coats Alcazar","Color #0401","Light Purple","#B797A0","pink3"
"Coats Alcazar","Color #0402","Dark Green/Yellow","#5F4D32","darkolivegreen"
"Coats Alcazar","Color #0404","Pale Brown","#9E7375","mistyrose4"
"Coats Alcazar","Color #0406","Light Purple","#A67D8A","thistle4"
"Coats Alcazar","Color #0408","Medium Purple","#6E5164","gray39"
"Coats Alcazar","Color #0409","Light Grey","#A4A2A5","gray64"
"Coats Alcazar","Color #0410","Pale Green/Yellow","#A19A7D","gray60"
"Coats Alcazar","Color #0411","Medium Brown","#75685F","dimgray"
"Coats Alcazar","Color #0412","Medium Brown","#73635D","gray39"
"Coats Alcazar","Color #0413","Medium Green/Yellow","#7B6F56","burlywood4"
"Coats Alcazar","Color #0414","Dark Brown","#534542","gray27"
"Coats Alcazar","Color #0416","Medium Brown","#846449","lightsalmon4"
"Coats Alcazar","Color #0417","Light Grey/Green","#C4C0AF","antiquewhite3"
"Coats Alcazar","Color #0418","Dark Brown","#5F3D2C","coral4"
"Coats Alcazar","Color #0419","Light Green/Yellow","#947F64","wheat4"
"Coats Alcazar","Color #0420","Light Brown","#AB977D","rosybrown"
"Coats Alcazar","Color #0421","Light Brown","#9D9184","gray57"
"Coats Alcazar","Color #0422","Pale Orange","#C0AEA1","bisque3"
"Coats Alcazar","Color #0423","Light Green","#D1D0CB","gray81"
"Coats Alcazar","Color #0424","Medium Green/Yellow","#7D7261","peachpuff4"
"Coats Alcazar","Color #0425","Light Green/Yellow","#A9A399","gray64"
"Coats Alcazar","Color #0426","Light Brown","#C1B6A8","bisque3"
"Coats Alcazar","Color #0427","Dark Grey","#868177","antiquewhite4"
"Coats Alcazar","Color #0428","Dark Grey","#675F50","gray37"
"Coats Alcazar","Color #0429","Light Grey/Green","#B7B4A5","gray70"
"Coats Alcazar","Color #0430","Light Green/Yellow","#D3CDA6","lemonchiffon3"
"Coats Alcazar","Color #0431","Pale Green/Yellow","#9F9E8B","gray62"
"Coats Alcazar","Color #0432","Pale Orange","#BFA589","navajowhite3"
"Coats Alcazar","Color #0433","Medium Green/Grey","#9B9472","lemonchiffon4"
"Coats Alcazar","Color #0435","Dark Green/Grey","#594B33","gray29"
"Coats Alcazar","Color #0436","Light Brown","#D0B388","navajowhite3"
"Coats Alcazar","Color #0439","Pale Green/Grey","#A09B86","gray61"
"Coats Alcazar","Color #0440","Orange/Brown","#A06B5D","rosybrown4"
"Coats Alcazar","Color #0441","Dark Brown","#5B403C","gray25"
"Coats Alcazar","Color #0442","Light Purple","#CBC0BF","seashell3"
"Coats Alcazar","Color #0443","Black","#453230","gray20"
"Coats Alcazar","Color #0445","Medium Brown","#8E7979","mistyrose4"
"Coats Alcazar","Color #0446","Medium Green/Yellow","#787664","gray46"
"Coats Alcazar","Color #0447","Medium Brown","#88665E","lightpink4"
"Coats Alcazar","Color #0449","Light Brown","#BBAC9A","peachpuff3"
"Coats Alcazar","Color #0450","Light Brown","#A18A81","ivory4"
"Coats Alcazar","Color #0451","Dark Brown","#7A4C3E","salmon4"
"Coats Alcazar","Color #0452","Light Green/Yellow","#C7C8BA","gray78"
"Coats Alcazar","Color #0453","Brown","#5B4034","gray25"
"Coats Alcazar","Color #0455","Black","#483835","gray22"
"Coats Alcazar","Color #0456","Dark Purple/Navy","#302230","gray19"
"Coats Alcazar","Color #0457","Pale Orange","#C2AB95","peachpuff3"
"Coats Alcazar","Color #0459","Medium Brown","#8F6C4D","burlywood4"
"Coats Alcazar","Color #0460","Brown","#6E523A","salmon4"
"Coats Alcazar","Color #0461","Brown","#664128","sienna4"
"Coats Alcazar","Color #0462","Dark Brown","#4B342D","gray20"
"Coats Alcazar","Color #0463","Black","#3E3033","gray20"
"Coats Alcazar","Color #0466","Dark Brown","#4A2425","gray14"
"Coats Alcazar","Color #0467","Dark Brown","#3A2128","gray16"
"Coats Alcazar","Color #0471","Medium Pink","#E6C6C7","snow3"
"Coats Alcazar","Color #0472","Pale Green/Yellow","#A89976","lightyellow4"
"Coats Alcazar","Color #0473","Light Grey/Green","#D4CDC3","ivory3"
"Coats Alcazar","Color #0474","Light Brown","#C8B4A3","bisque3"
"Coats Alcazar","Color #0475","Light Green/Yellow","#A0894C","khaki4"
"Coats Alcazar","Color #0476","Pale Brown","#99764C","lightgoldenrod4"
"Coats Alcazar","Color #0477","Medium Orange/Brown","#8F6634","tan4"
