"source","id","name","color","r_color"
"Coats Alcazar Jazz","Color #0001","White","#E6E8FF","lavender"
"Coats Alcazar Jazz","Color #0002","Light Yellow","#ECE659","khaki2"
"Coats Alcazar Jazz","Color #0003","Yellow","#EFDA17","gold2"
"Coats Alcazar Jazz","Color #0005","Yellow","#F1D700","gold"
"Coats Alcazar Jazz","Color #0012","Light Orange","#F2AF1E","goldenrod2"
"Coats Alcazar Jazz","Color #0013","Light Orange","#D9A931","goldenrod"
"Coats Alcazar Jazz","Color #0014","Brown/Gold","#C49C30","goldenrod3"
"Coats Alcazar Jazz","Color #0015","Orange/Brown","#BE8A10","darkgoldenrod"
"Coats Alcazar Jazz","Color #0016","Brown/Olive","#AA7317","goldenrod4"
"Coats Alcazar Jazz","Color #0017","Brown","#9D7249","burlywood4"
"Coats Alcazar Jazz","Color #0020","Dark Green/Yellow","#857F35","lightgoldenrod4"
"Coats Alcazar Jazz","Color #0022","White","#E9E9E8","gray91"
"Coats Alcazar Jazz","Color #0025","Medium Yellow","#AA8D54","khaki4"
"Coats Alcazar Jazz","Color #0026","Light Orange/Red","#E2DEDA","gray87"
"Coats Alcazar Jazz","Color #0027","Pale Brown","#A88C66","lemonchiffon4"
"Coats Alcazar Jazz","Color #0031","Orange/Brown","#A05807","orange4"
"Coats Alcazar Jazz","Color #0101","Light Yellow","#E9EBE3","gray91"
"Coats Alcazar Jazz","Color #0104","Light Yellow","#F1DA97","khaki"
"Coats Alcazar Jazz","Color #0105","Pale Yellow/Gold","#EBDF81","lightgoldenrod"
"Coats Alcazar Jazz","Color #0109","Medium Orange","#F18F00","orange2"
"Coats Alcazar Jazz","Color #0120","Medium Orange","#F28B00","darkorange"
"Coats Alcazar Jazz","Color #0122","Orange","#F17C00","darkorange2"
"Coats Alcazar Jazz","Color #0129","Dark Green/Yellow","#685923","tan4"
"Coats Alcazar Jazz","Color #0131","Pale Orange/Brown","#CD9342","peru"
"Coats Alcazar Jazz","Color #0132","Medium Orange/Brown","#C88331","peru"
"Coats Alcazar Jazz","Color #0134","Yellow Gold","#F4C447","goldenrod1"
"Coats Alcazar Jazz","Color #0135","Medium Orange","#F5BE22","goldenrod1"
"Coats Alcazar Jazz","Color #0136","Medium Yellow","#D0AA2E","goldenrod"
"Coats Alcazar Jazz","Color #0137","Light Orange","#E0D0BE","ivory3"
"Coats Alcazar Jazz","Color #0138","Medium Brown","#9C732C","sienna"
"Coats Alcazar Jazz","Color #0141","Orange/Brown","#AF6400","darkorange3"
