"source","id","name","color","r_color"
"Coats Sylko","Color #B1003","White","#ECF0FF","aliceblue"
"Coats Sylko","Color #B1008","Pale Silver","#E9EEF2","gray93"
"Coats Sylko","Color #B1156","Bright Yellow","#E6EAB2","palegoldenrod"
"Coats Sylko","Color #B1171","PaleYellow","#F2E99E","palegoldenrod"
"Coats Sylko","Color #B1178","Dark Olive Green","#DAEFA8","palegoldenrod"
"Coats Sylko","Color #B1181","Pale Yellow","#E7EF70","khaki2"
"Coats Sylko","Color #B1182","Medium Yellow","#EDE97F","khaki2"
"Coats Sylko","Color #B1183","Pale Yellow","#E0E980","khaki2"
"Coats Sylko","Color #B1190","Dark Olive Green","#E1FF9F","palegoldenrod"
"Coats Sylko","Color #B1195","Pale Yellow","#DEE45B","darkolivegreen2"
"Coats Sylko","Color #B1197","Fluo Yellow/ Green","#C8FF4E","olivedrab1"
"Coats Sylko","Color #B1198","Dark Green","#D5E72C","olivedrab2"
"Coats Sylko","Color #B1199","Dark Green","#D2E443","olivedrab1"
"Coats Sylko","Color #B1214","Pale Beige","#E7D32F","goldenrod2"
"Coats Sylko","Color #B1220","Gold/Yellow","#E8FF45","olivedrab1"
"Coats Sylko","Color #B1222","Fluo Yellow","#E8C332","goldenrod2"
"Coats Sylko","Color #B1233","Pale Yellow","#E8CA70","khaki3"
"Coats Sylko","Color #B1234","Pale Yellow","#ECEC2C","yellow2"
"Coats Sylko","Color #B1235","Pale Yellow","#EDD790","burlywood2"
"Coats Sylko","Color #B1236","Cream","#F1D766","lightgoldenrod2"
"Coats Sylko","Color #B1237","Gold/Yellow","#F5DC00","gold"
"Coats Sylko","Color #B1238","Gold/Yellow","#FDFB00","yellow"
"Coats Sylko","Color #B1239","Gold/Yellow","#EFE700","yellow2"
"Coats Sylko","Color #B1240","Fluo Orange","#E3DA00","gold2"
"Coats Sylko","Color #B1256","Mustard Yellow","#E7B741","goldenrod2"
"Coats Sylko","Color #B1261","Fluo Yellow","#F5C100","gold2"
"Coats Sylko","Color #B1265","Gold/Yellow","#E6A82D","goldenrod"
"Coats Sylko","Color #B1269","Mustard Yellow","#E7B922","goldenrod2"
"Coats Sylko","Color #B1270","Gold/Orange","#E99D0F","darkgoldenrod2"
"Coats Sylko","Color #B1271","Dark Gold/Orange","#E69D00","orange2"
"Coats Sylko","Color #B1273","Dark Gold/Orange","#EFA100","orange2"
"Coats Sylko","Color #B1282","Dark Gold/Yellow","#E6B000","darkgoldenrod2"
"Coats Sylko","Color #B1284","Fluo Yellow/Green","#EBBB00","gold2"
