"source","id","name","color","r_color"
"Coats Sylko USA","Color #B1015","Fluorescent Yellow","#DFFF2C","olivedrab1"
"Coats Sylko USA","Color #B1137","Straw Yellow","#EEDEA2","navajowhite2"
"Coats Sylko USA","Color #B1143","Maize Silk","#E2D999","navajowhite2"
"Coats Sylko USA","Color #B1169","Pale Yellow","#E2E08A","khaki"
"Coats Sylko USA","Color #B1170","Pale Sunflower","#EDE59F","palegoldenrod"
"Coats Sylko USA","Color #B1213","Mimosa","#DECB3D","goldenrod2"
"Coats Sylko USA","Color #B1216","Daffodil","#EEEE58","khaki2"
"Coats Sylko USA","Color #B1224","Gold Goblet","#F3D243","goldenrod1"
"Coats Sylko USA","Color #B1232","Yellow","#ECC460","sandybrown"
"Coats Sylko USA","Color #B1261","Golden Yellow","#F1BC00","gold2"
"Coats Sylko USA","Color #B1266","Yellow Poppy","#E9B431","goldenrod2"
"Coats Sylko USA","Color #B1267","Goldenrod","#DF971A","goldenrod"
"Coats Sylko USA","Color #B1269","Liberty Gold","#E6AB0B","darkgoldenrod2"
"Coats Sylko USA","Color #B1271","Marigold","#E19B00","orange2"
"Coats Sylko USA","Color #B1274","Gold","#EDB311","darkgoldenrod2"
"Coats Sylko USA","Color #B1285","Gold Rush","#E69300","orange2"
"Coats Sylko USA","Color #B1318","Shelley Gold","#D7AC61","sandybrown"
"Coats Sylko USA","Color #B1340","Maize","#E5CE97","navajowhite2"
"Coats Sylko USA","Color #B1357","Lemonade","#EFE1AF","wheat2"
"Coats Sylko USA","Color #B1376","Popcorn","#E9D279","lightgoldenrod2"
"Coats Sylko USA","Color #B1416","Brass","#BE8900","orange3"
"Coats Sylko USA","Color #B1422","Royal Gold","#D39A00","darkgoldenrod3"
"Coats Sylko USA","Color #B1456","Grapefruit","#C4AA65","darkkhaki"
"Coats Sylko USA","Color #B1479","Golden Wheat","#AB881E","darkgoldenrod"
"Coats Sylko USA","Color #B1488","Faded Brass","#A99A52","khaki4"
"Coats Sylko USA","Color #B1720","White","#E7EFF9","lavender"
"Coats Sylko USA","Color #B2024","Fluorescent Orange","#FF542E","brown1"
"Coats Sylko USA","Color #B2101","Bright Coral","#EC8A6F","lightsalmon2"
"Coats Sylko USA","Color #B2154","Light Apricot","#E0C2AE","antiquewhite3"
"Coats Sylko USA","Color #B2163","Miami","#DC8064","lightsalmon3"
"Coats Sylko USA","Color #B2200","Saffron","#B8705C","salmon3"
"Coats Sylko USA","Color #B2216","Spanish Red","#C8302F","brown3"
