"source","id","name","color","r_color"
"DMC","Color #5200","Snow White(B5200)","#FFFFFF","white"
"DMC","Color #0","White","#FFFFFF","white"
"DMC","Color #0","Ecru","#FFECBF","wheat1"
"DMC","Color #208","Lavender Very Dark","#945B80","plum4"
"DMC","Color #209","Lavender Dark","#CE94BA","plum3"
"DMC","Color #210","Lavender Medium","#ECCFE1","thistle2"
"DMC","Color #211","Lavender Light","#F3DAE4","lavenderblush2"
"DMC","Color #221","Shell Pink Very Dark","#9C294A","violetred4"
"DMC","Color #223","Shell Pink Light","#DB8073","lightsalmon3"
"DMC","Color #224","Shell Pink Very Light","#FFC7B0","rosybrown1"
"DMC","Color #225","Shell Pink Ultra Very L","#FFF0E4","linen"
"DMC","Color #300","Mahogany Very Dark","#8F3926","tomato4"
"DMC","Color #301","Mahogany Medium","#D16654","salmon3"
"DMC","Color #304","Christmas Red Medium","#BC0061","deeppink3"
"DMC","Color #307","Lemon","#FFE76D","lightgoldenrod1"
"DMC","Color #309","Rose Dark","#D62B5B","violetred3"
"DMC","Color #310","Black","#000000","black"
"DMC","Color #311","Navy Blue Medium","#004F61","dodgerblue4"
"DMC","Color #312","Navy Blue Light","#3A5467","darkslategray"
"DMC","Color #315","Antique Mauve Very Dark","#A35A5B","lightpink4"
"DMC","Color #316","Antique Mauve Medium","#DC8D8D","lightpink3"
"DMC","Color #317","Pewter Grey","#A78B88","snow4"
"DMC","Color #318","Steel Grey Light","#C5C6BE","gray77"
"DMC","Color #319","Pistachio Green Very Dark","#555F52","gray33"
"DMC","Color #320","Pistachio Green Medium","#8A9978","lightyellow4"
"DMC","Color #321","Christmas Red","#E71261","deeppink2"
"DMC","Color #322","Navy Blue Very Light","#516D87","skyblue4"
"DMC","Color #326","Rose Very Dark","#BC1641","firebrick"
"DMC","Color #327","Violet Dark","#3D0067","midnightblue"
"DMC","Color #333","Blue Violet Very Dark","#7F5482","orchid4"
"DMC","Color #334","Baby Blue Medium","#738CAA","lightslategray"
"DMC","Color #335","Rose","#DB244F","brown3"
"DMC","Color #336","Navy Blue","#244967","darkslategray"
"DMC","Color #340","Blue Violet Medium","#A279A4","gray63"
"DMC","Color #341","Blue Violet Light","#91B4C5","lightskyblue3"
"DMC","Color #347","Salmon Very Dark","#C22443","brown3"
"DMC","Color #349","Coral Dark","#DC3D5B","indianred3"
"DMC","Color #350","Coral Medium","#ED455A","indianred2"
"DMC","Color #351","Coral","#FF8087","lightcoral"
"DMC","Color #352","Coral Light","#FF9D90","lightsalmon"
"DMC","Color #353","Peach Flesh","#FFC4B8","rosybrown1"
"DMC","Color #355","Terra Cotta Dark","#BD492F","tomato3"
"DMC","Color #356","Terra Cotta Medium","#E2725B","salmon3"
"DMC","Color #367","Pistachio Green Dark","#5F705B","gray37"
"DMC","Color #368","Pistachio Green Light","#B5CEA2","lemonchiffon3"
"DMC","Color #369","Pistachio Green Very Light","#F3FAD1","lightgoldenrodyellow"
"DMC","Color #370","Mustard Medium","#B88A57","lightsalmon3"
"DMC","Color #371","Mustard","#C49B64","lightsalmon3"
"DMC","Color #372","Mustard Light","#CBA26B","burlywood3"
"DMC","Color #400","Mahogany Dark","#9D3C27","tomato4"
"DMC","Color #402","Mahogany Very Light","#FFBEA4","burlywood1"
"DMC","Color #407","Sportsman Flsh Very D","#C2654C","coral3"
"DMC","Color #413","Pewter Grey Dark","#6D5F5F","gray38"
"DMC","Color #414","Steel Grey Dark","#A78B88","snow4"
"DMC","Color #415","Pearl Grey","#DDDDDA","gainsboro"
"DMC","Color #420","Hazel Nut Brown Dark","#8C5B2B","tan4"
"DMC","Color #422","Hazel Nut Brown Light","#EDAC7B","darksalmon"
"DMC","Color #433","Brown Medium","#975414","chocolate4"
"DMC","Color #434","Brown Light","#B26746","coral3"
"DMC","Color #435","Brown Very Light","#BB6B39","sienna3"
"DMC","Color #436","Tan","#E79873","darksalmon"
"DMC","Color #437","Tan Light","#EEAB79","darksalmon"
"DMC","Color #444","Lemon Dark","#FFB000","orange"
"DMC","Color #445","Lemon Light","#FFFFBE","lemonchiffon"
"DMC","Color #451","Shell Grey Dark","#B3978F","rosybrown"
"DMC","Color #452","Shell Grey Medium","#D2B9AF","antiquewhite3"
"DMC","Color #453","Shell Grey Light","#EBCFB9","bisque2"
"DMC","Color #469","Avocado Green","#74725C","gray45"
"DMC","Color #470","Avocado Green Light","#858F6C","lemonchiffon4"
"DMC","Color #471","Avocado Green Very Light","#B0BB8C","darkseagreen"
"DMC","Color #472","Avocado Green Ultra L","#EEFFB6","lemonchiffon2"
"DMC","Color #498","Christmas Red Light","#BB0061","deeppink3"
"DMC","Color #500","Blue Green Very Dark","#2B3929","gray17"
"DMC","Color #501","Blue Green Dark","#435549","gray29"
"DMC","Color #502","Blue Green","#869E86","gray53"
"DMC","Color #503","Blue Green Medium","#C3CEB7","honeydew3"
"DMC","Color #504","Blue Green Light","#CEDDC1","ivory3"
"DMC","Color #517","Wedgewood Medium","#107F87","turquoise4"
"DMC","Color #518","Wedgewood Light","#66949A","cadetblue"
"DMC","Color #519","Sky Blue","#C2D1CF","azure3"
"DMC","Color #520","Fern Green Dark","#374912","gray21"
"DMC","Color #522","Fern Green","#9FA98E","gray62"
"DMC","Color #523","Fern Green Light","#ACB78E","darkseagreen"
"DMC","Color #524","Fern Green Very Light","#CDB69E","bisque3"
"DMC","Color #535","Ash Grey Very Light","#555559","gray34"
"DMC","Color #543","Beige Brown Ultra Very Light","#EFD6BC","bisque2"
"DMC","Color #550","Violet Very Light","#6D1261","maroon4"
"DMC","Color #552","Violet Medium","#925582","orchid4"
"DMC","Color #553","Violet","#A06492","plum4"
"DMC","Color #554","Violet Light","#F3CEE1","thistle2"
"DMC","Color #561","Jade Very Dark","#3B604C","darkslategray"
"DMC","Color #562","Jade Medium","#618661","darkseagreen4"
"DMC","Color #563","Jade Light","#B6D4B4","darkseagreen2"
"DMC","Color #564","Jade Very Light","#D6E6CC","gray84"
"DMC","Color #580","Moss Green Dark","#006700","darkgreen"
"DMC","Color #581","Moss Green","#979831","olivedrab3"
"DMC","Color #597","Turquoise","#809784","honeydew4"
"DMC","Color #598","Turquoise Light","#D0DFCD","gray81"
"DMC","Color #600","Cranberry Very Dark","#D0396A","violetred3"
"DMC","Color #601","Cranberry Dark","#DE3969","violetred3"
"DMC","Color #602","Cranberry Medium","#E7547A","indianred2"
"DMC","Color #603","Cranberry","#FF738C","lightcoral"
"DMC","Color #604","Cranberry Light","#FFBDCA","pink"
"DMC","Color #605","Cranberry Very Light","#FFCFD6","pink"
"DMC","Color #606","Bright Orange Red","#FF0000","red"
"DMC","Color #608","Bright Orange","#FF5B00","orangered"
"DMC","Color #610","Drab Brown Very Dark","#976854","burlywood4"
"DMC","Color #611","Drab Brown Dark","#9E6D5B","burlywood4"
"DMC","Color #612","Drab Brown Medium","#CB9867","lightsalmon3"
"DMC","Color #613","Drab Brown Light","#DBB07A","burlywood3"
"DMC","Color #632","Negro Flesh Medium","#A24D34","sienna"
"DMC","Color #640","Beige Grey Very Dark","#A3A39D","gray64"
"DMC","Color #642","Beige Grey Dark","#AEB0AA","gray68"
"DMC","Color #644","Beige Grey Medium","#E0E0D7","gray88"
"DMC","Color #645","Beaver Grey Very Dark","#717171","gray44"
"DMC","Color #646","Beaver Grey Dark","#797979","gray47"
