"source","id","name","color","r_color"
"DesignsBySiCK.com 112 Color Kit","Color #101","Colour Name","#00080B","gray3"
"DesignsBySiCK.com 112 Color Kit","Color #102","Colour Name","#E3E2E8","gray89"
"DesignsBySiCK.com 112 Color Kit","Color #110","Colour Name","#F4F0DB","beige"
"DesignsBySiCK.com 112 Color Kit","Color #115","Colour Name","#EEE9C3","lemonchiffon2"
"DesignsBySiCK.com 112 Color Kit","Color #120","Colour Name","#E1BC8F","burlywood"
"DesignsBySiCK.com 112 Color Kit","Color #121","Colour Name","#BA9481","rosybrown"
"DesignsBySiCK.com 112 Color Kit","Color #122","Colour Name","#ACA5AD","gray67"
"DesignsBySiCK.com 112 Color Kit","Color #123","Colour Name","#A8A39D","gray64"
"DesignsBySiCK.com 112 Color Kit","Color #125","Colour Name","#B68E75","rosybrown"
"DesignsBySiCK.com 112 Color Kit","Color #126","Colour Name","#987C66","wheat4"
"DesignsBySiCK.com 112 Color Kit","Color #127","Colour Name","#4C424D","gray30"
"DesignsBySiCK.com 112 Color Kit","Color #130","Colour Name","#C377BB","orchid3"
"DesignsBySiCK.com 112 Color Kit","Color #131","Colour Name","#CC572C","tomato3"
"DesignsBySiCK.com 112 Color Kit","Color #135","Colour Name","#6F2613","brown4"
"DesignsBySiCK.com 112 Color Kit","Color #140","Colour Name","#5C342C","gray20"
"DesignsBySiCK.com 112 Color Kit","Color #143","Colour Name","#2B1232","gray17"
"DesignsBySiCK.com 112 Color Kit","Color #145","Colour Name","#1C1A1B","gray10"
"DesignsBySiCK.com 112 Color Kit","Color #195","Colour Name","#F0ECBC","lemonchiffon2"
"DesignsBySiCK.com 112 Color Kit","Color #196","Colour Name","#FFE3A2","navajowhite"
"DesignsBySiCK.com 112 Color Kit","Color #200","Colour Name","#E8E679","khaki2"
"DesignsBySiCK.com 112 Color Kit","Color #201","Colour Name","#FFE983","lightgoldenrod1"
"DesignsBySiCK.com 112 Color Kit","Color #205","Colour Name","#DEC200","gold2"
"DesignsBySiCK.com 112 Color Kit","Color #206","Colour Name","#FFD01E","goldenrod1"
"DesignsBySiCK.com 112 Color Kit","Color #207","Colour Name","#E6A018","goldenrod"
"DesignsBySiCK.com 112 Color Kit","Color #210","Colour Name","#F28018","chocolate2"
"DesignsBySiCK.com 112 Color Kit","Color #211","Colour Name","#F47B44","sienna2"
"DesignsBySiCK.com 112 Color Kit","Color #212","Colour Name","#DD7921","chocolate2"
