"source","id","name","color","r_color"
"DesignsBySiCK 50 Color Kit","Color #1618","White","#FFFFFF","white"
"DesignsBySiCK 50 Color Kit","Color #1621","Black","#000000","black"
"DesignsBySiCK 50 Color Kit","Color #1625","Pink","#FFCAE4","mistyrose"
"DesignsBySiCK 50 Color Kit","Color #1659","Wine","#5E002F","deeppink4"
"DesignsBySiCK 50 Color Kit","Color #1665","Peach","#FD9F77","lightsalmon"
"DesignsBySiCK 50 Color Kit","Color #1669","Apricot","#FFC082","burlywood2"
"DesignsBySiCK 50 Color Kit","Color #1681","Burnt Orange","#CA6500","darkorange3"
"DesignsBySiCK 50 Color Kit","Color #1683","Orange","#FF8000","darkorange1"
"DesignsBySiCK 50 Color Kit","Color #1703","Lemon","#FFFF9D","khaki1"
"DesignsBySiCK 50 Color Kit","Color #1706","Yellow","#FDFD00","yellow"
"DesignsBySiCK 50 Color Kit","Color #1711","Goldenrod","#EACA4A","tan2"
"DesignsBySiCK 50 Color Kit","Color #1733","Turquoise","#33998A","darkslategray4"
"DesignsBySiCK 50 Color Kit","Color #1741","Light Lemon","#E3F2B0","palegoldenrod"
"DesignsBySiCK 50 Color Kit","Color #1743","Peridot","#99E886","lightgreen"
"DesignsBySiCK 50 Color Kit","Color #1746","Leaf Green","#4FD02F","limegreen"
"DesignsBySiCK 50 Color Kit","Color #1750","Light Leaf Green","#9FD327","olivedrab3"
"DesignsBySiCK 50 Color Kit","Color #1752","Green","#3C9E23","forestgreen"
"DesignsBySiCK 50 Color Kit","Color #1767","Light Lime","#C7F3BA","darkseagreen1"
"DesignsBySiCK 50 Color Kit","Color #1788","Dk Turquoise","#1F5F55","darkslategray"
"DesignsBySiCK 50 Color Kit","Color #1795","Saphire","#0000A6","blue4"
"DesignsBySiCK 50 Color Kit","Color #1833","Baby Blue","#A9ECFA","paleturquoise2"
"DesignsBySiCK 50 Color Kit","Color #1869","Lt Lavendar","#DDDDFF","lavender"
"DesignsBySiCK 50 Color Kit","Color #1878","Purple","#952BFF","purple1"
"DesignsBySiCK 50 Color Kit","Color #1879","Majestic Purple","#6D1D65","maroon4"
"DesignsBySiCK 50 Color Kit","Color #1884","Fushia","#BD2877","violetred3"
"DesignsBySiCK 50 Color Kit","Color #1900","Flesh","#E0C998","burlywood2"
"DesignsBySiCK 50 Color Kit","Color #1920","Cinnamon","#CF833D","peru"
"DesignsBySiCK 50 Color Kit","Color #1940","Brown","#804000","darkorange4"
"DesignsBySiCK 50 Color Kit","Color #1941","Beige","#D9BC82","burlywood"
"DesignsBySiCK 50 Color Kit","Color #1952","Gold","#BC9B16","goldenrod3"
"DesignsBySiCK 50 Color Kit","Color #1977","Rust","#965A25","tan4"
"DesignsBySiCK 50 Color Kit","Color #1995","Grey","#808080","gray50"
"DesignsBySiCK 50 Color Kit","Color #1996","Slate Blue","#AAB6BF","gray71"
"DesignsBySiCK 50 Color Kit","Color #1998","Steel","#4D4D4D","gray30"
"DesignsBySiCK 50 Color Kit","Color #2005","Olive","#7B8D34","darkolivegreen4"
"DesignsBySiCK 50 Color Kit","Color #2011","Midnight","#00005E","navy"
"DesignsBySiCK 50 Color Kit","Color #2015","Red","#D90000","red3"
"DesignsBySiCK 50 Color Kit","Color #2016","Magneta","#CC0066","deeppink3"
"DesignsBySiCK 50 Color Kit","Color #2101","Blue","#5353FF","royalblue1"
"DesignsBySiCK 50 Color Kit","Color #2147","Dk Rust","#A04D1B","sienna"
"DesignsBySiCK 50 Color Kit","Color #2151","Burgandy","#880044","deeppink4"
"DesignsBySiCK 50 Color Kit","Color #2152","Fire","#C10000","red3"
"DesignsBySiCK 50 Color Kit","Color #2154","Dusty Rose","#E27B76","lightcoral"
"DesignsBySiCK 50 Color Kit","Color #2163","Azalia","#FD7792","palevioletred2"
"DesignsBySiCK 50 Color Kit","Color #2165","Rose","#F75172","indianred1"
"DesignsBySiCK 50 Color Kit","Color #2235","Bark","#4F2700","orangered4"
"DesignsBySiCK 50 Color Kit","Color #2271","Light Turquoise","#4BD69E","seagreen2"
"DesignsBySiCK 50 Color Kit","Color #2283","Hot Pink","#FF75BA","hotpink1"
"DesignsBySiCK 50 Color Kit","Color #2304","Royalty Purple","#5E0EBE","purple3"
"DesignsBySiCK 50 Color Kit","Color #2308","Peacock","#26629D","steelblue4"
