"source","id","name","color","r_color"
"DesignsBySick Polyester V2","Color #1618","White","#FFFFFA","white"
"DesignsBySick Polyester V2","Color #1621","Black","#000000","black"
"DesignsBySick Polyester V2","Color #1652","Mid Lilac","#FF91F0","orchid1"
"DesignsBySick Polyester V2","Color #1665","Salmon","#FFB49B","burlywood1"
"DesignsBySick Polyester V2","Color #1669","Star Gold","#FFD459","tan1"
"DesignsBySick Polyester V2","Color #1681","Honeydew","#FF9C0A","orange"
"DesignsBySick Polyester V2","Color #1683","Orange","#FF6600","darkorange1"
"DesignsBySick Polyester V2","Color #1703","Ivory White","#FFFFE3","lightyellow"
"DesignsBySick Polyester V2","Color #1706","Pale Yellow","#FFFF70","khaki1"
"DesignsBySick Polyester V2","Color #1711","Canary Yellow","#FFF526","yellow"
"DesignsBySick Polyester V2","Color #1733","Peppermint","#3AD497","seagreen3"
"DesignsBySick Polyester V2","Color #1741","Brilliant Lime","#A8FF78","darkolivegreen1"
"DesignsBySick Polyester V2","Color #1743","Bright Green","#8CFF42","greenyellow"
"DesignsBySick Polyester V2","Color #1746","Fluorescent Green","#8FF533","greenyellow"
"DesignsBySick Polyester V2","Color #1750","Bright Green","#8CFF42","greenyellow"
"DesignsBySick Polyester V2","Color #1752","Harvest Green","#2ED100","green3"
"DesignsBySick Polyester V2","Color #1767","Brilliant Lime","#B5FF8A","palegreen1"
"DesignsBySick Polyester V2","Color #1788","Dark Green","#005130","darkgreen"
"DesignsBySick Polyester V2","Color #1795","Royal","#211C75","midnightblue"
"DesignsBySick Polyester V2","Color #2308","Royal","#211C75","midnightblue"
"DesignsBySick Polyester V2","Color #1833","Pale Blue","#A1CCF8","lightskyblue2"
"DesignsBySick Polyester V2","Color #1869","Pale Pink","#EED1FA","thistle2"
"DesignsBySick Polyester V2","Color #1878","Royal Purple","#4C0073","purple4"
"DesignsBySick Polyester V2","Color #1879","Mahogany","#470019","gray10"
"DesignsBySick Polyester V2","Color #1884","Fushia","#BD2877","violetred3"
"DesignsBySick Polyester V2","Color #1900","Cloud Pink","#F0CCC0","bisque2"
"DesignsBySick Polyester V2","Color #1914","Pale Yellow","#FFF5A8","khaki1"
"DesignsBySick Polyester V2","Color #1920","Goldenrod","#DC9C11","goldenrod"
"DesignsBySick Polyester V2","Color #1940","Dark Chocolate","#380000","black"
"DesignsBySick Polyester V2","Color #1952","Gold","#BC9B16","goldenrod3"
"DesignsBySick Polyester V2","Color #1977","Almond","#CC730A","darkorange3"
"DesignsBySick Polyester V2","Color #1995","Gray Ridge","#82780D","gold4"
"DesignsBySick Polyester V2","Color #1996","Dawn Blue","#CCD1CF","gray81"
"DesignsBySick Polyester V2","Color #1998","Dark Grey","#757075","gray46"
"DesignsBySick Polyester V2","Color #2005","Green","#358200","chartreuse4"
"DesignsBySick Polyester V2","Color #2011","Black","#00000A","black"
"DesignsBySick Polyester V2","Color #2015","Red","#CC2623","firebrick3"
"DesignsBySick Polyester V2","Color #2016","Red","#CC2623","firebrick3"
"DesignsBySick Polyester V2","Color #2101","Royal","#211C75","midnightblue"
"DesignsBySick Polyester V2","Color #2147","Dk Rust","#A04D1B","sienna"
"DesignsBySick Polyester V2","Color #2151","Medium Red/Orange","#AE000A","red3"
"DesignsBySick Polyester V2","Color #2152","Dark Red/Orange","#A30030","brown"
"DesignsBySick Polyester V2","Color #2154","Petal Pink","#FFA3C5","pink1"
"DesignsBySick Polyester V2","Color #2163","Azalia","#FD7792","palevioletred2"
"DesignsBySick Polyester V2","Color #2165","Begonia","#F8517A","indianred1"
"DesignsBySick Polyester V2","Color #2235","Dark Brown","#2E1700","gray9"
"DesignsBySick Polyester V2","Color #2271","Seafrost","#78FFBA","aquamarine2"
"DesignsBySick Polyester V2","Color #2283","Crimson","#F038C5","maroon1"
"DesignsBySick Polyester V2","Color #2304","Purple Shadow","#68008F","darkorchid4"
