"source","id","name","color","r_color"
"FuFu Rayon","Color #100","Oyster","#EDE1E4","lavenderblush2"
"FuFu Rayon","Color #101","Pale Lavender","#F0CCD8","mistyrose2"
"FuFu Rayon","Color #1011","Desert Bloom","#F2C2BD","rosybrown1"
"FuFu Rayon","Color #1013","Medium Pink","#E1798F","palevioletred"
"FuFu Rayon","Color #1014","Med Plum","#C9667D","palevioletred3"
"FuFu Rayon","Color #102","Sweet Lilac","#F1BBCD","pink"
"FuFu Rayon","Color #1020","Orchid Ice","#E8D2D1","mistyrose2"
"FuFu Rayon","Color #1021","Pink Mist","#ECC2BF","rosybrown1"
"FuFu Rayon","Color #103","Carnation","#F3ABBF","pink2"
"FuFu Rayon","Color #1031","Pale Pink","#D59BB0","rosybrown3"
"FuFu Rayon","Color #1032","Polignac","#C5849F","pink3"
"FuFu Rayon","Color #1033","Medium Purple","#B46A88","palevioletred3"
"FuFu Rayon","Color #1034","Dahlia Mauve","#A85B7B","pink4"
"FuFu Rayon","Color #1035","Medium Purple","#934162","hotpink4"
"FuFu Rayon","Color #1036","Dark Brown","#863F5C","palevioletred4"
"FuFu Rayon","Color #1037","Wine","#7C2F4B","violetred4"
"FuFu Rayon","Color #1038","Grape Shake","#662C46","gray27"
"FuFu Rayon","Color #104","Medium Pink","#F197AF","lightpink2"
"FuFu Rayon","Color #105","Floral Pink","#EC7A9B","palevioletred2"
"FuFu Rayon","Color #1051","Orange","#E7452A","brown2"
"FuFu Rayon","Color #1052","Honeysuckle","#E23B2C","brown2"
"FuFu Rayon","Color #1053","Honeysuckle","#E0362B","firebrick2"
"FuFu Rayon","Color #106","Dark Pink","#E25D86","hotpink3"
"FuFu Rayon","Color #107","Medium Pink","#D84376","violetred3"
"FuFu Rayon","Color #1081","Candy Pink","#F3B5B9","rosybrown2"
"FuFu Rayon","Color #1082","Classic Wine","#EB94A2","lightpink2"
"FuFu Rayon","Color #1083","Magenta Dark","#DF5579","indianred2"
"FuFu Rayon","Color #1084","Cerise","#D6355C","violetred3"
"FuFu Rayon","Color #1085","Rose Very Dark","#C71342","brown3"
