"source","id","name","color","r_color"
"Isacord Polyester","Color #0010","White","#FFFFFA","white"
"Isacord Polyester","Color #0015","White","#FFFFFF","white"
"Isacord Polyester","Color #0017","White","#F8FFFF","white"
"Isacord Polyester","Color #0020","Black","#000000","black"
"Isacord Polyester","Color #0101","Ivory White","#FFFFE8","ivory"
"Isacord Polyester","Color #0108","Medium Grey","#757A85","lightsteelblue4"
"Isacord Polyester","Color #0111","Dark Gray","#54615E","gray37"
"Isacord Polyester","Color #0112","Dark Grey","#757075","gray46"
"Isacord Polyester","Color #0124","White","#F0F3F3","gray95"
"Isacord Polyester","Color #0131","Light Orange/Red","#E3DCE1","gray88"
"Isacord Polyester","Color #0132","Ocean Depths","#28454C","darkslategray"
"Isacord Polyester","Color #0142","Dawn Blue","#CCD1CF","gray81"
"Isacord Polyester","Color #0145","Cream","#DCE3EB","gray89"
"Isacord Polyester","Color #0150","Natural White","#F0F0E1","ivory2"
"Isacord Polyester","Color #0151","Light Yellow","#EBE8DC","seashell2"
"Isacord Polyester","Color #0152","Gray Ridge","#827887","gray51"
"Isacord Polyester","Color #0180","Star White","#FFF5EE","seashell"
"Isacord Polyester","Color #0182","Cream","#E3DCF0","gray89"
"Isacord Polyester","Color #0184","White","#F8EEFD","ghostwhite"
"Isacord Polyester","Color #0221","Gold/Yellow","#F0FF42","olivedrab1"
"Isacord Polyester","Color #0232","Pale Yellow","#D9FF78","darkolivegreen1"
"Isacord Polyester","Color #0250","Pale Lemon","#F8F8C0","lemonchiffon"
"Isacord Polyester","Color #0270","Ivory White","#FFFFE3","lightyellow"
"Isacord Polyester","Color #0310","Pale Yellow","#FFFF70","khaki1"
"Isacord Polyester","Color #0311","Daffodil","#FFEE0F","yellow"
"Isacord Polyester","Color #0345","Medium Yellow/Green","#8C972E","khaki4"
"Isacord Polyester","Color #0352","Sharp Green","#C5E866","darkolivegreen2"
"Isacord Polyester","Color #0442","Lime","#A6BD28","olivedrab3"
"Isacord Polyester","Color #0453","Medium Green/Yellow","#85AE4C","khaki4"
"Isacord Polyester","Color #0463","Mint Green","#80C291","darkseagreen"
"Isacord Polyester","Color #0465","Dark Green","#264000","gray15"
"Isacord Polyester","Color #0501","Gold/Yellow","#FFFF00","yellow"
"Isacord Polyester","Color #0506","Canary Yellow","#FFEE23","goldenrod1"
"Isacord Polyester","Color #0520","Pale Yellow","#FFFFB8","lemonchiffon"
"Isacord Polyester","Color #0532","Medium Yellow","#EEE67A","khaki2"
"Isacord Polyester","Color #0542","Dark Green","#D9D71E","yellow3"
"Isacord Polyester","Color #0546","Dark Green","#CCD700","yellow3"
"Isacord Polyester","Color #0552","Misted Yellow","#C2B851","darkkhaki"
"Isacord Polyester","Color #0600","Canary Yellow","#FFF526","yellow"
"Isacord Polyester","Color #0605","Gold/Yellow","#FFF000","yellow"
"Isacord Polyester","Color #0608","Daffodil","#FFF00C","yellow"
"Isacord Polyester","Color #0630","Pale Yellow","#FFFAB3","moccasin"
"Isacord Polyester","Color #0640","Mustard","#FFFA91","khaki1"
"Isacord Polyester","Color #0651","Pale Yellow","#FFF3B0","moccasin"
"Isacord Polyester","Color #0660","Pale Lemon","#FDFDCA","lemonchiffon"
"Isacord Polyester","Color #0670","Ivory White","#FDFDD7","lightgoldenrodyellow"
"Isacord Polyester","Color #0672","Light Yellow","#E6F0BD","lemonchiffon2"
"Isacord Polyester","Color #0700","Canary Yellow","#FFE81E","goldenrod1"
"Isacord Polyester","Color #0702","Gold/Yellow","#F8E305","gold"
"Isacord Polyester","Color #0704","Gold/Yellow","#FFE600","gold"
"Isacord Polyester","Color #0706","Sunflower","#FFCF00","gold"
"Isacord Polyester","Color #0713","Lemon","#FFF354","khaki1"
"Isacord Polyester","Color #0722","Beechnut","#C5B580","navajowhite3"
"Isacord Polyester","Color #0747","Palmetto","#616300","orange4"
"Isacord Polyester","Color #0761","Ivory White","#FFFFCF","lemonchiffon"
"Isacord Polyester","Color #0776","Medium Green/Yellow","#80705E","navajowhite4"
"Isacord Polyester","Color #0800","Medium Yellow","#FFD305","gold"
"Isacord Polyester","Color #0811","Yellow","#FFD930","goldenrod1"
"Isacord Polyester","Color #0821","Canary","#F5D423","goldenrod1"
"Isacord Polyester","Color #0822","Gold Goblet","#E8DE40","lightgoldenrod"
"Isacord Polyester","Color #0824","Yellow","#EED90C","gold2"
"Isacord Polyester","Color #0832","Gold Goblet","#F0D74C","lightgoldenrod2"
"Isacord Polyester","Color #0842","Gold","#CAAE21","goldenrod"
"Isacord Polyester","Color #0851","Daffodil","#FFD970","lightgoldenrod2"
"Isacord Polyester","Color #0853","Medium Yellow/Green","#918521","yellow4"
"Isacord Polyester","Color #0861","Bright Yellow","#E6E3B3","wheat"
"Isacord Polyester","Color #0862","Pistachio","#CCC59C","lemonchiffon3"
"Isacord Polyester","Color #0870","Ivory White","#FDFFD4","lightgoldenrodyellow"
"Isacord Polyester","Color #0873","Pistachio","#CAC58F","wheat3"
"Isacord Polyester","Color #0874","Seashell","#D9CCB0","cornsilk3"
"Isacord Polyester","Color #0904","Fluo Yellow","#F8BE00","gold2"
"Isacord Polyester","Color #0922","Mustard Yellow","#E3C01C","goldenrod2"
"Isacord Polyester","Color #0931","Royal Gold","#D1AE00","gold3"
"Isacord Polyester","Color #0932","Goldenrod","#DC9C11","goldenrod"
"Isacord Polyester","Color #0933","Chocolate","#663300","orangered4"
"Isacord Polyester","Color #0934","Medium Green/Yellow","#C0A342","peru"
"Isacord Polyester","Color #0940","Fluo Yellow/Green","#E6CA00","gold2"
"Isacord Polyester","Color #0941","Medium Yellow","#C2B02B","goldenrod"
"Isacord Polyester","Color #0945","Dark Olive Green","#614A21","sienna4"
"Isacord Polyester","Color #0970","Pale Lemon","#FFFFCC","lemonchiffon"
"Isacord Polyester","Color #1055","Brown","#543A1E","gray23"
"Isacord Polyester","Color #1060","Wheat","#FFE18A","lightgoldenrod1"
"Isacord Polyester","Color #1061","Rattan","#DCB86E","lightgoldenrod3"
"Isacord Polyester","Color #1102","Honeydew","#FF9C0A","orange"
"Isacord Polyester","Color #1106","Sunkist","#FF4C00","orangered"
"Isacord Polyester","Color #1114","Medium Orange","#FF942E","chocolate1"
"Isacord Polyester","Color #1115","Almond","#CC730A","darkorange3"
"Isacord Polyester","Color #1120","Honey Dew","#FF9700","darkorange"
"Isacord Polyester","Color #1123","Grapefruit","#C0AE5E","darkkhaki"
"Isacord Polyester","Color #1134","Brown","#7A471E","sienna4"
"Isacord Polyester","Color #1140","Pale Yellow","#FFF5A8","khaki1"
"Isacord Polyester","Color #1141","Almond Oil","#FDE8B5","moccasin"
"Isacord Polyester","Color #1154","Orange/Brown","#8F4F00","darkorange4"
"Isacord Polyester","Color #1172","Light Sulphur","#F0EE91","khaki"
"Isacord Polyester","Color #1220","Medium Orange","#FF992B","chocolate1"
"Isacord Polyester","Color #1300","Orange","#FF6600","darkorange1"
"Isacord Polyester","Color #1301","Orange","#E84200","orangered2"
"Isacord Polyester","Color #1304","Sunkist","#F04700","orangered2"
"Isacord Polyester","Color #1305","Paprika","#FF4F00","orangered"
"Isacord Polyester","Color #1306","Red","#FF0000","red"
"Isacord Polyester","Color #1311","Orange","#CF5705","darkorange3"
"Isacord Polyester","Color #1312","Light Orange/Red","#B53000","orangered3"
"Isacord Polyester","Color #1332","Hazel","#E67528","chocolate2"
"Isacord Polyester","Color #1334","Light Orange/Red","#AE2E0C","firebrick"
"Isacord Polyester","Color #1335","Light Orange/Red","#B83511","orangered3"
"Isacord Polyester","Color #1342","Orange/Brown","#AB5400","orange4"
"Isacord Polyester","Color #1346","Dark Chocolate","#380000","black"
"Isacord Polyester","Color #1351","Buff Orange","#FFBB7D","lightsalmon"
"Isacord Polyester","Color #1352","Chamois","#FFA65C","tan1"
"Isacord Polyester","Color #1355","Dark Chocolate","#4F0000","darkred"
"Isacord Polyester","Color #1362","Star Gold","#FFD459","tan1"
"Isacord Polyester","Color #1366","Dark Chocolate","#260000","black"
"Isacord Polyester","Color #1375","Dark Purple/Navy","#2B2330","gray17"
"Isacord Polyester","Color #1430","Medium Orange","#FA853A","sienna1"
"Isacord Polyester","Color #1501","Red","#FF0000","red"
"Isacord Polyester","Color #1514","Dark Orange","#C02B00","orangered3"
"Isacord Polyester","Color #1521","Coral","#F37854","coral1"
"Isacord Polyester","Color #1532","Salmon","#FFB49B","burlywood1"
"Isacord Polyester","Color #1551","Peach","#FFCCAE","navajowhite"
"Isacord Polyester","Color #1565","Medium Orange/Brown","#8A683A","lightsalmon4"
"Isacord Polyester","Color #1600","Copper","#E37A4A","sienna2"
"Isacord Polyester","Color #1701","Orange/Red","#E83300","orangered2"
"Isacord Polyester","Color #1703","Scarlet","#FF2621","firebrick1"
"Isacord Polyester","Color #1704","Red","#FF1E0C","red"
"Isacord Polyester","Color #1725","Paprika","#CA4726","tomato3"
"Isacord Polyester","Color #1755","Pale Pink","#F0CCEB","thistle2"
"Isacord Polyester","Color #1760","Cloud Pink","#F0CCC0","bisque2"
"Isacord Polyester","Color #1761","Peach","#EEBDA1","navajowhite2"
"Isacord Polyester","Color #1800","Carmine","#D90211","red3"
"Isacord Polyester","Color #1805","Rosewood","#DE1135","firebrick2"
"Isacord Polyester","Color #1840","Coral Reef","#FF9E80","lightsalmon"
"Isacord Polyester","Color #1860","Oyster","#FFE1EE","mistyrose"
"Isacord Polyester","Color #1874","Dark Brown","#544245","gray27"
"Isacord Polyester","Color #1876","Dark Brown","#2E1700","gray9"
"Isacord Polyester","Color #1900","Red","#D7002B","firebrick3"
"Isacord Polyester","Color #1902","Dark Red","#A80000","darkred"
"Isacord Polyester","Color #1903","Carmine","#DE0005","red2"
"Isacord Polyester","Color #1904","Red","#CC2623","firebrick3"
"Isacord Polyester","Color #1906","Medium Red/Orange","#AE000A","red3"
"Isacord Polyester","Color #1911","Dark Red","#940014","darkred"
"Isacord Polyester","Color #1912","Dark Chocolate","#470005","gray2"
"Isacord Polyester","Color #1913","Wine Red","#97003A","deeppink4"
"Isacord Polyester","Color #1921","Terra Cotta","#AB4C4C","sienna"
"Isacord Polyester","Color #1940","Crimson","#FF3DDC","maroon1"
"Isacord Polyester","Color #1950","Crimson","#FF00AE","deeppink"
"Isacord Polyester","Color #1972","Light Grey/Green","#B5B5B5","gray71"
"Isacord Polyester","Color #2011","Cranberry","#99213A","brown"
"Isacord Polyester","Color #2022","Dark Brown","#804540","salmon4"
"Isacord Polyester","Color #2051","Violet Toule","#D791BA","plum3"
"Isacord Polyester","Color #2101","Dark Red/Orange","#A30030","brown"
"Isacord Polyester","Color #2113","Dark Maroon","#82022E","deeppink4"
"Isacord Polyester","Color #2115","Dark Brown","#40192B","gray17"
"Isacord Polyester","Color #2123","Dark Oak","#401414","gray8"
"Isacord Polyester","Color #2152","Medium Pink","#EB709E","palevioletred2"
"Isacord Polyester","Color #2153","Petal Pink","#FFA3C5","pink1"
"Isacord Polyester","Color #2155","Petal Pink","#FFABC7","pink1"
"Isacord Polyester","Color #2160","Oyster","#FDD7F5","thistle1"
"Isacord Polyester","Color #2166","Pale Pink","#EED4E3","thistle2"
"Isacord Polyester","Color #2170","Oyster","#F8DEEB","lavenderblush2"
"Isacord Polyester","Color #2171","White","#FDE3FF","thistle1"
"Isacord Polyester","Color #2220","Begonia","#F8517A","indianred1"
"Isacord Polyester","Color #2222","Dark Maroon","#7D0026","brown4"
"Isacord Polyester","Color #2224","Burgundy","#85282B","brown4"
"Isacord Polyester","Color #2241","Heather Rose","#B36675","palevioletred3"
"Isacord Polyester","Color #2250","Oyster","#FDD7FA","thistle1"
"Isacord Polyester","Color #2300","Ruby Glint","#EB2B8C","violetred2"
"Isacord Polyester","Color #2320","Dark Pink","#D42E9C","maroon3"
"Isacord Polyester","Color #2333","Brown","#611733","brown4"
"Isacord Polyester","Color #2336","Dark Chocolate","#30020F","gray6"
"Isacord Polyester","Color #2363","White","#FDE1FF","thistle1"
"Isacord Polyester","Color #2500","Dark Pink","#7A0054","deeppink4"
"Isacord Polyester","Color #2504","Dark Purple","#A6307A","maroon"
"Isacord Polyester","Color #2506","Red","#66002B","brown4"
"Isacord Polyester","Color #2520","Crimson","#F038C5","maroon1"
"Isacord Polyester","Color #2521","Crimson","#E121B5","maroon2"
"Isacord Polyester","Color #2550","Mid Lilac","#F073F5","orchid2"
"Isacord Polyester","Color #2560","Mid Lilac","#FF91F0","orchid1"
"Isacord Polyester","Color #2576","Midnight","#4A4557","gray29"
"Isacord Polyester","Color #2600","Laurie Lilac","#9747A8","orchid4"
"Isacord Polyester","Color #2640","Mid Lilac","#DC8AFF","mediumorchid1"
"Isacord Polyester","Color #2650","Pale Lilac","#E1C0F8","plum2"
"Isacord Polyester","Color #2655","Pale Pink","#EED1FA","thistle2"
"Isacord Polyester","Color #2674","Grey Ghost","#A6B5B3","gray70"
"Isacord Polyester","Color #2711","French Raspberry Red","#59003A","deeppink4"
"Isacord Polyester","Color #2715","Mahogany","#470019","gray10"
"Isacord Polyester","Color #2720","Dark Pink","#73004F","deeppink4"
"Isacord Polyester","Color #2764","Medium Pink","#D180C2","orchid3"
"Isacord Polyester","Color #2810","Medium Purple","#8C2B68","hotpink4"
"Isacord Polyester","Color #2830","Tulip","#BA9CFD","mediumpurple1"
"Isacord Polyester","Color #2900","Royal Purple","#4C0073","purple4"
"Isacord Polyester","Color #2905","Grape Wine","#911C7D","maroon4"
"Isacord Polyester","Color #2910","Iris","#BD54D9","mediumorchid"
"Isacord Polyester","Color #2920","Medium Purple","#AB66A3","plum4"
"Isacord Polyester","Color #3040","Tulip","#C7A8F8","plum2"
"Isacord Polyester","Color #3045","Tulip","#CF99FF","plum"
"Isacord Polyester","Color #3062","Silver Blue","#757A8F","lightsteelblue4"
"Isacord Polyester","Color #3102","Navy Blue","#00004F","navy"
"Isacord Polyester","Color #3110","Dark Purple","#63006E","darkorchid4"
"Isacord Polyester","Color #3114","Purple Maze","#3A0054","gray23"
"Isacord Polyester","Color #3210","Purple Shadow","#610091","purple4"
"Isacord Polyester","Color #3211","Raspberry","#9E4F9C","orchid4"
"Isacord Polyester","Color #3241","Iris","#B075CA","mediumorchid3"
"Isacord Polyester","Color #3251","Lilac","#C79CD9","plum3"
"Isacord Polyester","Color #3323","Navy Blue","#00005C","navy"
"Isacord Polyester","Color #3331","Tulip","#C5ABF0","plum2"
"Isacord Polyester","Color #3333","Purple Maze","#280066","midnightblue"
"Isacord Polyester","Color #3335","Royal Purple","#450585","purple4"
"Isacord Polyester","Color #3344","Navy Blue","#00002E","black"
"Isacord Polyester","Color #3353","Purple Maze","#2B0A73","midnightblue"
"Isacord Polyester","Color #3355","Navy Blue","#00074F","navy"
"Isacord Polyester","Color #3444","Dark Blue","#0A3342","gray20"
"Isacord Polyester","Color #3522","Ocean Blue","#054ABD","dodgerblue4"
"Isacord Polyester","Color #3536","Sugar Beet","#5E0F54","deeppink4"
"Isacord Polyester","Color #3541","Purple Shadow","#68008F","darkorchid4"
"Isacord Polyester","Color #3543","Medium Green/Blue","#470091","purple4"
"Isacord Polyester","Color #3544","Royal","#211C75","midnightblue"
"Isacord Polyester","Color #3554","Black","#00000A","black"
"Isacord Polyester","Color #3600","Blue","#004AA6","dodgerblue4"
"Isacord Polyester","Color #3611","Blue","#0C3A8C","dodgerblue4"
"Isacord Polyester","Color #3612","Mauve","#8273B3","mediumpurple3"
"Isacord Polyester","Color #3622","Fire Blue","#00359E","dodgerblue4"
"Isacord Polyester","Color #3640","White","#D4DCFF","lightsteelblue1"
"Isacord Polyester","Color #3641","Bright Blue","#5E87EE","cornflowerblue"
"Isacord Polyester","Color #3650","White","#EBE8FF","lavender"
"Isacord Polyester","Color #3652","Pale Blue","#A1CCF8","lightskyblue2"
"Isacord Polyester","Color #3732","Royal Blue","#001C73","midnightblue"
"Isacord Polyester","Color #3743","Dark Teal","#0A4C59","darkslategray"
"Isacord Polyester","Color #3750","White","#D4E6FF","lightsteelblue1"
"Isacord Polyester","Color #3761","White","#D7E6FD","lavender"
"Isacord Polyester","Color #3770","Platinum","#F5F5EB","gray96"
"Isacord Polyester","Color #3810","Jay Blue","#5470D4","royalblue"
