"source","id","name","color","r_color"
"Isafil Rayon","Color #0010","White","#FFFFFA","white"
"Isafil Rayon","Color #0015","White","#FFFFFF","white"
"Isafil Rayon","Color #0020","Black","#000000","black"
"Isafil Rayon","Color #0104","Vapor Blue","#C1BDC3","gray76"
"Isafil Rayon","Color #0107","GS Gray","#95918E","gray57"
"Isafil Rayon","Color #0108","Medium Grey","#757A85","lightsteelblue4"
"Isafil Rayon","Color #0109","Medium Silver","#CDCDCD","gray80"
"Isafil Rayon","Color #0111","Dark Gray","#54615E","gray37"
"Isafil Rayon","Color #0124","Natural","#D8DAD7","gray85"
"Isafil Rayon","Color #0141","Jadeite","#95A499","gray60"
"Isafil Rayon","Color #0142","Lilac Hint","#D4D5CD","gray83"
"Isafil Rayon","Color #0145","Cream","#DCE3EB","gray89"
"Isafil Rayon","Color #0150","Natural White","#F0F0E1","ivory2"
"Isafil Rayon","Color #0152","Gray Ridge","#827887","gray51"
"Isafil Rayon","Color #0156","Light Grey/Green","#B7B6B7","gray72"
"Isafil Rayon","Color #0221","Pale Yellow","#DDE057","lightgoldenrod"
"Isafil Rayon","Color #0232","Charlock","#DDD785","lightgoldenrod2"
"Isafil Rayon","Color #0241","Bright Yellow","#E8F1AA","palegoldenrod"
"Isafil Rayon","Color #0251","Pale Yellow","#FDF8BC","lemonchiffon"
"Isafil Rayon","Color #0260","Pale Lemon","#FFFFC9","lemonchiffon"
"Isafil Rayon","Color #0270","Ivory White","#FFFFEC","ivory"
"Isafil Rayon","Color #0345","Pistachio","#96A14A","khaki4"
"Isafil Rayon","Color #0352","Leek Green","#BFC174","khaki3"
"Isafil Rayon","Color #0442","Lime","#ADB854","darkolivegreen3"
"Isafil Rayon","Color #0453","Sage Green","#A7A57D","burlywood3"
"Isafil Rayon","Color #0454","Medium Olive Green","#8B9359","khaki4"
"Isafil Rayon","Color #0465","Medium Brown","#806D50","burlywood4"
"Isafil Rayon","Color #0505","Pale Lemon","#FFFFCD","lemonchiffon"
"Isafil Rayon","Color #0506","Yellow","#FFD738","goldenrod1"
"Isafil Rayon","Color #0510","Ivory White","#FFFFE9","ivory"
"Isafil Rayon","Color #0520","Pale Lemon","#FFFFCB","lemonchiffon"
"Isafil Rayon","Color #0532","Cocoon","#D7BF85","burlywood"
"Isafil Rayon","Color #0542","Pale Beige","#DBCB2C","goldenrod"
"Isafil Rayon","Color #0545","Medium Yellow","#C9B82C","goldenrod"
"Isafil Rayon","Color #0551","Gold/Yellow","#A97C3F","peru"
"Isafil Rayon","Color #0580","Pale Yellow","#F9F369","khaki1"
"Isafil Rayon","Color #0590","Lemon","#FFEE43","lightgoldenrod1"
"Isafil Rayon","Color #0600","Yellow","#FFE03D","goldenrod1"
"Isafil Rayon","Color #0605","Canary Yellow","#FFEE34","goldenrod1"
"Isafil Rayon","Color #0610","Buttercup","#FFCB25","goldenrod1"
"Isafil Rayon","Color #0615","Star Gold","#FEE357","lightgoldenrod1"
"Isafil Rayon","Color #0620","Pale Yellow","#FFF96F","khaki1"
"Isafil Rayon","Color #0625","Pale Yellow","#FCFA6B","khaki1"
"Isafil Rayon","Color #0630","Pale Yellow","#FFF089","lightgoldenrod1"
"Isafil Rayon","Color #0635","Pale Lemon","#FFF7C9","lemonchiffon"
"Isafil Rayon","Color #0640","Star Gold","#F9E251","lightgoldenrod"
"Isafil Rayon","Color #0660","Ivory White","#FFFFD9","lightyellow"
"Isafil Rayon","Color #0670","White","#FFFFF5","ivory"
"Isafil Rayon","Color #0672","Stainless Steel","#CFC3B4","antiquewhite3"
"Isafil Rayon","Color #0702","Gold/Orange","#F29B39","tan2"
"Isafil Rayon","Color #0704","Medium Yellow","#D4AD25","goldenrod"
"Isafil Rayon","Color #0713","Canary","#FAD725","goldenrod1"
"Isafil Rayon","Color #0726","Medium Green/Yellow","#A89A33","goldenrod3"
"Isafil Rayon","Color #0732","Pale Green/Grey","#A1A086","gray63"
"Isafil Rayon","Color #0747","Green/Yellow","#4F4F2E","gray31"
"Isafil Rayon","Color #0761","Pale Peach","#DDC9A5","lemonchiffon3"
"Isafil Rayon","Color #0800","Light Orange","#F9AC1B","darkgoldenrod2"
"Isafil Rayon","Color #0805","Buttercup","#FFD42A","goldenrod1"
"Isafil Rayon","Color #0811","Mustard Yellow","#E2AF23","goldenrod2"
"Isafil Rayon","Color #0821","Goldenrod","#D99517","darkgoldenrod3"
"Isafil Rayon","Color #0822","Pale Yellow","#F0C773","burlywood2"
"Isafil Rayon","Color #0830","Sunshine","#FFE27B","lightgoldenrod1"
"Isafil Rayon","Color #0842","Gold","#AC8151","lightgoldenrod4"
"Isafil Rayon","Color #0851","Maize","#E7C99B","navajowhite2"
"Isafil Rayon","Color #0853","Camel","#AA8B6D","lemonchiffon4"
"Isafil Rayon","Color #0866","Dark Brown","#4A3A2A","gray23"
"Isafil Rayon","Color #0870","White","#FFFFF0","ivory"
"Isafil Rayon","Color #0873","Sand","#C6BAA5","bisque3"
"Isafil Rayon","Color #0900","Gold/Orange","#FFA838","tan1"
"Isafil Rayon","Color #0932","Cocoa Brown","#AE6E3A","sienna3"
"Isafil Rayon","Color #0933","Light Cocoa","#895B32","tan4"
"Isafil Rayon","Color #0936","Dark Green/Yellow","#665D1E","darkolivegreen"
"Isafil Rayon","Color #0940","Gold","#BB8E25","darkgoldenrod"
"Isafil Rayon","Color #0945","Bagby Green","#785F4A","lightsalmon4"
"Isafil Rayon","Color #0961","Ivory White","#FFFAE3","lightyellow"
"Isafil Rayon","Color #0970","Eggshell","#FFF4D6","papayawhip"
"Isafil Rayon","Color #1041","Apricot Nectar","#E6A670","lightsalmon2"
"Isafil Rayon","Color #1055","Mushroom","#795135","salmon4"
"Isafil Rayon","Color #1060","Wheat","#FFE18A","lightgoldenrod1"
"Isafil Rayon","Color #1061","Woodrose","#B5948B","rosybrown"
"Isafil Rayon","Color #1099","Soleil","#FF8C23","chocolate1"
"Isafil Rayon","Color #1100","Orange","#FF983C","tan1"
"Isafil Rayon","Color #1101","Mango","#FFA81E","darkgoldenrod1"
"Isafil Rayon","Color #1113","Bronze","#B9513E","tomato3"
