"source","id","name","color","r_color"
"Isalon Polyester","Color #0003","Summer Shower","#EBEDE0","ivory2"
"Isalon Polyester","Color #0005","Star White","#F7F0E8","linen"
"Isalon Polyester","Color #0010","Gardenia","#FAEDDE","antiquewhite"
"Isalon Polyester","Color #0015","Bridal Blush","#F5E8D9","antiquewhite"
"Isalon Polyester","Color #0017","Lily White","#EDE8DE","seashell2"
"Isalon Polyester","Color #0020","Black","#000000","black"
"Isalon Polyester","Color #0106","Highrise","#B3B5B0","gray70"
"Isalon Polyester","Color #0109","Blue Gray","#ABADA6","gray67"
"Isalon Polyester","Color #0112","Frost Gray","#8A8585","lavenderblush4"
"Isalon Polyester","Color #0123","Storm Gray","#B5B5B3","gray71"
"Isalon Polyester","Color #0128","Rock Ridge","#918F80","ivory4"
"Isalon Polyester","Color #0129","Griffin","#8F918C","gray56"
"Isalon Polyester","Color #0131","Quarry","#9CA6A3","gray64"
"Isalon Polyester","Color #0134","Walnut","#7D6E5E","navajowhite4"
"Isalon Polyester","Color #0140","Frost Gray","#8A8585","lavenderblush4"
"Isalon Polyester","Color #0142","Storm Gray","#B5B5B3","gray71"
"Isalon Polyester","Color #0145","Glacier Gray","#CFC9C4","snow3"
"Isalon Polyester","Color #0150","Dawn Blue","#CCD1C9","gray80"
"Isalon Polyester","Color #0153","Wild Dove","#8C8A87","snow4"
"Isalon Polyester","Color #0156","Quarry","#9CA6A3","gray64"
"Isalon Polyester","Color #0160","Moonstruck","#C9C4B5","cornsilk3"
"Isalon Polyester","Color #0163","Smoke","#BDC7BD","gray74"
"Isalon Polyester","Color #0170","Gray Morn","#C7BFB0","antiquewhite3"
"Isalon Polyester","Color #0172","Overcast","#C4BFAB","antiquewhite3"
"Isalon Polyester","Color #0174","Moonstruck","#C9C4B5","cornsilk3"
"Isalon Polyester","Color #0190","Lily White","#EDE8DE","seashell2"
"Isalon Polyester","Color #0221","Acacia","#D6C95C","khaki3"
"Isalon Polyester","Color #0250","Tender Yellow","#F2EDB5","lemonchiffon2"
"Isalon Polyester","Color #0265","Walnut","#7D6E5E","navajowhite4"
"Isalon Polyester","Color #0266","Vertiver Green","#7D7866","peachpuff4"
"Isalon Polyester","Color #0274","Moon Rock","#948778","cornsilk4"
"Isalon Polyester","Color #0300","Limelight","#F5ED80","khaki2"
"Isalon Polyester","Color #0304","Yellow Cream","#F0DB69","lightgoldenrod2"
"Isalon Polyester","Color #0311","Maize","#EBD440","goldenrod2"
"Isalon Polyester","Color #0313","Dried Moss","#C7BA7D","burlywood3"
"Isalon Polyester","Color #0320","Aurora","#E8DB52","lightgoldenrod2"
"Isalon Polyester","Color #0352","Dried Moss","#C7BA7D","burlywood3"
"Isalon Polyester","Color #0356","Bungee Cord","#706B5E","gray42"
"Isalon Polyester","Color #0360","French Vanilla","#F5E6A8","palegoldenrod"
"Isalon Polyester","Color #0366","Pewter","#616161","gray38"
"Isalon Polyester","Color #0370","Water Lily","#E0E6CF","cornsilk2"
"Isalon Polyester","Color #0372","Wood Ash","#D6C7AB","cornsilk3"
"Isalon Polyester","Color #0453","Sage Green","#A8A67D","burlywood3"
"Isalon Polyester","Color #0454","Coriander","#94876B","lemonchiffon4"
"Isalon Polyester","Color #0460","Sylvan Green","#EBEBC7","cornsilk2"
"Isalon Polyester","Color #0464","Charcoal Gray","#736E6B","gray43"
"Isalon Polyester","Color #0500","Aurora","#E8DB52","lightgoldenrod2"
"Isalon Polyester","Color #0502","Primrose Yellow","#EDCC52","tan1"
"Isalon Polyester","Color #0503","Daffodil","#FAC245","goldenrod1"
"Isalon Polyester","Color #0507","Cornsilk","#E8C473","khaki3"
"Isalon Polyester","Color #0514","Ochre","#DEB566","burlywood"
"Isalon Polyester","Color #0520","French Vanilla","#F5E6A8","palegoldenrod"
"Isalon Polyester","Color #0523","Yellow Cream","#F0DB69","lightgoldenrod2"
"Isalon Polyester","Color #0532","Cocoon","#D1BA82","tan"
"Isalon Polyester","Color #0544","Covert Green","#7D755C","navajowhite4"
"Isalon Polyester","Color #0552","Drab Gray","#C4B087","navajowhite3"
"Isalon Polyester","Color #0555","Atmosphere","#A8998C","gray60"
"Isalon Polyester","Color #0571","Light Chartreuse","#DED1A6","navajowhite2"
"Isalon Polyester","Color #0573","Agate Gray","#B8B8A6","gray72"
"Isalon Polyester","Color #0575","Charcoal Gray","#736E6B","gray43"
"Isalon Polyester","Color #0576","Deep Taupe","#785E57","gray37"
"Isalon Polyester","Color #0581","Shifting Sand","#D6C2A6","lemonchiffon3"
"Isalon Polyester","Color #0600","Buttercup","#F5E03B","goldenrod1"
"Isalon Polyester","Color #0602","Primrose Yellow","#EDCC52","tan1"
"Isalon Polyester","Color #0603","Maize","#EBD440","goldenrod2"
"Isalon Polyester","Color #0605","Buttercup","#F5E03B","goldenrod1"
"Isalon Polyester","Color #0608","Maize","#EBD440","goldenrod2"
"Isalon Polyester","Color #0620","Primrose Yellow","#EDCC52","tan1"
"Isalon Polyester","Color #0632","Clay","#DBA875","burlywood3"
"Isalon Polyester","Color #0640","Dusky Citron","#E3CC80","lightgoldenrod2"
"Isalon Polyester","Color #0652","Candied Ginger","#C2AB85","burlywood3"
"Isalon Polyester","Color #0660","Rutabaga","#F0E3B8","lemonchiffon2"
"Isalon Polyester","Color #0674","Rock Ridge","#918F80","ivory4"
"Isalon Polyester","Color #0701","Amber Yellow","#F7BA54","tan1"
"Isalon Polyester","Color #0704","Yolk Yellow","#E0B54F","tan1"
"Isalon Polyester","Color #0705","Amber","#EBB04D","tan2"
"Isalon Polyester","Color #0711","Cornsilk","#E8C473","khaki3"
"Isalon Polyester","Color #0713","Snapdragon","#F7DE73","lightgoldenrod"
"Isalon Polyester","Color #0714","Golden Cream","#EDBA61","sandybrown"
"Isalon Polyester","Color #0726","Antique Bronze","#948052","lightgoldenrod4"
"Isalon Polyester","Color #0732","Cinder","#8F827D","antiquewhite4"
"Isalon Polyester","Color #0740","Desert Mist","#E0B382","burlywood"
"Isalon Polyester","Color #0741","Jojoba","#D9C27D","burlywood"
"Isalon Polyester","Color #0742","Straw","#E3CC91","burlywood2"
"Isalon Polyester","Color #0753","Chanterelle","#A68F73","lemonchiffon4"
"Isalon Polyester","Color #0763","Seneca Rock","#99917A","lightyellow4"
"Isalon Polyester","Color #0776","Cinder","#8F827D","antiquewhite4"
"Isalon Polyester","Color #0780","White Asparagus","#E3DBC4","antiquewhite2"
"Isalon Polyester","Color #0801","Sunset Gold","#F7C966","sandybrown"
"Isalon Polyester","Color #0802","Artisan's Gold","#DBA340","goldenrod"
"Isalon Polyester","Color #0810","Golden Cream","#EDBA61","sandybrown"
"Isalon Polyester","Color #0821","Oak Buff","#CC9959","lightsalmon3"
"Isalon Polyester","Color #0851","Desert Dust","#E3BF87","burlywood"
"Isalon Polyester","Color #0853","Natural","#B3967D","rosybrown"
"Isalon Polyester","Color #0861","Peyote","#C9BFAB","antiquewhite3"
"Isalon Polyester","Color #0864","Fungi","#8F8273","antiquewhite4"
