"source","id","name","color","r_color"
"Janome","Color #001","White","#F0F0F0","gray94"
"Janome","Color #002","Black","#000000","black"
"Janome","Color #003","Gold","#E4C35D","lightgoldenrod3"
"Janome","Color #201","Pink","#F669A0","hotpink2"
"Janome","Color #225","Red","#FF0000","red"
"Janome","Color #203","Orange","#FF6600","darkorange1"
"Janome","Color #204","Yellow","#FFFF17","yellow"
"Janome","Color #205","Dark Brown","#481A05","gray10"
"Janome","Color #226","Green","#237336","forestgreen"
"Janome","Color #207","Blue","#0B2F84","dodgerblue4"
"Janome","Color #208","Purple","#AB5A96","hotpink3"
"Janome","Color #209","Pale Violet","#AC9CC7","lightsteelblue3"
"Janome","Color #210","Pale Yellow","#FDF5B5","moccasin"
"Janome","Color #211","Pale Pink","#F999B7","pink2"
"Janome","Color #212","Peach","#FAB381","lightsalmon"
"Janome","Color #213","Beige","#D7BDA4","bisque3"
"Janome","Color #214","Brown","#9C6445","lightsalmon4"
"Janome","Color #215","Wine Red","#970533","deeppink4"
"Janome","Color #216","Pale Sky","#A0B8CC","slategray3"
"Janome","Color #217","Sky","#65C2C8","cadetblue3"
"Janome","Color #218","Yellow Green","#7FC21C","olivedrab3"
"Janome","Color #219","Olive Green","#2F5933","darkslategray"
"Janome","Color #220","Silver Gray","#E5E5E5","gray90"
"Janome","Color #221","Gray","#889B9B","gray60"
"Janome","Color #227","Pale Aqua","#98D6BD","paleturquoise3"
"Janome","Color #228","Baby Blue","#B2E1E3","powderblue"
"Janome","Color #229","Powder Blue","#98F3FE","cadetblue1"
"Janome","Color #230","Bright Blue","#70A9E2","skyblue3"
"Janome","Color #231","Slate Blue","#1D5478","dodgerblue4"
"Janome","Color #232","Navy Blue","#071650","midnightblue"
"Janome","Color #233","Salmon Pink","#FFBBBB","lightpink"
"Janome","Color #234","Coral","#FF6048","tomato"
"Janome","Color #235","Burnt Orange","#FF5A27","chocolate1"
"Janome","Color #236","Cinnamon","#E2A188","burlywood"
"Janome","Color #237","Umber","#B59474","rosybrown"
"Janome","Color #238","Blond","#F5DB8B","khaki"
"Janome","Color #239","Sunflower","#FFCC00","gold"
"Janome","Color #240","Orchid Pink","#FFBDE3","pink"
"Janome","Color #241","Peony Purple","#C3007E","mediumvioletred"
"Janome","Color #242","Burgundy","#A80043","deeppink4"
"Janome","Color #243","Royal Purple","#540571","purple4"
"Janome","Color #244","Cardinal Red","#FF0927","firebrick1"
"Janome","Color #245","Opal Green","#C6EECB","darkseagreen1"
"Janome","Color #246","Moss Green","#608541","darkolivegreen4"
"Janome","Color #247","Meadow Green","#609418","olivedrab"
"Janome","Color #248","Dark Green","#06480D","darkgreen"
"Janome","Color #249","Aquamarine","#5BD2B5","aquamarine3"
"Janome","Color #250","Emerald Green","#4CB58F","mediumseagreen"
"Janome","Color #251","Peacock Green","#04917B","cyan4"
"Janome","Color #252","Dark Gray","#595B61","gray36"
"Janome","Color #253","Ivory White","#FFFFDC","lightyellow"
"Janome","Color #202","Vermilion","#FF4720","orangered"
"Janome","Color #206","Bright Green","#00B552","springgreen3"
"Janome","Color #222","Ocean Blue","#0257B5","deepskyblue4"
"Janome","Color #223","Beige Gray","#D0BAB0","antiquewhite3"
"Janome","Color #224","Bamboo","#E3BE81","burlywood"
"Janome","Color #254","Hazel","#E6651E","chocolate"
"Janome","Color #255","Toast","#E6965A","tan2"
"Janome","Color #256","Salmon","#F09C96","lightpink2"
"Janome","Color #257","Cocoa Brown","#A76C3D","sienna3"
"Janome","Color #258","Sienna","#B45A30","sienna"
"Janome","Color #259","Sepia","#6E3937","indianred4"
"Janome","Color #260","Dark Sepia","#5C2625","brown4"
"Janome","Color #261","Violet Blue","#6231BD","purple3"
"Janome","Color #262","Blue Ink","#14329C","dodgerblue4"
"Janome","Color #263","Solar Blue","#165FA7","dodgerblue4"
"Janome","Color #264","Green Dust","#C4E39D","lemonchiffon3"
"Janome","Color #265","Crimson","#FD33A3","maroon1"
"Janome","Color #266","Floral Pink","#EE71AF","hotpink2"
"Janome","Color #267","Wine","#843154","violetred4"
"Janome","Color #268","Olive Drab","#A39166","lemonchiffon4"
"Janome","Color #269","Meadow","#0C8918","forestgreen"
"Janome","Color #270","Mustard","#F7F297","khaki1"
"Janome","Color #271","Yellow Ocher","#CC9900","darkgoldenrod3"
"Janome","Color #272","Old Gold","#C79732","goldenrod3"
"Janome","Color #273","Honey Dew","#FF9D00","orange"
"Janome","Color #274","Tangerine","#FFBA5E","sandybrown"
"Janome","Color #275","Canary Yellow","#FCF121","yellow"
