"source","id","name","color","r_color"
"King Star","Color #1","White","#FFF5FE","snow"
"King Star","Color #2","Light Pink","#F0DEDA","seashell2"
"King Star","Color #3","Heavenly Pink","#F7DBD7","antiquewhite"
"King Star","Color #4","Pink","#F9BCCC","pink"
"King Star","Color #5","Petal Pink","#F8ABBF","lightpink1"
"King Star","Color #6","Pale Pink","#F89AB5","lightpink2"
"King Star","Color #7","Pink","#F27597","palevioletred2"
"King Star","Color #8","Pink","#EF3E68","violetred2"
"King Star","Color #9","Cerise","#E00047","deeppink3"
"King Star","Color #10","Dark Red","#C80740","brown3"
"King Star","Color #11","Parfait Pink","#EFC6CA","pink"
"King Star","Color #12","Pink","#F9BCCC","pink"
"King Star","Color #13","Rose","#F99AB0","lightpink2"
"King Star","Color #14","Wild Pink","#FD7AAE","palevioletred1"
"King Star","Color #15","Medium Pink","#D25396","hotpink3"
"King Star","Color #16","Dark Pink","#B62570","maroon"
"King Star","Color #17","Dark Red","#9F0052","deeppink4"
"King Star","Color #18","Cranberry","#89014D","deeppink4"
"King Star","Color #19","Dark Maroon","#6A1C43","violetred4"
"King Star","Color #20","Dark Maroon","#4C253A","gray23"
"King Star","Color #21","Pink Bazaar","#EAC9D0","mistyrose2"
"King Star","Color #22","Violet","#F2B6D0","pink1"
"King Star","Color #23","Medium Pink","#FCA5D2","pink1"
"King Star","Color #24","Floral Pink","#F972BF","hotpink1"
"King Star","Color #25","Ruby Glint","#E61894","deeppink2"
"King Star","Color #26","Ruby Glint","#DE1E81","violetred"
"King Star","Color #27","Bisque","#EECDBA","bisque2"
"King Star","Color #28","Pale Salmon Pink","#ECBCA8","peachpuff2"
"King Star","Color #29","Emily Pink","#FBACB1","lightpink1"
"King Star","Color #30","Coral Haze","#E9957B","darksalmon"
"King Star","Color #41","Primrose Pink","#F6D7D5","mistyrose2"
"King Star","Color #42","Snow White","#FFE6DF","mistyrose"
"King Star","Color #43","Rosewater","#FCDED6","antiquewhite"
"King Star","Color #44","Petal Pink","#FBCEC8","pink"
"King Star","Color #45","Impatiens Pink","#FAC0B4","rosybrown1"
"King Star","Color #46","Flesh Pink","#F9B7AB","rosybrown2"
"King Star","Color #47","Sugar Pink","#F5C0C8","pink"
"King Star","Color #48","Pale Pink","#EFA9B1","pink2"
"King Star","Color #49","Shrimp","#F88F9D","palevioletred1"
"King Star","Color #50","Light Orange","#E78D99","lightpink3"
"King Star","Color #51","Peony","#FB9BA6","lightpink2"
"King Star","Color #52","Confetti","#EC7780","lightcoral"
"King Star","Color #53","Dark Salmon Pink","#D43C48","brown3"
"King Star","Color #54","Spanish Red","#CB282B","firebrick3"
"King Star","Color #55","Red Berry","#AF1C2E","firebrick"
"King Star","Color #56","Red","#A9084C","deeppink4"
"King Star","Color #57","Pale Pink","#ECA6B0","lightpink2"
"King Star","Color #58","Cameo Pink","#E8ABBA","pink2"
"King Star","Color #59","Medium Pink","#DA828E","palevioletred"
"King Star","Color #60","Light Orange","#E78D99","lightpink3"
"King Star","Color #61","Crystal Pink","#F1D4C6","mistyrose2"
"King Star","Color #62","Salmon","#F7AB91","burlywood2"
"King Star","Color #63","Coral Haze","#E9957B","darksalmon"
"King Star","Color #64","Crabapple","#D87E64","lightsalmon3"
"King Star","Color #65","Brown","#B85D42","coral3"
"King Star","Color #66","Dark Orange/ Brown","#B74930","sienna"
"King Star","Color #67","Red Bittersweet","#9A3018","brown"
"King Star","Color #68","Bark","#78281D","brown4"
"King Star","Color #69","Wine","#752935","indianred4"
"King Star","Color #70","Cranberry","#9A1E36","brown"
"King Star","Color #81","Yellow/Gold","#ECE3D4","antiquewhite2"
"King Star","Color #82","Celery","#EEEABB","lemonchiffon2"
"King Star","Color #83","PaleYellow","#F6E39F","palegoldenrod"
"King Star","Color #84","Wheat","#F7DE8A","khaki"
"King Star","Color #85","Yellow","#FAC93E","goldenrod1"
"King Star","Color #86","Manila","#FDCB16","darkgoldenrod1"
"King Star","Color #87","Mimosa","#FCB853","tan1"
"King Star","Color #88","Marigold","#F7A408","orange"
"King Star","Color #89","Karat","#D38500","orange3"
"King Star","Color #90","Karat","#DC8802","orange3"
"King Star","Color #91","Gold/Orange","#D87500","darkorange2"
"King Star","Color #92","Buff Orange","#FDC781","burlywood2"
"King Star","Color #93","Peach","#FCB47A","lightsalmon"
"King Star","Color #94","Amber","#FBAA4E","tan1"
