"source","id","name","color","r_color"
"MTB Embroidex","Color #P101","Embroidex P101","#000000","black"
"MTB Embroidex","Color #P102","Embroidex P102","#FFFFFF","white"
"MTB Embroidex","Color #P110","Embroidex P110","#FFF1D7","papayawhip"
"MTB Embroidex","Color #P115","Embroidex P115","#F2FBD7","beige"
"MTB Embroidex","Color #P120","Embroidex P120","#EDE3B8","lemonchiffon2"
"MTB Embroidex","Color #P121","Embroidex P121","#C6AE9D","peachpuff3"
"MTB Embroidex","Color #P122","Embroidex P122","#C4BB9D","bisque3"
"MTB Embroidex","Color #P123","Embroidex P123","#B7AC86","burlywood3"
"MTB Embroidex","Color #P125","Embroidex P125","#D6C29E","bisque3"
"MTB Embroidex","Color #P126","Embroidex P126","#BFAC6A","darkkhaki"
"MTB Embroidex","Color #P127","Embroidex P127","#78603F","lightsalmon4"
"MTB Embroidex","Color #P130","Embroidex P130","#E2C57E","burlywood"
"MTB Embroidex","Color #P131","Embroidex P131","#B98A44","peru"
"MTB Embroidex","Color #P135","Embroidex P135","#A36814","goldenrod4"
"MTB Embroidex","Color #P140","Embroidex P140","#915735","lightsalmon4"
"MTB Embroidex","Color #P143","Embroidex P143","#5E3433","gray20"
"MTB Embroidex","Color #P145","Embroidex P145","#482626","gray15"
"MTB Embroidex","Color #P195","Embroidex P195","#F8F4D3","lightgoldenrodyellow"
"MTB Embroidex","Color #P196","Embroidex P196","#F2ECB6","lemonchiffon2"
"MTB Embroidex","Color #P200","Embroidex P200","#F7F4C9","lemonchiffon"
"MTB Embroidex","Color #P201","Embroidex P201","#FDECA8","navajowhite"
"MTB Embroidex","Color #P205","Embroidex P205","#FBF259","lightgoldenrod1"
"MTB Embroidex","Color #P206","Embroidex P206","#F9E926","goldenrod1"
"MTB Embroidex","Color #P207","Embroidex P207","#E6C44D","tan2"
"MTB Embroidex","Color #P210","Embroidex P210","#E2B30E","darkgoldenrod2"
"MTB Embroidex","Color #P211","Embroidex P211","#F8C272","burlywood2"
"MTB Embroidex","Color #P212","Embroidex P212","#D9A603","gold3"
"MTB Embroidex","Color #P215","Embroidex P215","#DA630C","darkorange3"
"MTB Embroidex","Color #P220","Embroidex P220","#DD790B","darkorange2"
"MTB Embroidex","Color #P221","Embroidex P221","#A22F03","orangered4"
"MTB Embroidex","Color #P224","Embroidex P224","#BEA80C","gold3"
"MTB Embroidex","Color #P225","Embroidex P225","#BE9A0C","darkgoldenrod3"
"MTB Embroidex","Color #P226","Embroidex P226","#9E810A","darkgoldenrod"
"MTB Embroidex","Color #P300","Embroidex P300","#CDF3A7","darkseagreen2"
"MTB Embroidex","Color #P305","Embroidex P305","#A8EB65","darkolivegreen2"
"MTB Embroidex","Color #P306","Embroidex P306","#73BE0C","chartreuse3"
"MTB Embroidex","Color #P307","Embroidex P307","#C2DA70","darkolivegreen2"
"MTB Embroidex","Color #P308","Embroidex P308","#60731E","darkolivegreen"
"MTB Embroidex","Color #P310","Embroidex P310","#509526","olivedrab"
"MTB Embroidex","Color #P312","Embroidex P312","#4F5B1A","darkolivegreen"
"MTB Embroidex","Color #P313","Embroidex P313","#49601A","darkolivegreen"
"MTB Embroidex","Color #P314","Embroidex P314","#324211","gray20"
"MTB Embroidex","Color #P315","Embroidex P315","#C4D257","darkolivegreen3"
"MTB Embroidex","Color #P316","Embroidex P316","#9C8B29","olivedrab"
"MTB Embroidex","Color #P320","Embroidex P320","#877823","goldenrod4"
"MTB Embroidex","Color #P325","Embroidex P325","#62681A","darkolivegreen"
"MTB Embroidex","Color #P400","Embroidex P400","#E1F9CC","lightyellow2"
"MTB Embroidex","Color #P401","Embroidex P401","#ACC774","khaki3"
"MTB Embroidex","Color #P405","Embroidex P405","#56CB80","seagreen3"
"MTB Embroidex","Color #P406","Embroidex P406","#6CAD14","olivedrab"
"MTB Embroidex","Color #P407","Embroidex P407","#335909","darkgreen"
"MTB Embroidex","Color #P408","Embroidex P408","#D1FAE6","lightcyan2"
"MTB Embroidex","Color #P409","Embroidex P409","#83C2E9","skyblue2"
"MTB Embroidex","Color #P410","Embroidex P410","#348B71","aquamarine4"
"MTB Embroidex","Color #P411","Embroidex P411","#266F66","seagreen"
"MTB Embroidex","Color #P415","Embroidex P415","#308168","seagreen"
"MTB Embroidex","Color #P416","Embroidex P416","#164B45","darkslategray"
"MTB Embroidex","Color #P420","Embroidex P420","#E1F7F4","azure2"
"MTB Embroidex","Color #P421","Embroidex P421","#D0F0FD","lightcyan2"
"MTB Embroidex","Color #P422","Embroidex P422","#CAD5DD","gray83"
"MTB Embroidex","Color #P423","Embroidex P423","#757886","lightsteelblue4"
"MTB Embroidex","Color #P424","Embroidex P424","#686B77","gray42"
"MTB Embroidex","Color #P425","Embroidex P425","#ACD3DF","lightblue"
"MTB Embroidex","Color #P426","Embroidex P426","#30697A","steelblue4"
"MTB Embroidex","Color #P427","Embroidex P427","#8399BA","gray60"
"MTB Embroidex","Color #P428","Embroidex P428","#5C97C2","steelblue3"
"MTB Embroidex","Color #P429","Embroidex P429","#27415C","darkslategray"
"MTB Embroidex","Color #P430","Embroidex P430","#2E4172","royalblue4"
"MTB Embroidex","Color #P431","Embroidex P431","#455165","gray32"
"MTB Embroidex","Color #P435","Embroidex P435","#3F3C60","gray25"
"MTB Embroidex","Color #P500","Embroidex P500","#FDE8EC","linen"
"MTB Embroidex","Color #P501","Embroidex P501","#FABEBF","rosybrown1"
"MTB Embroidex","Color #P505","Embroidex P505","#FCD8D8","antiquewhite"
"MTB Embroidex","Color #P506","Embroidex P506","#F79BC5","pink1"
"MTB Embroidex","Color #P507","Embroidex P507","#F18BDD","violet"
"MTB Embroidex","Color #P510","Embroidex P510","#E69F9B","lightpink2"
"MTB Embroidex","Color #P515","Embroidex P515","#B12597","maroon3"
"MTB Embroidex","Color #P520","Embroidex P520","#C10D71","deeppink3"
"MTB Embroidex","Color #P525","Embroidex P525","#D50000","red3"
"MTB Embroidex","Color #P526","Embroidex P526","#9B0000","darkred"
"MTB Embroidex","Color #P530","Embroidex P530","#7E0A41","deeppink4"
"MTB Embroidex","Color #P531","Embroidex P531","#6F0939","deeppink4"
"MTB Embroidex","Color #P535","Embroidex P535","#BC0E61","deeppink3"
"MTB Embroidex","Color #P540","Embroidex P540","#560741","deeppink4"
"MTB Embroidex","Color #P600","Embroidex P600","#FCE4AD","navajowhite"
