"source","id","name","color","r_color"
"Madeira Burmilana","Color #3601","Aspen White","#EFEDFC","aliceblue"
"Madeira Burmilana","Color #3625","Bullion","#AB792B","sienna"
"Madeira Burmilana","Color #3642","Sea Bleu Dark","#3B5467","darkslategray"
"Madeira Burmilana","Color #3643","Black","#2C303A","gray19"
"Madeira Burmilana","Color #3645","Surf Bleu Light","#89AB99","darkseagreen"
"Madeira Burmilana","Color #3646","Sage Green","#AFC8BD","gray74"
"Madeira Burmilana","Color #3652","Green Forest","#47665E","gray37"
"Madeira Burmilana","Color #3660","Light Brown","#BEAB9C","peachpuff3"
"Madeira Burmilana","Color #3686","Lunar Rock","#CAC7C4","gray78"
"Madeira Burmilana","Color #3697","Seafrost","#78BFB7","cadetblue3"
"Madeira Burmilana","Color #3698","Green Petal","#196050","darkslategray"
"Madeira Burmilana","Color #3699","Mitchell Green","#384B40","gray25"
"Madeira Burmilana","Color #3707","Medium Pink","#E79DB3","lightpink2"
"Madeira Burmilana","Color #3709","Hot Pink","#D074A0","palevioletred"
"Madeira Burmilana","Color #3711","Light Pink","#CAB2C0","mistyrose3"
"Madeira Burmilana","Color #3715","Grape","#E8C9CC","mistyrose2"
"Madeira Burmilana","Color #3716","Nostalgia Rose","#A26B75","rosybrown4"
"Madeira Burmilana","Color #3717","Shark","#482D36","gray21"
"Madeira Burmilana","Color #3723","Winter Wheat","#E5C696","burlywood2"
"Madeira Burmilana","Color #3724","Mimosa","#F6BA59","sandybrown"
"Madeira Burmilana","Color #3735","GS Gray","#98918D","gray57"
"Madeira Burmilana","Color #3736","Iron","#7A6A5E","dimgray"
"Madeira Burmilana","Color #3737","Major Brown","#5C544B","gray33"
"Madeira Burmilana","Color #3752","Dark Peach","#F07A76","lightcoral"
"Madeira Burmilana","Color #3755","Chamois","#EEA273","lightsalmon2"
"Madeira Burmilana","Color #3756","Copper","#C07341","sienna3"
"Madeira Burmilana","Color #3781","Dark Red S","#8C1F32","brown4"
"Madeira Burmilana","Color #3783","Brown","#92375B","hotpink4"
"Madeira Burmilana","Color #3785","Imperial Aqua","#00655F","deepskyblue4"
"Madeira Burmilana","Color #3791","Pale Brown","#9F773D","lightgoldenrod4"
"Madeira Burmilana","Color #3800","Red Orange","#BE242A","firebrick3"
