"source","id","name","color","r_color"
"Madeira Polyneon","Color #1610","Celestial Blue","#B7C3C5","gray76"
"Madeira Polyneon","Color #1611","Highrise","#9EA9B1","darkgray"
"Madeira Polyneon","Color #1612","Blue Fog","#97A6B4","gray65"
"Madeira Polyneon","Color #1613","Platinum","#939E9E","gray62"
"Madeira Polyneon","Color #1614","Medium Grey","#636767","gray40"
"Madeira Polyneon","Color #1615","Metal","#707676","gray46"
"Madeira Polyneon","Color #1616","Shell Pink","#E17274","palevioletred"
"Madeira Polyneon","Color #1617","Gray Ridge","#5A5660","gray35"
"Madeira Polyneon","Color #1618","Silver Rose","#71737E","gray45"
"Madeira Polyneon","Color #1619","Gray Ridge","#63656C","gray40"
"Madeira Polyneon","Color #1620","Azalea","#FC8C97","palevioletred1"
"Madeira Polyneon","Color #1621","Old Dark Tex Orange","#C4562D","tomato3"
"Madeira Polyneon","Color #1622","Tusk","#EEDFBC","lemonchiffon2"
"Madeira Polyneon","Color #1623","Copper","#F5E154","lightgoldenrod"
"Madeira Polyneon","Color #1624","Gold","#F4A731","goldenrod2"
"Madeira Polyneon","Color #1625","Copper","#C37F29","peru"
"Madeira Polyneon","Color #1626","Sunset Gold","#F8C578","burlywood2"
"Madeira Polyneon","Color #1627","Purple Ash","#79758B","lightsteelblue4"
"Madeira Polyneon","Color #1628","Pale Purple","#7EA8C0","skyblue3"
"Madeira Polyneon","Color #1629","Paris Blue","#C2C7DA","azure3"
"Madeira Polyneon","Color #1630","Violet Tulip","#9491BA","gray58"
"Madeira Polyneon","Color #1631","Laurie Lilac","#8D679D","plum4"
"Madeira Polyneon","Color #1632","Fleet Blue","#40354F","gray25"
"Madeira Polyneon","Color #1633","Dark Purple","#5D2A65","darkorchid4"
"Madeira Polyneon","Color #1634","Purple Accent","#40345A","gray25"
"Madeira Polyneon","Color #1635","Dark Maroon","#6C2F41","indianred4"
"Madeira Polyneon","Color #1637","Warm Red","#BC2130","firebrick"
"Madeira Polyneon","Color #1638","Cherry Jubilee","#852D32","coral4"
"Madeira Polyneon","Color #1639","Red Berry","#AD3E41","indianred4"
"Madeira Polyneon","Color #1640","Twilight","#5E6162","gray38"
"Madeira Polyneon","Color #1641","Black","#35393D","gray22"
"Madeira Polyneon","Color #1642","Blue","#295A94","steelblue4"
"Madeira Polyneon","Color #1643","Navy","#2D3541","gray21"
"Madeira Polyneon","Color #1645","Seafrost","#77C7BB","cadetblue3"
"Madeira Polyneon","Color #1647","Cameo Green","#88BA9C","darkseagreen"
"Madeira Polyneon","Color #1648","Sage Green","#899B63","lemonchiffon4"
"Madeira Polyneon","Color #1649","Meadow","#74952B","olivedrab"
"Madeira Polyneon","Color #1650","Medium Green","#367936","darkolivegreen"
"Madeira Polyneon","Color #1651","Kelly","#008445","springgreen4"
"Madeira Polyneon","Color #1652","Deep Atlantic","#3B797A","aquamarine4"
"Madeira Polyneon","Color #1653","Peach","#F0BCA9","peachpuff2"
"Madeira Polyneon","Color #1654","Twilight Mauve","#664F4C","gray31"
"Madeira Polyneon","Color #1656","Light Red/Orange","#BF9A88","rosybrown"
"Madeira Polyneon","Color #1657","Light Cocoa","#875B43","lightsalmon4"
"Madeira Polyneon","Color #1658","Brown","#794639","salmon4"
"Madeira Polyneon","Color #1659","Dark Oak","#523834","gray22"
"Madeira Polyneon","Color #1660","Light Brown","#B1A4A0","gray64"
"Madeira Polyneon","Color #1661","Celery","#F1EBCA","cornsilk2"
"Madeira Polyneon","Color #1662","Atmosphere","#8B8476","antiquewhite4"
"Madeira Polyneon","Color #1663","Cinder","#6E6355","gray39"
"Madeira Polyneon","Color #1664","Black Chrome","#615D56","gray36"
"Madeira Polyneon","Color #1665","Charcoal Gray","#494943","gray28"
"Madeira Polyneon","Color #1666","Wheat","#F4E5B3","wheat"
"Madeira Polyneon","Color #1668","Water Lilly","#64766A","dimgray"
"Madeira Polyneon","Color #1669","Dark Army Green","#414C42","gray26"
"Madeira Polyneon","Color #1670","Old Gold","#D5A768","burlywood3"
"Madeira Polyneon","Color #1671","Slate Blue","#5B85A2","cadetblue"
"Madeira Polyneon","Color #1672","Shimmering Gold","#A7793E","lightgoldenrod4"
"Madeira Polyneon","Color #1673","Beige","#AD8E5E","lightsalmon3"
"Madeira Polyneon","Color #1674","Angel Falls","#8DBCDC","lightskyblue3"
"Madeira Polyneon","Color #1675","Caribbean Blue","#7AAED5","skyblue3"
"Madeira Polyneon","Color #1676","Royal","#2E4B86","royalblue4"
