"source","id","name","color","r_color"
"Madeira Rayon","Color #1000","Black","#28292A","gray16"
"Madeira Rayon","Color #1001","Bright White","#E3E5FB","lavender"
"Madeira Rayon","Color #1002","Bright White","#E7E7F4","lavender"
"Madeira Rayon","Color #1003","Natural White","#E9E7E7","gray91"
"Madeira Rayon","Color #1004","Blue Blush","#EAE8EE","gray92"
"Madeira Rayon","Color #1005","Billowing Sail","#E0E4FF","lavender"
"Madeira Rayon","Color #1006","Diamond Black","#29282A","gray16"
"Madeira Rayon","Color #1007","Black","#2A2829","gray16"
"Madeira Rayon","Color #1008","Ruby Black","#282A2C","gray16"
"Madeira Rayon","Color #1009","Sapphire Black","#2B2B30","gray17"
"Madeira Rayon","Color #1010","Vapor","#C2C4BF","gray76"
"Madeira Rayon","Color #1011","Traditional Gray","#A9AFB2","gray69"
"Madeira Rayon","Color #1012","Pastel Blue","#A3AFB3","gray69"
"Madeira Rayon","Color #1013","Rosewater","#EED1CA","mistyrose2"
"Madeira Rayon","Color #1014","Orchid Pink","#EEB2BC","rosybrown2"
"Madeira Rayon","Color #1015","Desert Bloom","#E9B3B1","rosybrown2"
"Madeira Rayon","Color #1016","Emily Pink","#EA9595","darksalmon"
"Madeira Rayon","Color #1017","Peach","#F4BCAC","peachpuff2"
"Madeira Rayon","Color #1018","Flesh Pink","#F0B4A8","rosybrown2"
"Madeira Rayon","Color #1019","Flesh Pink","#E9ACA5","lightpink2"
"Madeira Rayon","Color #1020","Flamingo","#F7887D","lightcoral"
"Madeira Rayon","Color #1021","Old Dark Tex Orange","#BA522F","sienna"
"Madeira Rayon","Color #1022","Medium Yellow","#EAE3B9","lemonchiffon2"
"Madeira Rayon","Color #1023","Lemon","#F3DA68","lightgoldenrod2"
"Madeira Rayon","Color #1024","Buttercup","#FFA617","orange"
"Madeira Rayon","Color #1025","Pollen Gold","#CD8126","peru"
"Madeira Rayon","Color #1026","Glow","#F4BC8B","burlywood2"
"Madeira Rayon","Color #1027","Cadet Blue","#9ABACA","lightblue3"
"Madeira Rayon","Color #1028","Caribbean Blue","#5A89AA","cadetblue"
"Madeira Rayon","Color #1029","Dolphin Blue","#2E89BD","steelblue"
"Madeira Rayon","Color #1030","Lake Blue","#94A9C2","lightskyblue3"
"Madeira Rayon","Color #1031","Carnatio","#C7A1BF","plum3"
"Madeira Rayon","Color #1032","Iris","#816C9D","plum4"
"Madeira Rayon","Color #1033","Mulberry","#6E4981","mediumpurple4"
"Madeira Rayon","Color #1034","Burgundy","#994262","hotpink4"
"Madeira Rayon","Color #1035","Warm Wine","#632F3D","gray24"
"Madeira Rayon","Color #1036","Dark Sepia","#593032","gray20"
"Madeira Rayon","Color #1037","Tuxedo Red","#BE1422","firebrick"
"Madeira Rayon","Color #1038","Red Bittersweet","#8C2F33","indianred4"
"Madeira Rayon","Color #1039","Red Berry","#A12831","brown"
"Madeira Rayon","Color #1040","Silvery Gray","#8A8689","snow4"
"Madeira Rayon","Color #1041","Metal","#6E747B","gray45"
"Madeira Rayon","Color #1042","Imperial Blue","#214F77","dodgerblue4"
"Madeira Rayon","Color #1043","Black","#2C3445","gray20"
"Madeira Rayon","Color #1044","Navy","#2E313E","gray19"
"Madeira Rayon","Color #1045","Seafrost","#86CCBF","darkslategray3"
"Madeira Rayon","Color #1046","Pale Green","#4FAC98","cadetblue"
"Madeira Rayon","Color #1047","Mint","#9EBDA2","darkseagreen3"
"Madeira Rayon","Color #1048","Green Dust","#7B9553","khaki4"
"Madeira Rayon","Color #1049","Spruce","#6FA04D","darkolivegreen4"
"Madeira Rayon","Color #1050","Emerald","#459645","palegreen4"
"Madeira Rayon","Color #1051","Kelly","#008745","springgreen4"
"Madeira Rayon","Color #1052","Imperial Aqua","#397474","aquamarine4"
"Madeira Rayon","Color #1053","Peach","#E7B7A5","rosybrown2"
"Madeira Rayon","Color #1054","Tawny Birch","#AC837A","antiquewhite4"
"Madeira Rayon","Color #1055","Cream","#D4B18F","tan"
"Madeira Rayon","Color #1056","Wicker","#9E6947","lightsalmon4"
"Madeira Rayon","Color #1057","Fawn","#A07155","burlywood4"
"Madeira Rayon","Color #1058","Mushroom","#71463B","salmon4"
"Madeira Rayon","Color #1059","Egyptian Brown","#423734","gray21"
"Madeira Rayon","Color #1060","Platinum","#B3A697","gray65"
"Madeira Rayon","Color #1061","Wheat","#F4DAAB","wheat2"
"Madeira Rayon","Color #1062","Pale Grey","#8D867A","cornsilk4"
"Madeira Rayon","Color #1063","Medium Green/Yellow","#7C7669","gray46"
"Madeira Rayon","Color #1064","Daffodil","#FFC71D","goldenrod1"
"Madeira Rayon","Color #1065","Mango","#E57821","chocolate2"
