"source","id","name","color","r_color"
"Marathon Polyester","Color #2005","Daffodil","#FAE610","gold"
"Marathon Polyester","Color #2006","Peach Fuzz","#FCC9A1","burlywood1"
"Marathon Polyester","Color #2007","Persimmon","#FE7758","coral1"
"Marathon Polyester","Color #2008","Lilac Sachet","#EDB5C7","pink1"
"Marathon Polyester","Color #2009","Begonia Pink","#ED9CB5","lightpink2"
"Marathon Polyester","Color #2010","Cherry Blossom","#EF1D78","deeppink2"
"Marathon Polyester","Color #2011","Rosebloom","#E68FA8","lightpink2"
"Marathon Polyester","Color #2012","Rosebloom","#E68FA8","lightpink2"
"Marathon Polyester","Color #2013","Strawberry Ice","#E38782","lightcoral"
"Marathon Polyester","Color #2015","Green Dust","#7FBB00","chartreuse3"
"Marathon Polyester","Color #2016","Pale Yellow","#F1EB87","khaki2"
"Marathon Polyester","Color #2017","Light Yellow","#EEE75D","khaki2"
"Marathon Polyester","Color #2018","Daffodil","#F9E715","yellow2"
"Marathon Polyester","Color #2019","Moonbeam","#F9DF16","gold"
"Marathon Polyester","Color #2020","Canary","#FAD716","gold"
"Marathon Polyester","Color #2021","Buttercup","#FEC81F","goldenrod1"
"Marathon Polyester","Color #2022","Gold","#EBB110","darkgoldenrod2"
"Marathon Polyester","Color #2023","Yellow Poppy","#F0B32F","goldenrod2"
"Marathon Polyester","Color #2024","Buff Orange","#FEB778","lightsalmon"
"Marathon Polyester","Color #2025","Old Gold","#C0920C","darkgoldenrod3"
"Marathon Polyester","Color #2026","Pale Yellow","#DDCD6A","khaki3"
"Marathon Polyester","Color #2027","Pale Green/Yellow","#B6AC59","darkkhaki"
"Marathon Polyester","Color #2028","Sun Shadow","#999008","yellow4"
"Marathon Polyester","Color #2029","Almond","#CC7A02","orange3"
"Marathon Polyester","Color #2030","Copper","#AF7506","darkgoldenrod"
"Marathon Polyester","Color #2031","Grape","#F3D1BE","bisque2"
"Marathon Polyester","Color #2032","Roebuck","#B5917D","rosybrown"
"Marathon Polyester","Color #2033","Memphis Belle","#F4BFD2","pink"
"Marathon Polyester","Color #2034","Carnatio","#F2B0C2","lightpink"
"Marathon Polyester","Color #2035","Emily Pink","#FAB0AE","lightpink1"
"Marathon Polyester","Color #2036","Azalea","#FB858E","lightcoral"
"Marathon Polyester","Color #2037","Medium Pink","#DC818C","palevioletred"
"Marathon Polyester","Color #2038","Sea Pink","#E399A1","rosybrown3"
"Marathon Polyester","Color #2039","Azalea","#E54D7D","violetred2"
"Marathon Polyester","Color #2040","Dark Pink","#BD3779","violetred3"
"Marathon Polyester","Color #2041","Ruby Glint","#E22982","maroon3"
"Marathon Polyester","Color #2042","Dark Pink","#D00057","deeppink3"
"Marathon Polyester","Color #2043","Cerise","#E10747","deeppink3"
"Marathon Polyester","Color #2044","Foxy Red","#CF1326","firebrick3"
"Marathon Polyester","Color #2045","Very Red","#C00B31","firebrick3"
"Marathon Polyester","Color #2046","Blossom","#F0B6A0","rosybrown2"
"Marathon Polyester","Color #2047","Melon","#FB906E","salmon1"
"Marathon Polyester","Color #2048","Golden Poppy","#FC8845","sienna1"
"Marathon Polyester","Color #2049","Golden Poppy","#E87513","chocolate2"
"Marathon Polyester","Color #2050","Dark Yellow","#E48D06","orange2"
"Marathon Polyester","Color #2051","Orange","#DF5900","darkorange3"
"Marathon Polyester","Color #2052","Orange","#DE4F04","orangered2"
"Marathon Polyester","Color #2053","Paprika","#FA4025","brown1"
"Marathon Polyester","Color #2054","Atom Red","#A80C36","brown"
"Marathon Polyester","Color #2055","Burgundy","#8C2532","brown4"
"Marathon Polyester","Color #2056","Perfect Ruby","#902444","violetred4"
"Marathon Polyester","Color #2057","Maroon","#7E1F3F","violetred4"
"Marathon Polyester","Color #2058","Red Licorice","#70193D","violetred4"
"Marathon Polyester","Color #2059","Medium Purple","#9B006F","darkmagenta"
"Marathon Polyester","Color #2060","Grape Wine","#85226C","maroon4"
"Marathon Polyester","Color #2061","Crystal Blue","#ABCCD9","lightsteelblue"
"Marathon Polyester","Color #2062","Ultra Blue","#76B3DF","skyblue2"
"Marathon Polyester","Color #2063","Cristy Blue","#A5BBE0","lightsteelblue"
"Marathon Polyester","Color #2064","Light Purple","#A7B0D5","lightsteelblue3"
"Marathon Polyester","Color #2065","Caribbean Blue","#76AADC","skyblue3"
"Marathon Polyester","Color #2066","Dolphin Blue","#3A75C4","royalblue3"
"Marathon Polyester","Color #2067","Solar Blue","#0055A0","deepskyblue4"
"Marathon Polyester","Color #2068","Blue","#2F348E","royalblue4"
"Marathon Polyester","Color #2069","Fire Blue","#003893","dodgerblue4"
"Marathon Polyester","Color #2070","Blue Suede","#00337F","navy"
"Marathon Polyester","Color #2071","Lake Blue","#25557E","royalblue4"
"Marathon Polyester","Color #2072","Blue Ribbon","#0F2C5C","midnightblue"
"Marathon Polyester","Color #2073","Light Navy","#0E1D47","midnightblue"
"Marathon Polyester","Color #2074","Gray Ridge","#877882","gray51"
"Marathon Polyester","Color #2075","Deep Windsor","#004559","darkslategray"
"Marathon Polyester","Color #2076","Rose Pink","#E1CEE0","gray88"
"Marathon Polyester","Color #2077","Winsome Orchid","#D4B8C2","lavenderblush3"
"Marathon Polyester","Color #2078","Light Pink","#CFA2D4","plum3"
"Marathon Polyester","Color #2079","Violet Tulip","#9E92C7","slategray3"
"Marathon Polyester","Color #2080","Mauve","#8A77B9","mediumpurple3"
"Marathon Polyester","Color #2081","Iris","#AA74C0","mediumpurple"
"Marathon Polyester","Color #2082","Laurie Lilac","#8E48AD","orchid4"
"Marathon Polyester","Color #2083","Purple Accent","#4F2271","purple4"
"Marathon Polyester","Color #2084","Dark Purple","#5A138E","purple4"
"Marathon Polyester","Color #2085","Purple Accent","#46245A","gray27"
"Marathon Polyester","Color #2086","Purple Maze","#391A7A","midnightblue"
"Marathon Polyester","Color #2087","Dusted Peri","#736B99","lightslategray"
"Marathon Polyester","Color #2088","Royal","#1E1D78","midnightblue"
"Marathon Polyester","Color #2089","Bleached Aqua","#BDE3DB","powderblue"
"Marathon Polyester","Color #2090","Blue Frost","#98D7DF","lightblue"
"Marathon Polyester","Color #2091","Basic Turquoise","#71CFE3","skyblue"
"Marathon Polyester","Color #2092","Periwinkle","#2AC5DA","turquoise3"
"Marathon Polyester","Color #2093","Dark Blue/Green","#0098B4","deepskyblue3"
"Marathon Polyester","Color #2094","Cobalt","#73A1BD","skyblue3"
"Marathon Polyester","Color #2095","Dark Turquoise Blue","#00719F","deepskyblue4"
"Marathon Polyester","Color #2096","Light Clear Blue","#70ADB0","skyblue3"
"Marathon Polyester","Color #2097","M. D. Green","#007374","deepskyblue4"
"Marathon Polyester","Color #2098","Almost Aqua","#C4CFBE","honeydew3"
"Marathon Polyester","Color #2099","Ambrosia","#D6E8C4","lemonchiffon2"
"Marathon Polyester","Color #2100","Dark Green","#BBDA0B","yellow3"
"Marathon Polyester","Color #2101","Spruce","#AADD6E","darkolivegreen2"
"Marathon Polyester","Color #2102","Spearmint","#61BD99","aquamarine3"
"Marathon Polyester","Color #2103","Irish Green","#007C58","springgreen4"
"Marathon Polyester","Color #2104","Peppermint","#009887","cyan4"
"Marathon Polyester","Color #2105","Green Bay","#006A53","springgreen4"
"Marathon Polyester","Color #2106","Imperial Aqua","#006D66","deepskyblue4"
"Marathon Polyester","Color #2107","Evergreen","#004437","gray21"
"Marathon Polyester","Color #2108","Jungle Green","#007E67","turquoise4"
"Marathon Polyester","Color #2109","Green Forest","#006A5B","deepskyblue4"
"Marathon Polyester","Color #2110","Green","#3B772A","darkolivegreen"
"Marathon Polyester","Color #2111","Palmetto","#576314","darkolivegreen"
"Marathon Polyester","Color #2112","Stormy Sea","#738280","gray50"
