"source","id","name","color","r_color"
"Marathon Rayon Vol. III","Color #1001","Natural White","#F2F2E2","ivory2"
"Marathon Rayon Vol. III","Color #1002","Eggshell","#F8F1D3","papayawhip"
"Marathon Rayon Vol. III","Color #1003","Medium Yellow","#F2EF86","khaki2"
"Marathon Rayon Vol. III","Color #1004","Medium Yellow","#F5EE7E","khaki2"
"Marathon Rayon Vol. III","Color #1005","Daffodil","#F9E715","yellow2"
"Marathon Rayon Vol. III","Color #1006","Pale Yellow","#F1EB87","khaki2"
"Marathon Rayon Vol. III","Color #1007","Canary Yellow","#F9E527","goldenrod1"
"Marathon Rayon Vol. III","Color #1008","Moonbeam","#F9DF16","gold"
"Marathon Rayon Vol. III","Color #1009","Canary","#FAD716","gold"
"Marathon Rayon Vol. III","Color #1010","Tusk","#F8E7AB","palegoldenrod"
"Marathon Rayon Vol. III","Color #1011","Star Gold","#FDDA57","lightgoldenrod2"
"Marathon Rayon Vol. III","Color #1012","Yellow Poppy","#F0B32F","goldenrod2"
"Marathon Rayon Vol. III","Color #1013","Almost Apricot","#E8B596","burlywood2"
"Marathon Rayon Vol. III","Color #1014","Grain","#EBB38C","burlywood"
"Marathon Rayon Vol. III","Color #1015","Almond","#C77F07","orange3"
"Marathon Rayon Vol. III","Color #1016","Pale Green/Yellow","#B6AC59","darkkhaki"
"Marathon Rayon Vol. III","Color #1017","Popcorn","#E3D67D","lightgoldenrod2"
"Marathon Rayon Vol. III","Color #1018","Black Eyed Susie","#C6AE0F","gold3"
"Marathon Rayon Vol. III","Color #1019","Light Pink","#F2D6D9","mistyrose2"
"Marathon Rayon Vol. III","Color #1020","Pink Bazaar","#F0C7D3","mistyrose2"
"Marathon Rayon Vol. III","Color #1021","Memphis Belle","#F4BFD2","pink"
"Marathon Rayon Vol. III","Color #1022","Carnatio","#F2B0C2","lightpink"
"Marathon Rayon Vol. III","Color #1023","Begonia Pink","#ED9CB5","lightpink2"
"Marathon Rayon Vol. III","Color #1024","Begonia","#F94E8F","violetred1"
"Marathon Rayon Vol. III","Color #1025","Cherry Blossom","#EA106A","deeppink2"
"Marathon Rayon Vol. III","Color #1026","Dark Pink","#CB0356","deeppink3"
"Marathon Rayon Vol. III","Color #1027","Floral Pink","#ED72AB","hotpink2"
"Marathon Rayon Vol. III","Color #1028","Wild Orchid","#DE7899","palevioletred"
"Marathon Rayon Vol. III","Color #1029","Oyster","#F6E5E5","lavenderblush2"
"Marathon Rayon Vol. III","Color #1030","Rosewater","#FBDDD6","antiquewhite"
"Marathon Rayon Vol. III","Color #1031","Desert Bloom","#F6BDBF","rosybrown1"
"Marathon Rayon Vol. III","Color #1032","Orchid Pink","#FBBFC3","rosybrown1"
"Marathon Rayon Vol. III","Color #1033","Emily Pink","#FDADB1","lightpink1"
"Marathon Rayon Vol. III","Color #1034","Azalea","#FC758F","palevioletred2"
"Marathon Rayon Vol. III","Color #1035","Medium Pink","#DC818C","palevioletred"
"Marathon Rayon Vol. III","Color #1036","Brandied Apricot","#D18785","lightpink3"
"Marathon Rayon Vol. III","Color #1037","Crystal Pink","#F5D2CD","mistyrose2"
"Marathon Rayon Vol. III","Color #1038","Peach Blush","#EDD1C2","bisque2"
"Marathon Rayon Vol. III","Color #1039","Bisque","#F1C5B0","peachpuff2"
"Marathon Rayon Vol. III","Color #1040","Blossom","#F0B6A0","rosybrown2"
"Marathon Rayon Vol. III","Color #1041","Cadmium Orange","#FC9E71","lightsalmon"
"Marathon Rayon Vol. III","Color #1042","Orange","#FF9940","tan1"
