"source","id","name","color","r_color"
"Metroem","Color #1624","Unknown 1624","#F0BAD4","pink"
"Metroem","Color #1636","Unknown 1636","#EDABC2","pink2"
"Metroem","Color #1637","Unknown 1637","#E87AA3","palevioletred2"
"Metroem","Color #1643","Unknown 1643","#AB035C","deeppink4"
"Metroem","Color #1652","Unknown 1652","#BD3826","brown3"
"Metroem","Color #1654","Unknown 1654","#CF142B","firebrick3"
"Metroem","Color #1656","Unknown 1656","#BF1238","firebrick"
"Metroem","Color #1658","Unknown 1658","#A60F38","brown"
"Metroem","Color #1662","Unknown 1662","#F5E2E3","lavenderblush2"
"Metroem","Color #1664","Unknown 1664","#FAABB0","lightpink1"
"Metroem","Color #1667","Unknown 1667","#EDCCBA","bisque2"
"Metroem","Color #1680","Unknown 1680","#DE8703","orange3"
"Metroem","Color #1682","Unknown 1682","#D94F00","darkorange3"
"Metroem","Color #1685","Unknown 1685","#DE3B21","brown2"
"Metroem","Color #1704","Unknown 1704","#EDEB87","khaki2"
"Metroem","Color #1706","Unknown 1706","#F5E814","yellow2"
"Metroem","Color #1708","Unknown 1708","#FCC917","goldenrod1"
"Metroem","Color #1709","Unknown 1709","#F7B512","darkgoldenrod1"
"Metroem","Color #1710","Unknown 1710","#F7A30A","orange"
"Metroem","Color #1711","Unknown 1711","#FCC917","goldenrod1"
"Metroem","Color #1712","Unknown 1712","#F7A30A","orange"
"Metroem","Color #1723","Unknown 1723","#009687","cyan4"
"Metroem","Color #1724","Unknown 1724","#007D69","turquoise4"
"Metroem","Color #1742","Unknown 1742","#CFE89C","lemonchiffon3"
"Metroem","Color #1743","Unknown 1743","#A3D963","darkolivegreen3"
"Metroem","Color #1744","Unknown 1744","#61BF1A","chartreuse3"
"Metroem","Color #1751","Unknown 1751","#007336","springgreen4"
"Metroem","Color #1754","Unknown 1754","#006338","springgreen4"
"Metroem","Color #1761","Unknown 1761","#CFE89C","lemonchiffon3"
"Metroem","Color #1763","Unknown 1763","#A3D963","darkolivegreen3"
"Metroem","Color #1764","Unknown 1764","#6B8F00","olivedrab"
"Metroem","Color #1766","Unknown 1766","#4D590D","darkolivegreen"
"Metroem","Color #1772","Unknown 1772","#D1E3E3","gray89"
"Metroem","Color #1790","Unknown 1790","#BFD1D6","azure3"
"Metroem","Color #1800","Unknown 1800","#73B5E0","skyblue2"
"Metroem","Color #1802","Unknown 1802","#B5DEE3","powderblue"
"Metroem","Color #1804","Unknown 1804","#006EC7","dodgerblue3"
"Metroem","Color #1815","Unknown 1815","#9CBAD6","slategray3"
"Metroem","Color #1821","Unknown 1821","#003896","dodgerblue4"
"Metroem","Color #1823","Unknown 1823","#003082","navy"
"Metroem","Color #1838","Unknown 1838","#C7D9E6","lightsteelblue2"
"Metroem","Color #1840","Unknown 1840","#00B0AB","lightseagreen"
"Metroem","Color #1841","Unknown 1841","#00858A","turquoise4"
"Metroem","Color #1842","Unknown 1842","#00877D","turquoise4"
"Metroem","Color #1845","Unknown 1845","#B3C7E3","lightsteelblue"
"Metroem","Color #1846","Unknown 1846","#C7E6E3","lightcyan2"
"Metroem","Color #1859","Unknown 1859","#B3C7E3","lightsteelblue"
"Metroem","Color #1865","Unknown 1865","#59178A","purple4"
"Metroem","Color #1867","Unknown 1867","#1C1475","midnightblue"
"Metroem","Color #2645","Unknown 2645","#821C6B","maroon4"
"Metroem","Color #1871","Unknown 1871","#8C42AD","orchid4"
"Metroem","Color #1875","Unknown 1875","#B591D6","plum3"
"Metroem","Color #1885","Unknown 1885","#821C6B","maroon4"
"Metroem","Color #1924","Unknown 1924","#BA9E66","darkkhaki"
"Metroem","Color #1925","Unknown 1925","#994F14","chocolate4"
"Metroem","Color #1926","Unknown 1926","#54401F","gray25"
"Metroem","Color #1942","Unknown 1942","#EDC282","burlywood2"
"Metroem","Color #1945","Unknown 1945","#AB7305","darkgoldenrod"
"Metroem","Color #1950","Unknown 1950","#BF940D","darkgoldenrod3"
"Metroem","Color #1961","Unknown 1961","#D7D9E4","gray85"
"Metroem","Color #1965","Unknown 1965","#8C8F91","gray56"
"Metroem","Color #1966","Unknown 1966","#7A7A78","gray48"
"Metroem","Color #1969","Unknown 1969","#CFC4BA","seashell3"
"Metroem","Color #1975","Unknown 1975","#96877D","cornsilk4"
"Metroem","Color #1980","Unknown 1980","#BD3826","brown3"
"Metroem","Color #1981","Unknown 1981","#C9B582","navajowhite3"
"Metroem","Color #2007","Unknown 2007","#404714","gray25"
"Metroem","Color #2089","Unknown 2089","#004730","gray19"
"Metroem","Color #2096","Unknown 2096","#ADDBE3","lightblue"
"Metroem","Color #2110","Unknown 2110","#330D73","midnightblue"
"Metroem","Color #2124","Unknown 2124","#C25E03","darkorange3"
"Metroem","Color #2126","Unknown 2126","#DE7008","darkorange2"
"Metroem","Color #2142","Unknown 2142","#6B4A1C","sienna4"
"Metroem","Color #2153","Unknown 2153","#DE87B5","palevioletred1"
"Metroem","Color #2155","Unknown 2155","#B8698C","palevioletred3"
"Metroem","Color #2161","Unknown 2161","#B83847","maroon"
"Metroem","Color #2170","Unknown 2170","#990070","darkmagenta"
"Metroem","Color #2190","Unknown 2190","#00A3E0","deepskyblue3"
"Metroem","Color #2193","Unknown 2193","#36578C","steelblue4"
"Metroem","Color #2209","Unknown 2209","#DE1F82","violetred"
"Metroem","Color #2295","Unknown 2295","#6B173B","deeppink4"
"Metroem","Color #2296","Unknown 2296","#612147","violetred4"
"Metroem","Color #2324","Unknown 2324","#E8EB38","olivedrab2"
"Metroem","Color #2327","Unknown 2327","#FF784D","coral"
"Metroem","Color #1722","Unknown 1722","#00946C","cyan4"
"Metroem","Color #1774","Unknown 1774","#ADC07C","darkkhaki"
"Metroem","Color #1825","Unknown 1825","#1F2B39","gray17"
"Metroem","Color #1873","Unknown 1873","#6A3280","darkorchid4"
"Metroem","Color #1903","Unknown 1903","#CBB18A","navajowhite3"
"Metroem","Color #1907","Unknown 1907","#F1EED0","lightyellow2"
"Metroem","Color #1947","Unknown 1947","#D7B064","lightgoldenrod3"
"Metroem","Color #2255","Unknown 2255","#BD9C83","rosybrown"
"Metroem","Color #2256","Unknown 2256","#8F7B5F","navajowhite4"
"Metroem","Color #1806","Unknown 1806","#ABCCD9","lightsteelblue"
"Metroem","Color #1860","Unknown 1860","#D1E4D4","gray83"
"Metroem","Color #1922","Unknown 1922","#C7BFB0","antiquewhite3"
"Metroem","Color #1940","Unknown 1940","#877882","gray51"
"Metroem","Color #2154","Unknown 2154","#C7BFB0","antiquewhite3"
"Metroem","Color #1863","Unknown 1863","#A478AB","gray64"
"Metroem","Color #1948","Unknown 1948","#2A4F31","darkslategray"
"Metroem","Color #1964","Unknown 1964","#B5BAB6","gray71"
"Metroem","Color #1998","Unknown 1998","#373C35","gray21"
"Metroem","Color #2088","Unknown 2088","#273123","gray15"
"Metroem","Color #1618","Unknown 1618","#FFFFFF","white"
"Metroem","Color #1621","Unknown 1621","#000000","black"
