"source","id","name","color","r_color"
"Mettler Embroidery","Color #002","White","#FAF8F6","gray97"
"Mettler Embroidery","Color #003","Black","#000000","black"
"Mettler Embroidery","Color #498","Oriental Blue","#5F8ABF","steelblue3"
"Mettler Embroidery","Color #500","Yellow","#FFEB32","goldenrod1"
"Mettler Embroidery","Color #501","Yellow","#F7F43D","olivedrab1"
"Mettler Embroidery","Color #502","Lemon","#FAF8AB","palegoldenrod"
"Mettler Embroidery","Color #505","Orange","#FE9930","chocolate1"
"Mettler Embroidery","Color #507","Nut","#E57A1C","chocolate2"
"Mettler Embroidery","Color #511","Tan","#94523D","lightsalmon4"
"Mettler Embroidery","Color #512","Light Cream","#FEF5DA","cornsilk"
"Mettler Embroidery","Color #515","New Gold","#E4BA78","burlywood"
"Mettler Embroidery","Color #517","Topaz","#D2914F","peru"
"Mettler Embroidery","Color #520","Glow","#F4E0A6","wheat"
"Mettler Embroidery","Color #522","Sunflower","#FFF02B","goldenrod1"
"Mettler Embroidery","Color #528","Date","#B2432C","sienna"
"Mettler Embroidery","Color #534","Red Jubilee","#B50D13","firebrick"
"Mettler Embroidery","Color #536","Pale Green","#C7E8AB","darkseagreen2"
"Mettler Embroidery","Color #539","Olive","#35715B","seagreen"
"Mettler Embroidery","Color #540","Green Dust","#5D7329","darkolivegreen"
"Mettler Embroidery","Color #543","Ivy","#021C23","gray11"
"Mettler Embroidery","Color #544","Pale Green","#8DCF83","palegreen3"
"Mettler Embroidery","Color #546","Light Green","#88CA5B","darkolivegreen3"
"Mettler Embroidery","Color #547","Green Dust","#697D2B","olivedrab4"
"Mettler Embroidery","Color #548","Green Pearl","#76C79C","aquamarine3"
"Mettler Embroidery","Color #549","Green Gables","#2D6031","darkslategray"
"Mettler Embroidery","Color #553","Pine Green","#02836B","turquoise4"
"Mettler Embroidery","Color #554","Harbor Green","#4EB588","mediumseagreen"
"Mettler Embroidery","Color #559","Black","#000000","black"
"Mettler Embroidery","Color #561","Pale Green","#A9DDBC","darkseagreen2"
"Mettler Embroidery","Color #575","Bisque","#EFC2DF","thistle2"
"Mettler Embroidery","Color #581","Violet Blue","#311760","midnightblue"
"Mettler Embroidery","Color #582","Navy Blue","#20013B","gray12"
"Mettler Embroidery","Color #583","Raspberry","#39027D","navy"
"Mettler Embroidery","Color #591","Coral","#FB978A","lightsalmon"
"Mettler Embroidery","Color #592","Apricot","#FB886C","salmon1"
"Mettler Embroidery","Color #594","Orangeade","#FF420B","orangered"
"Mettler Embroidery","Color #596","Azalea","#F84E67","indianred2"
"Mettler Embroidery","Color #600","Carolina Red","#BF0137","firebrick"
"Mettler Embroidery","Color #601","Dark Maroon","#6F0539","deeppink4"
"Mettler Embroidery","Color #605","Bisque","#FDDEAE","navajowhite"
"Mettler Embroidery","Color #607","Dark Chocolate","#34000F","gray6"
"Mettler Embroidery","Color #610","Pink","#FAA4C1","lightpink"
"Mettler Embroidery","Color #611","Tulip","#B147A0","mediumorchid3"
"Mettler Embroidery","Color #612","Wine","#F44390","violetred2"
"Mettler Embroidery","Color #618","Dark Brown","#250F18","gray9"
"Mettler Embroidery","Color #623","Cinder","#595952","gray35"
"Mettler Embroidery","Color #628","Light Tan","#D2B091","tan"
"Mettler Embroidery","Color #629","Toast","#B48568","lightsalmon3"
"Mettler Embroidery","Color #636","Light Brown","#AD7C64","wheat4"
"Mettler Embroidery","Color #640","Cinder","#928C90","gray56"
"Mettler Embroidery","Color #645","Light Coral","#FEEDDE","antiquewhite1"
"Mettler Embroidery","Color #646","Light Rust","#FBA29B","lightpink2"
"Mettler Embroidery","Color #647","Bisque","#FCD4DE","mistyrose"
"Mettler Embroidery","Color #650","Cachet","#713A98","mediumorchid4"
"Mettler Embroidery","Color #651","Palm Leaf","#74715D","gray44"
"Mettler Embroidery","Color #657","Metal","#565655","gray34"
"Mettler Embroidery","Color #658","Coffee","#BA713C","sienna3"
"Mettler Embroidery","Color #668","Natural White","#DEF2E0","honeydew2"
"Mettler Embroidery","Color #669","Light Blue","#A1D0CB","paleturquoise3"
"Mettler Embroidery","Color #672","Baby Blue","#6F93C4","skyblue3"
"Mettler Embroidery","Color #675","Blue Ribbon","#0C2F7D","midnightblue"
"Mettler Embroidery","Color #678","Dark Green","#395A2E","gray22"
"Mettler Embroidery","Color #681","Teal","#6E7B74","gray45"
"Mettler Embroidery","Color #684","Slate Blue","#343A5D","darkslategray"
"Mettler Embroidery","Color #685","Twilight","#302B28","gray17"
"Mettler Embroidery","Color #688","Midnight Navy","#0E274A","gray15"
"Mettler Embroidery","Color #690","Deep Windsor","#053A50","darkslategray"
"Mettler Embroidery","Color #692","Light Tan","#BEA183","burlywood3"
"Mettler Embroidery","Color #696","Metal","#3E434A","gray26"
"Mettler Embroidery","Color #698","Light Brown","#74573A","lightsalmon4"
"Mettler Embroidery","Color #700","Charcoal","#3F3D3C","gray24"
"Mettler Embroidery","Color #703","Natural White","#FCF9EF","floralwhite"
"Mettler Embroidery","Color #704","Off White","#FCF9E8","oldlace"
"Mettler Embroidery","Color #706","Dark Brown","#4F4742","gray28"
"Mettler Embroidery","Color #707","Midnight Navy","#1C1C27","gray11"
"Mettler Embroidery","Color #711","Brown","#6E3123","tomato4"
"Mettler Embroidery","Color #712","Cocoa","#391A1D","gray11"
"Mettler Embroidery","Color #713","Ash White","#D9D5CA","gray83"
"Mettler Embroidery","Color #714","Dark Green","#395A2E","gray22"
"Mettler Embroidery","Color #717","Olive Drab","#5B5C31","darkolivegreen"
"Mettler Embroidery","Color #724","Palm Leaf","#8C8886","snow4"
"Mettler Embroidery","Color #725","Dover Gray","#999991","gray60"
"Mettler Embroidery","Color #728","Coffee Bean","#8D2211","firebrick4"
"Mettler Embroidery","Color #736","Winter Blue","#A1AFBF","lightsteelblue3"
"Mettler Embroidery","Color #738","Dark Maroon","#570439","deeppink4"
"Mettler Embroidery","Color #739","Red  ","#E90B33","firebrick2"
"Mettler Embroidery","Color #745","Black","#03071C","gray3"
"Mettler Embroidery","Color #749","True White","#DBEDE9","azure2"
"Mettler Embroidery","Color #753","Amber Beige","#71463D","salmon4"
"Mettler Embroidery","Color #759","Charcoal","#141516","gray8"
"Mettler Embroidery","Color #767","Nectar","#FECF25","goldenrod1"
"Mettler Embroidery","Color #769","Wine","#A90244","deeppink4"
"Mettler Embroidery","Color #771","Dark Brown","#360025","gray14"
"Mettler Embroidery","Color #781","Eggshell","#FCF1D3","papayawhip"
"Mettler Embroidery","Color #786","Camel","#512525","gray15"
"Mettler Embroidery","Color #787","Light Blue","#C2E3E6","powderblue"
"Mettler Embroidery","Color #788","Baby Blue","#77A5CD","skyblue3"
"Mettler Embroidery","Color #790","Lannen Blue","#124A9E","dodgerblue4"
"Mettler Embroidery","Color #792","Midnight Navy","#041029","gray6"
"Mettler Embroidery","Color #795","Light Emerald","#209A50","seagreen"
"Mettler Embroidery","Color #800","Flamingo","#FCC8B4","rosybrown1"
"Mettler Embroidery","Color #802","Champagne Pink","#FBA99C","lightpink2"
"Mettler Embroidery","Color #803","Pink Mist","#F77FB1","palevioletred1"
"Mettler Embroidery","Color #805","Rose","#F65EA1","hotpink2"
"Mettler Embroidery","Color #806","Blush","#F85375","indianred1"
"Mettler Embroidery","Color #809","Scholastic","#B54C2C","sienna"
"Mettler Embroidery","Color #814","Misty","#18648E","deepskyblue4"
"Mettler Embroidery","Color #820","Ecru","#CBBA9D","bisque3"
"Mettler Embroidery","Color #821","Foxy Red","#FA1B3D","firebrick1"
"Mettler Embroidery","Color #822","Rust","#AF282F","brown"
"Mettler Embroidery","Color #827","Nectar","#FFD413","gold"
"Mettler Embroidery","Color #828","Goldenrod","#FEA336","tan1"
