"source","id","name","color","r_color"
"Mettler Poly Sheen","Color #0010","Silky White","#FFFFFF","white"
"Mettler Poly Sheen","Color #0015","White","#FFFFFF","white"
"Mettler Poly Sheen","Color #0017","Paper White","#FFFFFF","white"
"Mettler Poly Sheen","Color #0020","Black","#231F20","gray12"
"Mettler Poly Sheen","Color #0101","Eggshell","#FFFEF4","ivory"
"Mettler Poly Sheen","Color #0108","Cobblestone","#77848D","lightcyan4"
"Mettler Poly Sheen","Color #0111","Whale","#5C6B78","gray42"
"Mettler Poly Sheen","Color #0112","Leadville","#787D8A","lightsteelblue4"
"Mettler Poly Sheen","Color #0124","Fieldstone","#BFC7C4","gray77"
"Mettler Poly Sheen","Color #0131","Smoke","#A09DA2","gray63"
"Mettler Poly Sheen","Color #0132","Dark Pewter","#405064","gray31"
"Mettler Poly Sheen","Color #0142","Sterling","#9DACB2","gray67"
"Mettler Poly Sheen","Color #0145","Skylight","#B2BBC7","gray73"
"Mettler Poly Sheen","Color #0150","Mystic Grey","#C1BEB7","gray"
"Mettler Poly Sheen","Color #0151","Cloud","#B0ADA1","gray68"
"Mettler Poly Sheen","Color #0152","Dolphin","#797D83","gray49"
"Mettler Poly Sheen","Color #0170","Sea Shell","#E2DBCC","antiquewhite2"
"Mettler Poly Sheen","Color #0176","Fog","#E5E4DD","gray89"
"Mettler Poly Sheen","Color #0180","Whitewash","#FFF6F0","seashell"
"Mettler Poly Sheen","Color #0182","Saturn Grey","#D6CCCB","gray80"
"Mettler Poly Sheen","Color #0184","Pearl","#F7F7F0","gray97"
"Mettler Poly Sheen","Color #0221","Light Brass","#EBD417","gold2"
"Mettler Poly Sheen","Color #0232","Seaweed","#B1AC59","darkkhaki"
"Mettler Poly Sheen","Color #0250","Lemon Frost","#F2F5C2","lemonchiffon2"
"Mettler Poly Sheen","Color #0270","Buttercream","#FFFDEF","ivory"
"Mettler Poly Sheen","Color #0310","Yellow","#FFF32B","yellow"
"Mettler Poly Sheen","Color #0311","Canary","#FFCB08","gold"
"Mettler Poly Sheen","Color #0345","Moss","#78663C","lightsalmon4"
"Mettler Poly Sheen","Color #0352","Marsh","#B1B45B","darkkhaki"
"Mettler Poly Sheen","Color #0442","Tarnished Gold","#B5B35D","darkkhaki"
"Mettler Poly Sheen","Color #0453","Army Drab","#989F7B","lightyellow4"
"Mettler Poly Sheen","Color #0463","Cypress","#9BA683","gray61"
"Mettler Poly Sheen","Color #0465","Umber","#71513A","salmon4"
"Mettler Poly Sheen","Color #0501","Sun","#F4F06E","khaki2"
"Mettler Poly Sheen","Color #0504","Mimosa","#EFD224","goldenrod2"
"Mettler Poly Sheen","Color #0506","Yellow Bird","#FADE5E","lightgoldenrod"
"Mettler Poly Sheen","Color #0520","Daffodil","#FAECB4","moccasin"
"Mettler Poly Sheen","Color #0532","Champagne","#CEB78B","navajowhite3"
"Mettler Poly Sheen","Color #0542","Ochre","#B29335","peru"
"Mettler Poly Sheen","Color #0546","Ginger","#CEBC5F","lightgoldenrod3"
"Mettler Poly Sheen","Color #0552","Flax","#C4A276","burlywood3"
"Mettler Poly Sheen","Color #0600","Citrus","#FFF200","yellow"
"Mettler Poly Sheen","Color #0605","Daisy","#F6DE00","gold"
