"source","id","name","color","r_color"
"Princess","Color #1-1","White","#FFFFFF","white"
"Princess","Color #1-2","Grey","#D8CDD4","gray83"
"Princess","Color #1-3","Pink","#E63C66","violetred2"
"Princess","Color #1-4","Lt. Olive","#6D8448","darkolivegreen4"
"Princess","Color #1-5","Yellow","#FFD23C","goldenrod1"
"Princess","Color #1-6","Black","#000000","black"
"Princess","Color #1-7","Mid Blue","#5E8CB0","cadetblue"
"Princess","Color #1-8","Red","#FF0003","red"
"Princess","Color #1-9","Green","#297A1E","forestgreen"
"Princess","Color #1-10","Brown","#591717","firebrick4"
"Princess","Color #2-1","Cream","#E8DDC0","lemonchiffon2"
"Princess","Color #2-2","Gold","#E38246","sienna2"
"Princess","Color #2-3","Light Brown","#B47253","salmon3"
"Princess","Color #2-4","Orange","#B42D30","brown"
"Princess","Color #2-5","Purple","#A13F7D","orchid4"
"Princess","Color #2-6","Pewter","#6A7073","gray44"
"Princess","Color #2-7","Cyan","#0098A0","cyan4"
"Princess","Color #2-8","Dark Blue","#17328E","royalblue4"
"Princess","Color #2-9","Olive","#3C4E2C","gray23"
"Princess","Color #2-10","Burgundy","#802426","brown4"
"Princess","Color #3-1","Palest Ivory","#EDE4D8","seashell2"
"Princess","Color #3-2","Palest Yellow","#E8D2A8","navajowhite2"
"Princess","Color #3-3","Palest Fawn","#E6C6B6","peachpuff2"
"Princess","Color #3-4","Palest Peach","#EBD0CB","mistyrose2"
"Princess","Color #3-5","Palest Pink","#EEC8DC","mistyrose2"
"Princess","Color #3-6","Palest Grey","#DCD8E1","gainsboro"
"Princess","Color #3-7","Palest Blue","#D1D8E7","gray85"
"Princess","Color #3-8","Palest Aqua","#CEFAF4","lightcyan2"
"Princess","Color #3-9","Palest Green","#9BB685","darkseagreen"
"Princess","Color #3-10","Palest Mauve","#D3BBD5","thistle"
"Princess","Color #4-1","Light Blue","#B6C8E1","lightsteelblue"
"Princess","Color #4-2","Powder Blue","#87A0D4","lightskyblue3"
"Princess","Color #4-3","Sky Blue","#7277C7","slateblue"
"Princess","Color #4-4","Slate Blue","#3E5F97","steelblue4"
"Princess","Color #4-5","Storm Blue","#55577A","gray34"
"Princess","Color #4-6","Denim","#262A5C","midnightblue"
"Princess","Color #4-7","Petrel Blue","#0A4B8C","dodgerblue4"
"Princess","Color #4-8","Imperial Blue","#111B5E","midnightblue"
"Princess","Color #4-9","Royal Blue","#0E2272","midnightblue"
"Princess","Color #4-10","Navy Blue","#12113B","gray7"
"Princess","Color #5-1","Copper","#E67850","coral2"
"Princess","Color #5-2","Golden Brown","#D76B3C","sienna3"
"Princess","Color #5-3","Tan","#6E2819","brown4"
"Princess","Color #5-4","Bark","#742514","brown4"
"Princess","Color #5-5","Dark Oak","#4B1B12","gray10"
"Princess","Color #5-6","Russet","#820000","darkred"
"Princess","Color #5-7","Mahogany","#501412","gray8"
"Princess","Color #5-8","Mushroom","#785436","salmon4"
"Princess","Color #5-9","Khaki","#5B3C11","chocolate4"
"Princess","Color #5-10","Dark Chocolate","#440100","black"
"Princess","Color #6-1","Light Salmon","#F8BD9B","burlywood2"
"Princess","Color #6-2","Salmon","#F38A67","salmon1"
"Princess","Color #6-3","Tangerine","#F25238","tomato2"
"Princess","Color #6-4","Blush","#E69178","darksalmon"
"Princess","Color #6-5","Bronze","#B85A3C","coral3"
"Princess","Color #6-6","Scarlet","#E82925","firebrick2"
"Princess","Color #6-7","Rust","#CA2017","firebrick3"
"Princess","Color #6-8","Carmine","#D20414","red3"
"Princess","Color #6-9","Ruby","#E7001C","red2"
"Princess","Color #6-10","Antique Red","#E02F34","brown3"
"Princess","Color #7-1","Light Jade","#90D682","palegreen3"
"Princess","Color #7-2","Pistachio","#9EA446","khaki4"
"Princess","Color #7-3","Fresh Green","#AAC93C","olivedrab3"
"Princess","Color #7-4","Sage","#4B9451","palegreen4"
"Princess","Color #7-5","Teal","#406040","gray25"
"Princess","Color #7-6","Bright Green","#368F34","forestgreen"
"Princess","Color #7-7","Jade","#297642","seagreen"
"Princess","Color #7-8","Leaf Green","#3A823C","seagreen"
"Princess","Color #7-9","Emerald","#1E9129","forestgreen"
"Princess","Color #7-10","Dark Green","#0B6020","darkgreen"
"Princess","Color #8-1","Sugar Pink","#F5C0C8","pink"
"Princess","Color #8-2","Petal Pink","#FAAABE","lightpink1"
"Princess","Color #8-3","Rose Pink","#FA86A0","palevioletred1"
"Princess","Color #8-4","Passion Pink","#D06690","hotpink3"
"Princess","Color #8-5","Dusky Rose","#BE3455","maroon"
"Princess","Color #8-6","Light Cerise","#F16985","lightcoral"
"Princess","Color #8-7","Dusky Pink","#EF5B6F","indianred2"
"Princess","Color #8-8","Cerise","#DC004A","deeppink3"
"Princess","Color #8-9","Fuschia","#FF0076","deeppink"
"Princess","Color #8-10","Raspberry","#952450","violetred4"
"Princess","Color #9-1","Platinum","#F4F1EC","gray94"
"Princess","Color #9-2","Silver Fox","#B9A4B7","gray72"
"Princess","Color #9-3","Sleet Grey","#B0B0BB","gray69"
"Princess","Color #9-4","Silver Blue","#747992","slategray"
"Princess","Color #9-5","Silver Moon","#968C8E","gray56"
"Princess","Color #9-6","Willow","#8A7D66","wheat4"
"Princess","Color #9-7","Dark Grey","#665366","gray40"
"Princess","Color #9-8","Steel","#56536C","gray34"
"Princess","Color #9-9","Midnight","#4B4750","gray29"
"Princess","Color #9-10","Seal","#242436","gray14"
"Princess","Color #10-1","Pacific Mist","#A2FBE6","paleturquoise2"
"Princess","Color #10-2","Mint","#B8E7CA","darkseagreen2"
"Princess","Color #10-3","Aqua","#95F4DB","darkslategray2"
"Princess","Color #10-4","Capri","#31D6E3","turquoise"
"Princess","Color #10-5","Lagoon","#468C91","darkslategray4"
"Princess","Color #10-6","Kingfisher","#1597AE","lightseagreen"
"Princess","Color #10-7","Lido","#338E67","seagreen"
"Princess","Color #10-8","Tropical Green","#286F44","darkslategray"
"Princess","Color #10-9","Deep Atlantic","#226064","darkslategray"
"Princess","Color #10-10","Ocean Depths","#284346","darkslategray"
"Princess","Color #11-1","Delicate Mauve","#FFD2DC","mistyrose"
"Princess","Color #11-2","Pale Lilac","#E1BAE9","plum2"
"Princess","Color #11-3","Lilac","#9F6B9C","plum4"
"Princess","Color #11-4","Lavender","#C466A8","hotpink3"
"Princess","Color #11-5","Violet","#974C94","orchid4"
"Princess","Color #11-6","Clematis","#BD4B97","hotpink3"
"Princess","Color #11-7","Imperial Purple","#5D3B7B","mediumpurple4"
"Princess","Color #11-8","Amethyst","#8E5FC4","mediumpurple3"
"Princess","Color #11-9","Deep Violet","#813A7E","mediumorchid4"
"Princess","Color #11-10","Cassis","#3F3566","gray25"
