"source","id","name","color","r_color"
"Radiant Rayon","Color #P101","Black","#000000","black"
"Radiant Rayon","Color #P102","White","#FFFFFF","white"
"Radiant Rayon","Color #P110","Off White","#FFF1D7","papayawhip"
"Radiant Rayon","Color #P115","Sand","#F2FBD7","beige"
"Radiant Rayon","Color #P120","Lt Beige","#EDE3B8","lemonchiffon2"
"Radiant Rayon","Color #P121","Beige","#C6AE9D","peachpuff3"
"Radiant Rayon","Color #P122","SandStone","#C4BB9D","bisque3"
"Radiant Rayon","Color #P123","Beachcomber","#B7AC86","burlywood3"
"Radiant Rayon","Color #P125","Dusky Goldenrod","#D6C29E","bisque3"
"Radiant Rayon","Color #P126","Twilight Harvest","#BFAC6A","darkkhaki"
"Radiant Rayon","Color #P127","Brown","#78603F","lightsalmon4"
"Radiant Rayon","Color #P130","Sienna","#E2C57E","burlywood"
"Radiant Rayon","Color #P131","Sienna Rose","#B98A44","peru"
"Radiant Rayon","Color #P135","Sienna Brass","#A36814","goldenrod4"
"Radiant Rayon","Color #P143","Burnished Eggplant","#5E3433","gray20"
"Radiant Rayon","Color #P145","Spanish Roast","#482626","gray15"
"Radiant Rayon","Color #P195","Pearled Gold","#F8F4D3","lightgoldenrodyellow"
"Radiant Rayon","Color #P196","Golden Sand","#F2ECB6","lemonchiffon2"
"Radiant Rayon","Color #P200","Pearled Bronze","#F7F4C9","lemonchiffon"
"Radiant Rayon","Color #P201","Pale Gold","#FDECA8","navajowhite"
"Radiant Rayon","Color #P205","Buttercup","#FBF259","lightgoldenrod1"
"Radiant Rayon","Color #P206","Bright Gold","#F9E926","goldenrod1"
"Radiant Rayon","Color #P207","Goldenrod","#E6C44D","tan2"
"Radiant Rayon","Color #P210","Brass","#E2B30E","darkgoldenrod2"
"Radiant Rayon","Color #P211","Brass Rose","#F8C272","burlywood2"
"Radiant Rayon","Color #P212","Dusky Brass","#D9A603","gold3"
"Radiant Rayon","Color #P215","Cayenne","#DA630C","darkorange3"
"Radiant Rayon","Color #P220","Cinnamon","#DC790B","darkorange2"
"Radiant Rayon","Color #P224","Antique Bronze","#BEA80C","gold3"
"Radiant Rayon","Color #P225","Antique Gold","#BE9A0C","darkgoldenrod3"
"Radiant Rayon","Color #P226","Pickled Olive","#9E810A","darkgoldenrod"
"Radiant Rayon","Color #P300","Cool Mint","#CDF3A7","darkseagreen2"
"Radiant Rayon","Color #P305","Fresh Mint","#EB65A8","hotpink2"
"Radiant Rayon","Color #P306","Vivid Mint","#73BE0C","chartreuse3"
"Radiant Rayon","Color #P307","Grey Moss","#C2DA70","darkolivegreen2"
"Radiant Rayon","Color #P308","Deep Moss","#60731E","darkolivegreen"
"Radiant Rayon","Color #P310","New Pine","#509526","olivedrab"
"Radiant Rayon","Color #P312","Dusky Spruce","#615B1A","darkolivegreen"
"Radiant Rayon","Color #P313","Dusky Pine","#5D601A","darkolivegreen"
"Radiant Rayon","Color #P314","Black Pine","#324211","gray20"
"Radiant Rayon","Color #P315","Spring Fern","#C4D257","darkolivegreen3"
"Radiant Rayon","Color #P316","Olive","#9C8B29","olivedrab"
"Radiant Rayon","Color #P320","Deep Olive","#237823","forestgreen"
"Radiant Rayon","Color #P325","Golden Pine","#62681A","darkolivegreen"
"Radiant Rayon","Color #P400","Frosted Wintergreen","#E1F9CC","lightyellow2"
"Radiant Rayon","Color #P405","Deep Wintergreen","#56CB80","seagreen3"
"Radiant Rayon","Color #P407","Christmas Fir","#335909","darkgreen"
"Radiant Rayon","Color #P408","Morning Cyan","#D1FAE6","lightcyan2"
"Radiant Rayon","Color #P409","Dusky Cyan","#86C2E9","skyblue"
"Radiant Rayon","Color #P410","Mountain Lake","#348B71","aquamarine4"
"Radiant Rayon","Color #P411","Lake Shadows","#266F66","seagreen"
"Radiant Rayon","Color #P415","Lake Forest","#308168","seagreen"
"Radiant Rayon","Color #P416","Midnight Lake","#164B45","darkslategray"
"Radiant Rayon","Color #P420","Winter Morning","#E1F7F4","azure2"
"Radiant Rayon","Color #P421","Pearled Coneflower","#D0F0FD","lightcyan2"
"Radiant Rayon","Color #P422","Winter Haze","#CBD5DD","gray83"
"Radiant Rayon","Color #P423","Russina Blue","#757886","lightsteelblue4"
"Radiant Rayon","Color #P424","Charcoal Blue","#686B77","gray42"
"Radiant Rayon","Color #P425","Summer Morning","#ACD3DF","lightblue"
"Radiant Rayon","Color #P426","Harbor","#30697A","steelblue4"
"Radiant Rayon","Color #P427","Cornflower","#8399BA","gray60"
