"source","id","name","color","r_color"
"Robison-Anton Polyester","Color #5501","Old Gold","#D0CB00","yellow3"
"Robison-Anton Polyester","Color #5502","Olive","#507840","darkolivegreen"
"Robison-Anton Polyester","Color #5503","Gold","#F8E8B8","wheat1"
"Robison-Anton Polyester","Color #5504","Turquoise","#209878","aquamarine4"
"Robison-Anton Polyester","Color #5505","Dark Rust","#884400","darkorange4"
"Robison-Anton Polyester","Color #5506","Baby Blue","#B8DCFF","lightskyblue1"
"Robison-Anton Polyester","Color #5507","Gray","#C0C0C8","gray76"
"Robison-Anton Polyester","Color #5508","Dark Green","#287438","forestgreen"
"Robison-Anton Polyester","Color #5509","Green","#488C38","palegreen4"
"Robison-Anton Polyester","Color #5510","Royal","#000C80","navy"
"Robison-Anton Polyester","Color #5511","Nile","#00BC60","springgreen3"
"Robison-Anton Polyester","Color #5512","Sun Gold","#FF9C00","orange"
"Robison-Anton Polyester","Color #5513","Yellow","#E8B028","goldenrod2"
"Robison-Anton Polyester","Color #5514","Emerald","#00D000","green3"
"Robison-Anton Polyester","Color #5515","Navy","#000038","black"
"Robison-Anton Polyester","Color #5516","Marigold","#F0D020","goldenrod2"
"Robison-Anton Polyester","Color #5517","Twilight","#888888","gray53"
"Robison-Anton Polyester","Color #5518","Orange","#FF5C18","chocolate1"
"Robison-Anton Polyester","Color #5519","Scarlet","#980C00","darkred"
"Robison-Anton Polyester","Color #5520","Blue","#003470","midnightblue"
"Robison-Anton Polyester","Color #5521","Willow","#707438","darkolivegreen4"
"Robison-Anton Polyester","Color #5522","Light Blue","#E0FFFF","lightcyan"
"Robison-Anton Polyester","Color #5523","Pink","#FFD0E8","thistle2"
"Robison-Anton Polyester","Color #5524","Beige","#707038","darkolivegreen4"
"Robison-Anton Polyester","Color #5525","Wine","#680030","deeppink4"
"Robison-Anton Polyester","Color #5526","Meadow","#607820","olivedrab4"
"Robison-Anton Polyester","Color #5527","Chocolate","#582C30","gray19"
"Robison-Anton Polyester","Color #5528","Begonia","#FF6468","indianred1"
"Robison-Anton Polyester","Color #5529","Palmetto","#686810","goldenrod4"
"Robison-Anton Polyester","Color #5530","Tamarack","#A8A800","gold3"
"Robison-Anton Polyester","Color #5531","Toast","#C87420","chocolate3"
"Robison-Anton Polyester","Color #5532","Ecru","#F8F0C8","blanchedalmond"
"Robison-Anton Polyester","Color #5533","Lipstick","#D80C00","red3"
"Robison-Anton Polyester","Color #5534","Glow","#FFFC70","khaki1"
"Robison-Anton Polyester","Color #5535","Canary","#FFFF40","yellow"
"Robison-Anton Polyester","Color #5536","Paprika","#E00000","red2"
"Robison-Anton Polyester","Color #5537","Carnation","#FF78B8","hotpink1"
"Robison-Anton Polyester","Color #5538","Mint","#B8FFE0","paleturquoise1"
"Robison-Anton Polyester","Color #5539","Sky Blue","#98E8FF","cadetblue1"
"Robison-Anton Polyester","Color #5540","Kelly","#30BC38","limegreen"
"Robison-Anton Polyester","Color #5541","Palm Leaf","#D0D4A8","lemonchiffon3"
"Robison-Anton Polyester","Color #5542","Goldenrod","#FFF028","goldenrod1"
"Robison-Anton Polyester","Color #5543","Light Pink","#FFF4F8","lavenderblush"
"Robison-Anton Polyester","Color #5544","Rose Cerise","#FF9CD0","pink1"
"Robison-Anton Polyester","Color #5545","Copen","#0050A0","dodgerblue4"
"Robison-Anton Polyester","Color #5546","Shrimp","#FFA8A8","lightpink1"
"Robison-Anton Polyester","Color #5547","Honey","#D08C58","lightsalmon3"
"Robison-Anton Polyester","Color #5549","Burgundy","#800000","darkred"
"Robison-Anton Polyester","Color #5550","Pistachio","#A0A050","khaki4"
"Robison-Anton Polyester","Color #5551","Brown","#502700","orangered4"
"Robison-Anton Polyester","Color #5552","Russet","#680030","deeppink4"
"Robison-Anton Polyester","Color #5553","Flesh Pink","#FFCCD0","pink"
"Robison-Anton Polyester","Color #5554","Purple","#603060","gray37"
"Robison-Anton Polyester","Color #5556","Tawny","#FFBCA0","burlywood1"
"Robison-Anton Polyester","Color #5558","Flamingo","#FFBCB0","rosybrown1"
"Robison-Anton Polyester","Color #5559","Wild Pink","#FF80C0","palevioletred1"
"Robison-Anton Polyester","Color #5560","HOt Pink","#C83878","violetred3"
"Robison-Anton Polyester","Color #5561","Ruby Glint","#B01448","maroon"
"Robison-Anton Polyester","Color #5563","Foxy Red","#E80000","red2"
"Robison-Anton Polyester","Color #5564","Maize","#F8E888","khaki"
"Robison-Anton Polyester","Color #5565","Charcoal","#404040","gray25"
"Robison-Anton Polyester","Color #5566","Radiant Red","#C00000","red3"
"Robison-Anton Polyester","Color #5567","Wild Fire","#C01018","firebrick"
"Robison-Anton Polyester","Color #5568","Carolina Red","#780000","darkred"
"Robison-Anton Polyester","Color #5569","Sun Blue","#B8E8FF","lightblue1"
"Robison-Anton Polyester","Color #5570","Cranberry","#780C10","firebrick4"
"Robison-Anton Polyester","Color #5572","Grape","#E8C8C8","mistyrose2"
"Robison-Anton Polyester","Color #5573","Tan","#E8D090","burlywood2"
"Robison-Anton Polyester","Color #5574","Steel Gray","#A09CA8","gray63"
"Robison-Anton Polyester","Color #5575","Slate Blue","#007098","deepskyblue4"
"Robison-Anton Polyester","Color #5578","Moss","#68C0A8","aquamarine3"
"Robison-Anton Polyester","Color #5579","Spruce","#509040","palegreen4"
"Robison-Anton Polyester","Color #5580","Saphire","#004C98","dodgerblue4"
"Robison-Anton Polyester","Color #5581","Jockey Red","#D80C00","red3"
"Robison-Anton Polyester","Color #5583","Paris Blue","#E8ECFF","lavender"
"Robison-Anton Polyester","Color #5584","Deep Green","#287040","darkslategray"
"Robison-Anton Polyester","Color #5585","Violet","#FFCCE8","thistle2"
"Robison-Anton Polyester","Color #5586","Tulip","#C078FF","mediumpurple1"
"Robison-Anton Polyester","Color #5587","Mauve","#484488","darkslateblue"
"Robison-Anton Polyester","Color #5588","Iris","#5800A8","purple4"
"Robison-Anton Polyester","Color #5589","Rust","#D06820","chocolate"
"Robison-Anton Polyester","Color #5590","Date","#683400","orangered4"
"Robison-Anton Polyester","Color #5591","Passion","#A80050","deeppink4"
"Robison-Anton Polyester","Color #5592","Plum","#880C88","darkmagenta"
"Robison-Anton Polyester","Color #5594","Melon","#FF8488","lightcoral"
"Robison-Anton Polyester","Color #5595","Copper","#987420","goldenrod4"
"Robison-Anton Polyester","Color #5596","Black","#000000","black"
"Robison-Anton Polyester","Color #5597","Snow White","#F8F8F8","gray97"
"Robison-Anton Polyester","Color #5598","Taupe","#E8D488","lightgoldenrod2"
"Robison-Anton Polyester","Color #5599","Salmon","#D0A8A8","bisque3"
"Robison-Anton Polyester","Color #5600","Ice Blue","#D0E8FF","lightsteelblue1"
"Robison-Anton Polyester","Color #5601","Oriental Blue","#0058B0","deepskyblue4"
"Robison-Anton Polyester","Color #5602","Imperial Blue","#000080","navy"
"Robison-Anton Polyester","Color #5603","Light Navy","#000028","black"
"Robison-Anton Polyester","Color #5604","Lake Blue","#88C4F8","lightskyblue"
"Robison-Anton Polyester","Color #5607","Marine Aqua","#009498","cyan4"
"Robison-Anton Polyester","Color #5608","Misty","#60A4D8","skyblue3"
"Robison-Anton Polyester","Color #5609","Teal","#008C90","cyan4"
"Robison-Anton Polyester","Color #5610","Mint Julep","#98FFC8","aquamarine"
"Robison-Anton Polyester","Color #5611","Seafoam","#90D090","darkseagreen"
"Robison-Anton Polyester","Color #5612","Isle Green","#008040","springgreen4"
"Robison-Anton Polyester","Color #5613","Sprite","#D0FFE8","lightcyan2"
"Robison-Anton Polyester","Color #5614","Satin Wine","#908080","mistyrose4"
"Robison-Anton Polyester","Color #5615","Evergreen","#004400","darkgreen"
"Robison-Anton Polyester","Color #5616","Celery","#FFFE96","khaki1"
"Robison-Anton Polyester","Color #5617","Olive Drab","#707838","darkolivegreen4"
"Robison-Anton Polyester","Color #5618","Pale Green","#C8FFF8","paleturquoise1"
"Robison-Anton Polyester","Color #5619","Green Oak","#A8FFA8","palegreen1"
"Robison-Anton Polyester","Color #5620","Erin Green","#00F400","green2"
"Robison-Anton Polyester","Color #5621","Pastoral Green","#90D468","darkolivegreen3"
"Robison-Anton Polyester","Color #5622","Ming","#00A800","green4"
"Robison-Anton Polyester","Color #5623","Holly","#507438","darkolivegreen"
"Robison-Anton Polyester","Color #5625","Lemon","#FFFF68","khaki1"
"Robison-Anton Polyester","Color #5626","Daffodil","#FFFF38","yellow"
"Robison-Anton Polyester","Color #5629","Saffron","#B80000","red3"
"Robison-Anton Polyester","Color #5630","Golden Poppy","#FF6C28","chocolate1"
"Robison-Anton Polyester","Color #5631","Mustard","#D8BC78","lightgoldenrod3"
"Robison-Anton Polyester","Color #5632","Penny","#D0BC50","lightgoldenrod3"
"Robison-Anton Polyester","Color #5633","Ginger","#A09C00","yellow4"
"Robison-Anton Polyester","Color #5634","Terra Cotta","#980000","darkred"
"Robison-Anton Polyester","Color #5635","Ivory","#FFFCF0","floralwhite"
"Robison-Anton Polyester","Color #5636","Amber Beige","#FFD0A0","burlywood1"
"Robison-Anton Polyester","Color #5637","Espresso","#303000","gray19"
"Robison-Anton Polyester","Color #5638","Bamboo","#FFB068","sandybrown"
"Robison-Anton Polyester","Color #5639","Coffee Bean","#502800","orangered4"
"Robison-Anton Polyester","Color #5640","Pearl Grey","#D8DCD8","gray85"
"Robison-Anton Polyester","Color #5641","Ash","#004468","dodgerblue4"
"Robison-Anton Polyester","Color #5642","Natural White","#FFFFFF","white"
"Robison-Anton Polyester","Color #5643","Eggshell","#F5F5F5","gray96"
"Robison-Anton Polyester","Color #5672","Dark Brown","#303000","gray19"
"Robison-Anton Polyester","Color #5675","Dusty Rose","#FFC0E0","pink"
"Robison-Anton Polyester","Color #5676","Maroon","#480028","gray16"
"Robison-Anton Polyester","Color #5677","Bisque","#FFECE8","linen"
"Robison-Anton Polyester","Color #5678","Red","#B81400","red3"
"Robison-Anton Polyester","Color #5681","Dark Purple","#600060","deeppink4"
"Robison-Anton Polyester","Color #5682","Pastal Blue","#C0D4FF","slategray1"
"Robison-Anton Polyester","Color #5683","Cristy Blue","#B0B0FF","lightskyblue1"
"Robison-Anton Polyester","Color #5684","Jay Blue","#001888","blue4"
"Robison-Anton Polyester","Color #5685","Jamie Blue","#003478","midnightblue"
"Robison-Anton Polyester","Color #5686","Light Midnight","#001058","navy"
"Robison-Anton Polyester","Color #5687","Midnight Navy","#000028","black"
"Robison-Anton Polyester","Color #5689","California Blue","#0068D0","dodgerblue3"
"Robison-Anton Polyester","Color #5690","Peppermint","#288858","seagreen"
"Robison-Anton Polyester","Color #5691","Pine Green","#009048","springgreen4"
"Robison-Anton Polyester","Color #5692","Harbor Green","#385830","gray22"
"Robison-Anton Polyester","Color #5693","Sea Mist","#00E0E0","turquoise2"
"Robison-Anton Polyester","Color #5694","Mango","#FFA850","tan1"
"Robison-Anton Polyester","Color #5695","Cornsilk","#FFD020","goldenrod1"
"Robison-Anton Polyester","Color #5696","Brite Yellow","#FFC030","goldenrod1"
"Robison-Anton Polyester","Color #5698","Visor Gold","#FFC880","burlywood2"
"Robison-Anton Polyester","Color #5699","New Gold","#E8D098","navajowhite2"
"Robison-Anton Polyester","Color #5700","Topaz","#E0C080","burlywood"
