"source","id","name","color","r_color"
"Robison-Anton Rayon","Color #2201","Old Gold","#BF910C","darkgoldenrod3"
"Robison-Anton Rayon","Color #2202","Olive","#779182","lightcyan4"
"Robison-Anton Rayon","Color #2203","Gold","#E2BF9B","burlywood2"
"Robison-Anton Rayon","Color #2204","Turquoise","#7FD6DB","darkslategray3"
"Robison-Anton Rayon","Color #2205","Dark Rust","#C13828","brown3"
"Robison-Anton Rayon","Color #2206","Baby Blue","#99BADD","lightblue3"
"Robison-Anton Rayon","Color #2207","Gray","#DDC6C4","lavenderblush3"
"Robison-Anton Rayon","Color #2208","Dark Green","#008751","springgreen4"
"Robison-Anton Rayon","Color #2209","Green","#3A7728","darkolivegreen"
"Robison-Anton Rayon","Color #2210","Royal","#1E1C77","midnightblue"
"Robison-Anton Rayon","Color #2211","Nile","#A0DB8E","darkseagreen3"
"Robison-Anton Rayon","Color #2212","Sun Gold","#E0AA0F","darkgoldenrod2"
"Robison-Anton Rayon","Color #2213","Yellow","#FCA311","orange"
"Robison-Anton Rayon","Color #2214","Emerald","#339E35","limegreen"
"Robison-Anton Rayon","Color #2215","Navy","#14213D","gray13"
"Robison-Anton Rayon","Color #2216","Marigold","#FFCC49","tan1"
"Robison-Anton Rayon","Color #2217","Twilight","#686663","gray40"
"Robison-Anton Rayon","Color #2218","Orange","#F96B07","darkorange2"
"Robison-Anton Rayon","Color #2219","Scarlet","#C41E3A","brown3"
"Robison-Anton Rayon","Color #2220","Blue","#2D338E","royalblue4"
"Robison-Anton Rayon","Color #2221","Willow","#9EAA99","gray62"
"Robison-Anton Rayon","Color #2222","Light Blue","#C9E8DD","lightcyan2"
"Robison-Anton Rayon","Color #2223","Pink","#FCBFC9","pink"
"Robison-Anton Rayon","Color #2224","Beige","#AA753F","peru"
"Robison-Anton Rayon","Color #2225","Wine","#772D35","indianred4"
"Robison-Anton Rayon","Color #2226","Meadow","#568E14","olivedrab"
"Robison-Anton Rayon","Color #2227","Chocolate","#876028","tan4"
"Robison-Anton Rayon","Color #2228","Begonia","#E5566D","indianred2"
"Robison-Anton Rayon","Color #2229","Palmetto","#566314","darkolivegreen"
"Robison-Anton Rayon","Color #2230","Tamarack","#939905","yellow4"
"Robison-Anton Rayon","Color #2231","Toast","#BA7530","sienna3"
"Robison-Anton Rayon","Color #2232","Ecru","#EDD3BC","bisque2"
"Robison-Anton Rayon","Color #2233","Lipstick","#BF0A30","firebrick"
"Robison-Anton Rayon","Color #2234","Glow","#FFD87F","lightgoldenrod2"
"Robison-Anton Rayon","Color #2235","Canary","#FCE016","gold"
"Robison-Anton Rayon","Color #2236","Paprika","#F95602","orangered"
"Robison-Anton Rayon","Color #2237","Carnation","#F2AFC1","pink2"
"Robison-Anton Rayon","Color #2238","Mint","#B5E8BF","darkseagreen2"
"Robison-Anton Rayon","Color #2239","Sky Blue","#9BC4E2","lightsteelblue"
"Robison-Anton Rayon","Color #2240","Kelly","#007A3D","springgreen4"
"Robison-Anton Rayon","Color #2241","Palm Leaf","#BCC1B2","gray74"
"Robison-Anton Rayon","Color #2242","Goldenrod","#FCD116","gold"
"Robison-Anton Rayon","Color #2243","Light Pink","#EFCCCE","mistyrose2"
"Robison-Anton Rayon","Color #2244","Rose Cerise","#FC8C99","palevioletred1"
"Robison-Anton Rayon","Color #2245","Copen","#6D87A8","lightslategray"
"Robison-Anton Rayon","Color #2246","Shrimp","#E5566D","indianred2"
"Robison-Anton Rayon","Color #2247","Honey","#FCBA5E","sandybrown"
"Robison-Anton Rayon","Color #2248","Bashful Pink","#F4476B","indianred2"
"Robison-Anton Rayon","Color #2249","Burgundy","#8C2633","brown4"
"Robison-Anton Rayon","Color #2250","Pistachio","#CCC693","wheat3"
"Robison-Anton Rayon","Color #2251","Brown","#593D2B","gray24"
"Robison-Anton Rayon","Color #2252","Russet","#7A2638","indianred4"
"Robison-Anton Rayon","Color #2253","Flesh Pink","#F9BAAA","rosybrown2"
"Robison-Anton Rayon","Color #2254","Purple","#8E47AD","orchid4"
"Robison-Anton Rayon","Color #2255","Opal Mist","#F7BFBF","rosybrown1"
"Robison-Anton Rayon","Color #2256","Tawny","#F9BF9E","burlywood1"
"Robison-Anton Rayon","Color #2257","Peach","#F9C6AA","peachpuff2"
"Robison-Anton Rayon","Color #2258","Flamingo","#F9A58C","lightsalmon"
"Robison-Anton Rayon","Color #2259","Wild Pink","#CE007C","deeppink3"
"Robison-Anton Rayon","Color #2260","Hot Pink","#D36B9E","palevioletred"
"Robison-Anton Rayon","Color #2261","Ruby Glint","#E22882","maroon3"
"Robison-Anton Rayon","Color #2262","Cherry Blossom","#EA0F6B","deeppink2"
"Robison-Anton Rayon","Color #2263","Foxy Red","#CE1126","firebrick3"
"Robison-Anton Rayon","Color #2264","Maize","#F7E8AA","palegoldenrod"
"Robison-Anton Rayon","Color #2265","Charcoal","#777772","gray46"
"Robison-Anton Rayon","Color #2266","Radiant Red","#C41E3A","brown3"
"Robison-Anton Rayon","Color #2267","Wildfire","#A32638","brown"
"Robison-Anton Rayon","Color #2268","Carolina Red","#8C2633","brown4"
"Robison-Anton Rayon","Color #2269","Sun Blue","#AFBCDB","lightsteelblue"
"Robison-Anton Rayon","Color #2270","Cranberry","#992135","brown"
"Robison-Anton Rayon","Color #2271","Heather","#DDC6C4","lavenderblush3"
"Robison-Anton Rayon","Color #2272","Grape","#D3B7A3","bisque3"
"Robison-Anton Rayon","Color #2273","Tan","#D3A87C","burlywood3"
"Robison-Anton Rayon","Color #2274","Steel Gray","#D8CCD1","gray82"
"Robison-Anton Rayon","Color #2275","Slate Blue","#6D87A8","lightslategray"
"Robison-Anton Rayon","Color #2276","Lavender","#EFC6D3","mistyrose2"
"Robison-Anton Rayon","Color #2277","Persimmon","#F43F4F","brown1"
"Robison-Anton Rayon","Color #2278","Moss","#7AA891","lightcyan4"
"Robison-Anton Rayon","Color #2279","Spruce","#AADD6D","darkolivegreen2"
"Robison-Anton Rayon","Color #2280","Sapphire","#2D338E","royalblue4"
"Robison-Anton Rayon","Color #2281","Jockey Red","#BF0A30","firebrick"
"Robison-Anton Rayon","Color #2282","Flite Green","#C6D6A0","lemonchiffon3"
"Robison-Anton Rayon","Color #2283","Paris Blue","#D1CEDD","gray82"
"Robison-Anton Rayon","Color #2284","Deep Green","#006B3F","springgreen4"
"Robison-Anton Rayon","Color #2285","Violet","#EDC4DD","mistyrose2"
"Robison-Anton Rayon","Color #2286","Tulip","#C9ADD8","thistle3"
"Robison-Anton Rayon","Color #2287","Mauve","#8977BA","mediumpurple3"
"Robison-Anton Rayon","Color #2288","Iris","#AF72C1","orchid3"
"Robison-Anton Rayon","Color #2289","Rust","#BC4F07","darkorange3"
"Robison-Anton Rayon","Color #2290","Date","#9B4F19","sienna"
"Robison-Anton Rayon","Color #2291","Passion","#CE007C","deeppink3"
"Robison-Anton Rayon","Color #2292","Plum","#9E2387","mediumvioletred"
"Robison-Anton Rayon","Color #2293","Rose","#FC9BB2","lightpink2"
"Robison-Anton Rayon","Color #2294","Melon","#F98E6D","salmon1"
"Robison-Anton Rayon","Color #2295","Copper","#AF7505","darkgoldenrod"
"Robison-Anton Rayon","Color #2296","Black","#1C2630","gray15"
"Robison-Anton Rayon","Color #2297","Snow White","#FAFAFF","ghostwhite"
"Robison-Anton Rayon","Color #2298","Taupe","#D1BF91","wheat3"
"Robison-Anton Rayon","Color #2299","Salmon","#EAB2B2","rosybrown2"
"Robison-Anton Rayon","Color #2300","Ice Blue","#B5D1E8","slategray2"
"Robison-Anton Rayon","Color #2301","Oriental Blue","#7F8CBF","lightslategray"
"Robison-Anton Rayon","Color #2302","Imperial Blue","#335687","steelblue4"
"Robison-Anton Rayon","Color #2303","Light Navy","#112151","midnightblue"
"Robison-Anton Rayon","Color #2304","Lake Blue","#AFBCDB","lightsteelblue"
"Robison-Anton Rayon","Color #2305","Blue Frost","#99D6DD","paleturquoise3"
"Robison-Anton Rayon","Color #2306","Periwinkle","#28C4D8","turquoise3"
"Robison-Anton Rayon","Color #2307","Aquamarine","#00ADC6","deepskyblue3"
"Robison-Anton Rayon","Color #2308","Misty","#5E99AA","cadetblue"
"Robison-Anton Rayon","Color #2309","Teal","#609191","paleturquoise4"
"Robison-Anton Rayon","Color #2310","Mint Julep","#93DDDB","cadetblue2"
"Robison-Anton Rayon","Color #2311","Seafoam","#70CE9B","aquamarine3"
"Robison-Anton Rayon","Color #2312","Isle Green","#70CE9B","aquamarine3"
"Robison-Anton Rayon","Color #2313","Sprite","#B2D8D8","lightblue"
"Robison-Anton Rayon","Color #2314","Satin Wine","#B5939B","rosybrown"
"Robison-Anton Rayon","Color #2315","Evergreen","#024930","gray19"
"Robison-Anton Rayon","Color #2316","Celery","#F2EABC","lemonchiffon2"
"Robison-Anton Rayon","Color #2317","Olive Drab","#5E663A","darkolivegreen"
"Robison-Anton Rayon","Color #2318","Pale Green","#C9E8DD","lightcyan2"
"Robison-Anton Rayon","Color #2319","Green Oak","#B5CC8E","darkseagreen3"
"Robison-Anton Rayon","Color #2320","Erin Green","#8CD600","chartreuse2"
"Robison-Anton Rayon","Color #2321","Pastoral Green","#7FBA00","chartreuse3"
"Robison-Anton Rayon","Color #2322","Ming","#7FBA00","chartreuse3"
"Robison-Anton Rayon","Color #2323","Holly","#215B33","darkslategray"
"Robison-Anton Rayon","Color #2324","Chinese Yellow","#F7E8AA","palegoldenrod"
"Robison-Anton Rayon","Color #2325","Lemon","#F4ED47","khaki2"
"Robison-Anton Rayon","Color #2326","Daffodil","#F9E814","yellow2"
"Robison-Anton Rayon","Color #2327","Honeydew","#F99B0C","orange2"
"Robison-Anton Rayon","Color #2328","Pumpkin","#F77F00","darkorange1"
"Robison-Anton Rayon","Color #2329","Saffron","#F93F26","firebrick1"
"Robison-Anton Rayon","Color #2330","Golden Poppy","#FC8744","sienna1"
"Robison-Anton Rayon","Color #2331","Mustard","#E0AA0F","darkgoldenrod2"
"Robison-Anton Rayon","Color #2332","Penny","#F2BF49","tan2"
"Robison-Anton Rayon","Color #2333","Ginger","#A37F14","darkgoldenrod"
"Robison-Anton Rayon","Color #2334","Terra Cotta","#A03033","brown"
"Robison-Anton Rayon","Color #2335","Ivory","#FFF0DC","antiquewhite1"
"Robison-Anton Rayon","Color #2336","Amber Beige","#D8B596","wheat3"
"Robison-Anton Rayon","Color #2337","Espresso","#3F302B","gray19"
"Robison-Anton Rayon","Color #2338","Bamboo","#C18E60","lightsalmon3"
"Robison-Anton Rayon","Color #2339","Coffee Bean","#5B2D28","gray18"
"Robison-Anton Rayon","Color #2340","Pearl Gray","#DBD3D3","lightgray"
"Robison-Anton Rayon","Color #2341","Ash","#3A4972","darkslateblue"
"Robison-Anton Rayon","Color #2342","Natural White","#FFFFEB","ivory"
"Robison-Anton Rayon","Color #2343","Eggshell","#FFFFEB","ivory"
"Robison-Anton Rayon","Color #2372","Dark Brown","#593D2B","gray24"
"Robison-Anton Rayon","Color #2373","Pink Mist","#F9B2B7","lightpink1"
"Robison-Anton Rayon","Color #2374","Emily Pink","#F9AFAD","lightpink1"
"Robison-Anton Rayon","Color #2375","Dusty Rose","#F26877","indianred1"
"Robison-Anton Rayon","Color #2376","Dark Maroon","#4F213A","gray23"
"Robison-Anton Rayon","Color #2377","Bisque","#F2C4AF","peachpuff2"
"Robison-Anton Rayon","Color #2378","Red","#BF0A30","firebrick"
"Robison-Anton Rayon","Color #2379","Orchid","#E5BFC6","lavenderblush3"
"Robison-Anton Rayon","Color #2380","Mulberry","#66116D","darkorchid4"
"Robison-Anton Rayon","Color #2381","Dark Purple","#4C145E","purple4"
"Robison-Anton Rayon","Color #2382","Pastel Blue","#C6D1D6","gray82"
"Robison-Anton Rayon","Color #2383","Cristy Blue","#A5BAE0","lightsteelblue"
"Robison-Anton Rayon","Color #2384","Jay Blue","#5B77CC","steelblue3"
"Robison-Anton Rayon","Color #2385","Jammie Blue","#2D338E","royalblue4"
"Robison-Anton Rayon","Color #2386","Light Midnight","#353F5B","darkslategray"
"Robison-Anton Rayon","Color #2387","Midnight Navy","#14213D","gray13"
"Robison-Anton Rayon","Color #2388","Pacific Blue","#008ED6","deepskyblue3"
"Robison-Anton Rayon","Color #2389","California Blue","#00A0C4","deepskyblue3"
"Robison-Anton Rayon","Color #2390","Peppermint","#35C4AF","lightseagreen"
"Robison-Anton Rayon","Color #2391","Pine Green","#008C82","cyan4"
"Robison-Anton Rayon","Color #2392","Harbor Green","#4F6D5E","gray37"
"Robison-Anton Rayon","Color #2393","Sea Mist","#93DDDB","cadetblue2"
"Robison-Anton Rayon","Color #2394","Mango","#FCA311","orange"
"Robison-Anton Rayon","Color #2395","Cornsilk","#FFCC49","tan1"
"Robison-Anton Rayon","Color #2396","Brite Yellow","#FFCC49","tan1"
"Robison-Anton Rayon","Color #2397","Sunkist","#F74902","orangered"
"Robison-Anton Rayon","Color #2398","Visor Gold","#FCCE87","burlywood1"
"Robison-Anton Rayon","Color #2399","New Gold","#FCCE87","burlywood1"
"Robison-Anton Rayon","Color #2400","Topaz","#BF910C","darkgoldenrod3"
"Robison-Anton Rayon","Color #2401","Ashley Gold","#D18E54","lightsalmon3"
"Robison-Anton Rayon","Color #2402","Sienna","#755426","tan4"
"Robison-Anton Rayon","Color #2403","Oyster","#FFFFF5","ivory"
"Robison-Anton Rayon","Color #2404","Cinder","#CCC1C6","lavenderblush3"
"Robison-Anton Rayon","Color #2405","Dover Gray","#CCC1C6","lavenderblush3"
"Robison-Anton Rayon","Color #2406","Sterling","#A893AD","gray66"
"Robison-Anton Rayon","Color #2407","Metal","#666D70","gray43"
"Robison-Anton Rayon","Color #2408","Star Gold","#FCD856","tan1"
"Robison-Anton Rayon","Color #2409","Yellow Mist","#FCA311","orange"
"Robison-Anton Rayon","Color #2410","Light Kelly","#007A3D","springgreen4"
"Robison-Anton Rayon","Color #2411","D. H. Green","#282D26","gray16"
"Robison-Anton Rayon","Color #2412","Azalea","#F9848E","lightcoral"
"Robison-Anton Rayon","Color #2413","Flesh","#F4CCAA","peachpuff2"
"Robison-Anton Rayon","Color #2414","Coral","#F98972","salmon"
"Robison-Anton Rayon","Color #2415","Floral Pink","#ED72AA","hotpink2"
"Robison-Anton Rayon","Color #2416","Crimson","#D60270","deeppink3"
"Robison-Anton Rayon","Color #2417","Cherry Punch","#AA004F","deeppink4"
"Robison-Anton Rayon","Color #2418","Red Berry","#AF1E2D","firebrick"
"Robison-Anton Rayon","Color #2419","Very Red","#BF0A30","firebrick"
"Robison-Anton Rayon","Color #2420","Tuxedo Red","#D62828","firebrick3"
"Robison-Anton Rayon","Color #2421","Red Jubilee","#75263D","indianred4"
"Robison-Anton Rayon","Color #2422","Ducky Mauve","#8E6877","rosybrown4"
"Robison-Anton Rayon","Color #2423","Pale Orchid","#FCBFC9","pink"
"Robison-Anton Rayon","Color #2424","Cachet","#B58CB2","gray70"
"Robison-Anton Rayon","Color #2425","Laurie Lilac","#8E47AD","orchid4"
"Robison-Anton Rayon","Color #2426","Raspberry","#9B4F96","orchid4"
"Robison-Anton Rayon","Color #2427","Violet Blue","#332875","midnightblue"
"Robison-Anton Rayon","Color #2428","Purple Maze","#35006D","midnightblue"
"Robison-Anton Rayon","Color #2429","Purple Twist","#1E1C77","midnightblue"
"Robison-Anton Rayon","Color #2430","Purple Shadow","#5B027A","purple4"
"Robison-Anton Rayon","Color #2431","Purple Accent","#44235E","gray27"
"Robison-Anton Rayon","Color #2432","Strawberry","#AA004F","deeppink4"
"Robison-Anton Rayon","Color #2433","Ultra Blue","#75B2DD","skyblue3"
