"source","id","name","color","r_color"
"Royal Polyester","Color #BLACK","Midnight Blue","#1F1A1C","gray11"
"Royal Polyester","Color #P001","Snow White","#FFFFFF","white"
"Royal Polyester","Color #P002","Pale Sea Foam","#FAF8DF","cornsilk"
"Royal Polyester","Color #P003","Ecru","#F8F5CC","lemonchiffon"
"Royal Polyester","Color #P004","Mustard","#F8F196","khaki1"
"Royal Polyester","Color #P005","Lemon","#FFF244","lightgoldenrod1"
"Royal Polyester","Color #P006","Pale Yellow","#FBF86B","khaki1"
"Royal Polyester","Color #P007","Mid Gold","#FFE64D","tan1"
"Royal Polyester","Color #P008","Sunburst","#EFD536","goldenrod1"
"Royal Polyester","Color #P009","Yellow","#FFCF3E","goldenrod1"
"Royal Polyester","Color #P010","Tan","#F1E5AB","palegoldenrod"
"Royal Polyester","Color #P011","Golden Cream","#EEBD60","sandybrown"
"Royal Polyester","Color #P012","Gold/Orange","#F29838","tan2"
"Royal Polyester","Color #P013","Nutmeg Medium Light","#F7AB77","lightsalmon"
"Royal Polyester","Color #P014","Orange","#FFA02F","tan1"
"Royal Polyester","Color #P015","Pollen Gold","#C97E23","chocolate3"
"Royal Polyester","Color #P016","Ginger","#C8B859","darkkhaki"
"Royal Polyester","Color #P017","Primrose Yellow","#F2CA59","sandybrown"
"Royal Polyester","Color #P018","Light Orange","#DDAE2C","goldenrod"
"Royal Polyester","Color #P019","Pale Pink","#EAD8E4","lavenderblush2"
"Royal Polyester","Color #P020","Palest Pink","#EBC9DA","mistyrose2"
"Royal Polyester","Color #P021","Memphis Belle","#F2BED5","pink"
"Royal Polyester","Color #P022","Pale Pink","#EFB0CF","pink1"
"Royal Polyester","Color #P023","Salmon Pink","#F3A0BC","pink2"
"Royal Polyester","Color #P024","Cranberry Medium","#D75A7A","hotpink3"
"Royal Polyester","Color #P025","Pink","#E63C6B","violetred2"
"Royal Polyester","Color #P025","Pink","#E63C6C","violetred2"
"Royal Polyester","Color #P026","Med. Rose","#E42862","violetred3"
"Royal Polyester","Color #P026","Med. Rose","#E42863","violetred3"
"Royal Polyester","Color #P027","Hot Pink","#D16B9D","palevioletred"
"Royal Polyester","Color #P028","Pink Rapture","#CC3F74","violetred3"
"Royal Polyester","Color #P029","Light Orange/Red","#E6DBDF","gray87"
"Royal Polyester","Color #P030","Peach Skin","#EFBDB4","rosybrown2"
"Royal Polyester","Color #P031","Light Pink","#EBBED3","thistle"
"Royal Polyester","Color #P032","Sea Pink","#E7989E","lightpink2"
"Royal Polyester","Color #P033","Carmine Rose Medium Light","#EF939E","palevioletred2"
"Royal Polyester","Color #P034","Hot Red","#CF6277","palevioletred3"
"Royal Polyester","Color #P035","Med Plum","#C76B76","palevioletred3"
"Royal Polyester","Color #P035","Med Plum","#C76B77","palevioletred3"
"Royal Polyester","Color #P036","Orange","#C04D4A","coral3"
"Royal Polyester","Color #P037","Demure","#ECCAC1","bisque2"
"Royal Polyester","Color #P038","Light Pink","#E7CDD0","mistyrose2"
"Royal Polyester","Color #P039","Soft Coral","#F1B3A4","rosybrown2"
"Royal Polyester","Color #P040","Blossom","#F4B39F","rosybrown2"
"Royal Polyester","Color #P041","Medium Orange","#E47A60","salmon2"
"Royal Polyester","Color #P042","Gold","#EB874B","tan2"
"Royal Polyester","Color #P043","Gold","#EA8046","sienna2"
"Royal Polyester","Color #P044","Gold","#EF844E","coral"
"Royal Polyester","Color #P045","Light Bronze","#DF4A32","tomato3"
"Royal Polyester","Color #P046","Orange","#DE4E34","tomato3"
"Royal Polyester","Color #P047","Foxy Red","#D21823","firebrick3"
"Royal Polyester","Color #P048","Rococco Red","#C44234","brown3"
"Royal Polyester","Color #P049","Scarlet Red","#D21A1A","firebrick3"
"Royal Polyester","Color #P049","Scarlet Red","#D21A1B","firebrick3"
"Royal Polyester","Color #P050","Geranium","#B8434B","maroon"
"Royal Polyester","Color #P051","Confetti","#EB7D7E","lightcoral"
"Royal Polyester","Color #P052","Dark Punch","#CD383A","brown3"
"Royal Polyester","Color #P053","Dusky Rose","#B43B40","brown3"
"Royal Polyester","Color #P054","Red Berry","#A6272E","brown"
"Royal Polyester","Color #P055","White","#E6F4FF","aliceblue"
"Royal Polyester","Color #P056","Ice Blue","#BDD8F3","lightsteelblue2"
"Royal Polyester","Color #P057","Medium Blue","#A9CAFF","lightskyblue1"
"Royal Polyester","Color #P058","Medium Blue","#7A9FE6","cornflowerblue"
"Royal Polyester","Color #P059","River Mist","#69BEF5","steelblue1"
"Royal Polyester","Color #P060","Pastal Blue","#C8D1F8","lightsteelblue2"
"Royal Polyester","Color #P061","Medium Blue","#6D8FE8","cornflowerblue"
"Royal Polyester","Color #P062","Medium Blue","#8BB0F7","lightskyblue"
"Royal Polyester","Color #P063","Bright Blue","#698EE6","cornflowerblue"
"Royal Polyester","Color #P064","Royal Blue","#193AAD","royalblue4"
"Royal Polyester","Color #P065","Smurf Blue","#1A51C6","dodgerblue3"
"Royal Polyester","Color #P066","Dark Blue","#1F3491","royalblue4"
"Royal Polyester","Color #P067","Violet","#5F6FAA","lightskyblue4"
"Royal Polyester","Color #P068","Denim","#202C5C","midnightblue"
"Royal Polyester","Color #P069","Imperial Blue","#111869","midnightblue"
"Royal Polyester","Color #P070","Darkest Navy Blue","#1F253D","gray14"
"Royal Polyester","Color #P071","Peacock","#2F585A","darkslategray"
"Royal Polyester","Color #P072","Deep Windsor","#1F414B","darkslategray"
"Royal Polyester","Color #P073","Lilac","#EAC9F8","thistle2"
"Royal Polyester","Color #P074","Lt. Purple","#CE7BD7","orchid"
"Royal Polyester","Color #P075","Hyacinth","#E0A0EA","plum"
"Royal Polyester","Color #P076","Purple","#C96BCB","orchid3"
"Royal Polyester","Color #P077","Mulberry","#984AC2","darkorchid"
"Royal Polyester","Color #P078","Iris","#AC6DB2","orchid3"
"Royal Polyester","Color #P078","Iris","#AC6DB3","orchid3"
"Royal Polyester","Color #P079","Royal Purple","#4A0768","purple4"
"Royal Polyester","Color #P080","Purple Maze","#420D79","purple4"
"Royal Polyester","Color #P081","Amethyst","#9041C0","darkorchid"
"Royal Polyester","Color #P082","Dark Purple","#661E9B","darkorchid4"
"Royal Polyester","Color #P083","Regal Purple","#491091","purple4"
"Royal Polyester","Color #P084","Purple Maze","#330C77","midnightblue"
"Royal Polyester","Color #P085","Violet","#7A81D2","mediumpurple3"
"Royal Polyester","Color #P086","Purple Maze","#3B1E72","midnightblue"
"Royal Polyester","Color #P087","Med. Purple","#575197","mediumpurple4"
"Royal Polyester","Color #P088","Purple Twist","#662384","darkorchid4"
"Royal Polyester","Color #P089","Bright Plum","#5D416A","mediumpurple4"
"Royal Polyester","Color #P090","Dark Navy","#30285B","gray19"
"Royal Polyester","Color #P091","Fluorescent Yellow","#D0F526","olivedrab1"
"Royal Polyester","Color #P092","Sky Blue","#C0F2E7","lightblue1"
"Royal Polyester","Color #P093","Aqua","#9AE3EA","cadetblue2"
"Royal Polyester","Color #P094","Sun Blue","#C0EDFF","lightblue1"
"Royal Polyester","Color #P095","Medium Blue","#5AAAE9","steelblue2"
"Royal Polyester","Color #P096","Sapphire","#328ED9","steelblue3"
"Royal Polyester","Color #P097","Dark Blue","#1A6FCA","dodgerblue3"
"Royal Polyester","Color #P098","Rolled Steel","#173A3E","gray23"
"Royal Polyester","Color #P099","Sky Blue","#93E2FF","cadetblue1"
"Royal Polyester","Color #P100","Electric Bleu Light","#7BD9FD","skyblue1"
"Royal Polyester","Color #P101","Dark Turquoise Blue","#1CA7BC","lightseagreen"
"Royal Polyester","Color #P102","Dark Turquoise Blue","#00789A","turquoise4"
"Royal Polyester","Color #P103","Turquoise","#43B9AB","lightseagreen"
"Royal Polyester","Color #P104","Bright Mint","#A8EBCA","darkseagreen2"
"Royal Polyester","Color #P105","Aquamarine","#4FBFAF","aquamarine3"
"Royal Polyester","Color #P106","Teal Green Dark","#0D776D","deepskyblue4"
"Royal Polyester","Color #P107","Green Forest","#186F5C","seagreen"
"Royal Polyester","Color #P108","Surf Bleu Medium","#1E8687","turquoise4"
"Royal Polyester","Color #P109","Loden Green Very Light","#E1F8CC","lightyellow2"
"Royal Polyester","Color #P110","Mint","#B1E9CC","darkseagreen2"
"Royal Polyester","Color #P111","Light Jade","#91D983","lightgreen"
"Royal Polyester","Color #P112","Seafoam","#89CE8D","darkseagreen"
"Royal Polyester","Color #P113","Spring Bouquet","#82CA88","palegreen3"
"Royal Polyester","Color #P114","Green Gables","#65BD66","darkseagreen4"
"Royal Polyester","Color #P115","Jade","#247B44","seagreen"
"Royal Polyester","Color #P116","Bangkok Green","#21844E","seagreen"
"Royal Polyester","Color #P117","Evergreen","#164D3A","darkslategray"
"Royal Polyester","Color #P118","Green","#46AB7F","mediumseagreen"
"Royal Polyester","Color #P119","Pale Yellow","#D8F483","khaki2"
"Royal Polyester","Color #P120","Fluo Yellow/ Green","#CCF14C","olivedrab1"
"Royal Polyester","Color #P121","Med Olive Green","#8ABB2C","olivedrab3"
"Royal Polyester","Color #P122","Ginger","#C9BF5E","lightgoldenrod3"
"Royal Polyester","Color #P123","Green/Yellow","#5AA02E","olivedrab"
"Royal Polyester","Color #P124","Limedrop","#69BD5D","darkseagreen4"
"Royal Polyester","Color #P125","Pear","#5CA83B","darkolivegreen4"
"Royal Polyester","Color #P126","Medium Green","#3E7E34","darkolivegreen"
"Royal Polyester","Color #P127","Wheat","#E6CDA5","navajowhite2"
"Royal Polyester","Color #P129","Cream Tan","#E9C9B0","peachpuff2"
"Royal Polyester","Color #P130","Roebuck","#B69079","rosybrown"
"Royal Polyester","Color #P131","Peach","#EDBB88","burlywood"
"Royal Polyester","Color #P132","Sheepskin","#E1B988","burlywood"
"Royal Polyester","Color #P133","Pale Green/Yellow","#A4997D","gray60"
"Royal Polyester","Color #P134","Raw Umber","#947556","burlywood4"
"Royal Polyester","Color #P135","Taupe","#9D917B","lightyellow4"
"Royal Polyester","Color #P136","Almondine","#AD9277","rosybrown"
"Royal Polyester","Color #P137","Sand Stone Medium","#E1936F","lightsalmon2"
"Royal Polyester","Color #P138","Sunkissed","#DA955E","lightsalmon3"
"Royal Polyester","Color #P139","Dark Red Orange","#7F5432","tan4"
"Royal Polyester","Color #P140","Brown","#AA6548","coral3"
"Royal Polyester","Color #P141","Pale Brown","#987648","lightgoldenrod4"
"Royal Polyester","Color #P142","Sienna","#9E8463","wheat4"
"Royal Polyester","Color #P143","Brown","#9B704E","burlywood4"
"Royal Polyester","Color #P144","Medium Orange/Brown","#8E6635","tan4"
"Royal Polyester","Color #P145","Burnished Lilac","#C4AAAC","gray67"
"Royal Polyester","Color #P145","Burnished Lilac","#C4AAAD","gray68"
"Royal Polyester","Color #P146","Medium Pink","#DEADB2","rosybrown2"
"Royal Polyester","Color #P146","Medium Pink","#DEADB3","rosybrown2"
"Royal Polyester","Color #P147","Regal Orchid","#B87EA6","rosybrown"
"Royal Polyester","Color #P147","Regal Orchid","#B87EA7","rosybrown"
"Royal Polyester","Color #P148","Dark Pink","#B65D7B","hotpink3"
