"source","id","name","color","r_color"
"Royal Viscose Rayon","Color #C001","Palest Ivory","#E9E2D7","seashell2"
"Royal Viscose Rayon","Color #C003","Cocoa Mulch","#EAE2B7","bisque2"
"Royal Viscose Rayon","Color #C004","Light Yellow/Orange","#E4DCAA","wheat2"
"Royal Viscose Rayon","Color #C005","Wheat","#EBE597","khaki"
"Royal Viscose Rayon","Color #C006","Pale Yellow","#F5E487","khaki2"
"Royal Viscose Rayon","Color #C007","Canary Yellow","#E3DB74","lightgoldenrod2"
"Royal Viscose Rayon","Color #C008","Yellow","#E8DE20","goldenrod2"
"Royal Viscose Rayon","Color #C009","Yellow Gold","#F3CE69","lightgoldenrod2"
"Royal Viscose Rayon","Color #C010","Snapdragon","#FBE070","lightgoldenrod"
"Royal Viscose Rayon","Color #C011","Penny","#F1BF4A","tan2"
"Royal Viscose Rayon","Color #C012","Gold Goblet","#F3D03E","goldenrod1"
"Royal Viscose Rayon","Color #C013","Gold Goblet","#F3D03E","goldenrod1"
"Royal Viscose Rayon","Color #C015","Wheat","#EADF97","khaki"
"Royal Viscose Rayon","Color #C016","Flesh","#F6CCAA","peachpuff2"
"Royal Viscose Rayon","Color #C017","Cocoon","#CDC47E","khaki3"
"Royal Viscose Rayon","Color #C018","Yellow Poppy","#F0B32F","goldenrod2"
"Royal Viscose Rayon","Color #C020","Ashley Gold","#D08F55","lightsalmon3"
"Royal Viscose Rayon","Color #C021","Pale Orange","#E8C0BB","rosybrown2"
"Royal Viscose Rayon","Color #C024","Tan","#D3A87D","burlywood3"
"Royal Viscose Rayon","Color #C025","Bamboo","#EAAA7B","darksalmon"
"Royal Viscose Rayon","Color #C026","Pale Gold","#EDA050","tan2"
"Royal Viscose Rayon","Color #C027","Golden Poppy","#F28411","chocolate2"
"Royal Viscose Rayon","Color #C029","Golden Poppy","#E87513","chocolate2"
"Royal Viscose Rayon","Color #C030","Golden Poppy","#E87513","chocolate2"
"Royal Viscose Rayon","Color #C031","Golden Poppy","#E87513","chocolate2"
"Royal Viscose Rayon","Color #C032","Orange","#DE4F04","orangered2"
"Royal Viscose Rayon","Color #C033","Orange","#DE4F04","orangered2"
"Royal Viscose Rayon","Color #C037","Orange/Red","#D81E04","orangered3"
"Royal Viscose Rayon","Color #C038","Honeysuckle","#E23E28","brown2"
"Royal Viscose Rayon","Color #C040","Tropical Orange","#D24514","orangered3"
"Royal Viscose Rayon","Color #C041","Palest Peach","#ECCFC7","mistyrose2"
"Royal Viscose Rayon","Color #C042","Lotus","#E3BDB7","rosybrown2"
"Royal Viscose Rayon","Color #C044","Pink Mist","#F2C7C4","rosybrown1"
"Royal Viscose Rayon","Color #C046","Pink Mist","#F2C7C4","rosybrown1"
"Royal Viscose Rayon","Color #C048","Orchid Pink","#F1B9C0","lightpink"
"Royal Viscose Rayon","Color #C049","Pale Pink","#F1ADB2","rosybrown2"
"Royal Viscose Rayon","Color #C050","Rose Tint","#DA8A9B","lightpink3"
"Royal Viscose Rayon","Color #C051","Light Orange","#E88890","lightcoral"
"Royal Viscose Rayon","Color #C052","Dusty Rose","#F16877","indianred2"
"Royal Viscose Rayon","Color #C053","Medium Red/Orange","#E14351","indianred3"
"Royal Viscose Rayon","Color #C054","Medium Red/Orange","#E14351","indianred3"
"Royal Viscose Rayon","Color #C056","Medium Red/Orange","#E14351","indianred3"
"Royal Viscose Rayon","Color #C058","Perfect Ruby","#902444","violetred4"
"Royal Viscose Rayon","Color #C060","Tan","#6C3120","tomato4"
"Royal Viscose Rayon","Color #C061","Pale Peach","#E5C6AB","peachpuff2"
"Royal Viscose Rayon","Color #C062","Grape","#D3B7A2","bisque3"
"Royal Viscose Rayon","Color #C063","Amber Beige","#D8B496","tan"
"Royal Viscose Rayon","Color #C064","Tan","#D3A87D","burlywood3"
"Royal Viscose Rayon","Color #C065","Tan","#D3A87D","burlywood3"
"Royal Viscose Rayon","Color #C066","Opaline","#F5C5A0","navajowhite2"
"Royal Viscose Rayon","Color #C067","Toast","#BB7531","sienna3"
"Royal Viscose Rayon","Color #C068","Toast","#BB7531","sienna3"
"Royal Viscose Rayon","Color #C069","Wicker","#AB7540","peru"
"Royal Viscose Rayon","Color #C070","Wicker","#AB7540","peru"
"Royal Viscose Rayon","Color #C071","Wicker","#AB7540","peru"
"Royal Viscose Rayon","Color #C072","Chocolate","#866028","tan4"
"Royal Viscose Rayon","Color #C073","Chocolate","#74400A","chocolate4"
"Royal Viscose Rayon","Color #C075","Bark","#853513","chocolate4"
"Royal Viscose Rayon","Color #C076","Burgundy","#7E2D24","brown4"
"Royal Viscose Rayon","Color #C077","Burgundy","#7E2D24","brown4"
"Royal Viscose Rayon","Color #C078","Dark Oak","#482312","gray14"
"Royal Viscose Rayon","Color #C079","Dark Oak","#482312","gray14"
"Royal Viscose Rayon","Color #C080","Dark Brown","#522A25","gray16"
"Royal Viscose Rayon","Color #C081","Skylight","#CBC2C8","lavenderblush3"
"Royal Viscose Rayon","Color #C084","Lavandula","#C6A4C1","plum3"
