"source","id","name","color","r_color"
"Sulky Rayon","Color #502","Cornsilk","#EFC810","gold2"
"Sulky Rayon","Color #505","Deep Arctic Sky","#0C082D","gray5"
"Sulky Rayon","Color #523","Autumn Gold","#E79002","orange2"
"Sulky Rayon","Color #525","English Green","#34481E","gray20"
"Sulky Rayon","Color #526","Cobalt Blue","#113675","midnightblue"
"Sulky Rayon","Color #538","Forest Green","#111408","gray7"
"Sulky Rayon","Color #561","Lipstick","#E10000","red2"
"Sulky Rayon","Color #562","Spice","#FFB435","goldenrod1"
"Sulky Rayon","Color #567","Butterfly Gold","#F3A001","orange2"
"Sulky Rayon","Color #568","Cinnamon","#E66D00","darkorange2"
"Sulky Rayon","Color #569","Garden Green","#165F28","forestgreen"
"Sulky Rayon","Color #571","Deep Aqua","#088E6C","cyan4"
"Sulky Rayon","Color #572","Blue Ribbon","#100A7C","navy"
"Sulky Rayon","Color #580","Mint Julep","#35693D","darkolivegreen"
"Sulky Rayon","Color #619","Dusty Peach","#E9BD96","burlywood2"
"Sulky Rayon","Color #621","Sunset","#CD3900","orangered3"
"Sulky Rayon","Color #630","Moss Green","#777113","goldenrod4"
"Sulky Rayon","Color #640","Med. Aqua","#1C6F51","seagreen"
"Sulky Rayon","Color #643","Arctic Sky","#262345","gray15"
"Sulky Rayon","Color #1001","Bright White","#F9F9FF","ghostwhite"
"Sulky Rayon","Color #1002","Soft White","#F9F9F4","gray97"
"Sulky Rayon","Color #1005","Black","#260605","gray2"
"Sulky Rayon","Color #1011","Steel Gray","#B7A9AC","gray67"
"Sulky Rayon","Color #1015","Med. Peach","#E1AF9A","peachpuff3"
"Sulky Rayon","Color #1016","Pastel Coral","#EC968C","darksalmon"
"Sulky Rayon","Color #1017","Pastel Peach","#EFDFBD","lemonchiffon2"
"Sulky Rayon","Color #1019","Peach","#ECA082","darksalmon"
"Sulky Rayon","Color #1020","Dark Peach","#F08278","lightcoral"
"Sulky Rayon","Color #1021","Maple","#EB6602","darkorange2"
"Sulky Rayon","Color #1022","Cream","#FFF7D5","cornsilk"
"Sulky Rayon","Color #1023","Yellow","#FFE669","lightgoldenrod1"
"Sulky Rayon","Color #1024","Goldenrod","#FFB800","darkgoldenrod1"
"Sulky Rayon","Color #1025","Mine Gold","#D78000","orange3"
"Sulky Rayon","Color #1028","Baby Blue","#BEC3E1","lightsteelblue"
"Sulky Rayon","Color #1029","Med. Blue","#A0C3EB","lightskyblue2"
"Sulky Rayon","Color #1030","Periwinkle","#A6A2C6","lightsteelblue3"
"Sulky Rayon","Color #1031","Med. Orchid","#DFBEC8","lavenderblush3"
"Sulky Rayon","Color #1032","Med. Purple","#E68CEB","violet"
"Sulky Rayon","Color #1033","Dk. Orchid","#D86496","palevioletred"
"Sulky Rayon","Color #1034","Burgundy","#C6323C","brown3"
"Sulky Rayon","Color #1035","Dk. Burgundy","#790000","darkred"
"Sulky Rayon","Color #1037","Lt. Red","#F90000","red"
"Sulky Rayon","Color #1039","True Red","#EB0001","red2"
"Sulky Rayon","Color #1040","Med. Dk. Khaki","#877375","gray46"
"Sulky Rayon","Color #1041","Med. Dk. Gray","#8C7F83","lavenderblush4"
"Sulky Rayon","Color #1042","Bright Navy Blue","#321E50","gray20"
"Sulky Rayon","Color #1043","Dk. Navy","#190525","gray10"
"Sulky Rayon","Color #1044","Midnight Blue","#1D062F","gray11"
"Sulky Rayon","Color #1045","Lt. Teal","#C3EFBF","darkseagreen1"
"Sulky Rayon","Color #1046","Teal","#2E8359","seagreen"
"Sulky Rayon","Color #1047","Mint Green","#A6C284","darkseagreen"
"Sulky Rayon","Color #1049","Grass Green","#42A021","forestgreen"
"Sulky Rayon","Color #1051","Christmas Green","#1E6419","forestgreen"
"Sulky Rayon","Color #1054","Med. Dk. Ecru","#EEBEAE","peachpuff2"
"Sulky Rayon","Color #1055","Tawny Tan","#EBBC80","burlywood"
"Sulky Rayon","Color #1056","Med. Tawny Tan","#AF5B00","orange4"
"Sulky Rayon","Color #1058","Tawny Brown","#7A0000","darkred"
"Sulky Rayon","Color #1059","Dk. Tawny Brown","#530601","darkred"
"Sulky Rayon","Color #1061","Pale Yellow","#FFF7B9","wheat1"
"Sulky Rayon","Color #1063","Pale Yellow-Green","#F0F8EC","honeydew"
"Sulky Rayon","Color #1064","Pale Peach","#E6B4AA","rosybrown2"
"Sulky Rayon","Color #1065","Orange Yellow","#FF9100","darkorange"
"Sulky Rayon","Color #1066","Primrose","#FFF180","lightgoldenrod1"
"Sulky Rayon","Color #1067","Lemon Yellow","#FFFF85","khaki1"
"Sulky Rayon","Color #1068","Pink Tint","#F3DBD9","mistyrose2"
"Sulky Rayon","Color #1070","Gold","#F6CE69","lightgoldenrod2"
"Sulky Rayon","Color #1071","Off White","#F9F9EA","oldlace"
"Sulky Rayon","Color #1074","Pale Powder Blue","#D6D5E8","gray84"
"Sulky Rayon","Color #1076","Royal Blue","#5A5A8B","mediumpurple4"
"Sulky Rayon","Color #1077","Jade Tint","#BECDC8","azure3"
"Sulky Rayon","Color #1078","Tangerine","#FF6600","darkorange1"
"Sulky Rayon","Color #1079","Emerald Green","#175523","gray14"
"Sulky Rayon","Color #1080","Orchid","#DC82A0","palevioletred2"
"Sulky Rayon","Color #1081","Brick","#F06E78","lightcoral"
"Sulky Rayon","Color #1082","Ecru","#F7E3BB","wheat1"
"Sulky Rayon","Color #1083","Spark Gold","#FFC100","gold"
"Sulky Rayon","Color #1085","Silver","#E2CFC7","gray81"
"Sulky Rayon","Color #1086","Pale Sea Foam","#F9F9E0","cornsilk"
"Sulky Rayon","Color #1090","Deep Peacock","#16625F","darkslategray"
"Sulky Rayon","Color #1094","Med. Turquoise","#26BFCA","turquoise3"
"Sulky Rayon","Color #1095","Turquoise","#10D1BD","cyan3"
"Sulky Rayon","Color #1096","Dk. Turquoise","#0F6978","deepskyblue4"
"Sulky Rayon","Color #1100","Lt. Grass Green","#C2D37D","khaki3"
"Sulky Rayon","Color #1101","True Green","#098531","springgreen4"
"Sulky Rayon","Color #1103","Dk. Khaki","#02140F","gray6"
"Sulky Rayon","Color #1104","Pastel Yellow-Green","#A5AF68","darkkhaki"
"Sulky Rayon","Color #1108","Lt. Mauve","#FAA4A4","lightpink2"
