"source","id","name","color","r_color"
"Swist","Color #1618B","Blanc De Blanc","#EDEBE3","ivory2"
"Swist","Color #1618C","White Sand","#E0D6CC","gray84"
"Swist","Color #1620","Vapor","#E0DBD4","gray86"
"Swist","Color #1621","Bungee Cord","#706B5E","gray42"
"Swist","Color #1623","Pale Lilac","#E6CCC9","mistyrose2"
"Swist","Color #1625","Sweet Lilac","#EDBACC","pink"
"Swist","Color #1626","Prism Pink","#FAABBA","lightpink1"
"Swist","Color #1637","Aurora Pink","#ED8CA6","palevioletred2"
"Swist","Color #1642","Phlox Pink","#DB6B9E","palevioletred"
"Swist","Color #1645","Pink Flambe","#CC4F6E","indianred"
"Swist","Color #1648","Peony","#F5A3A6","lightpink2"
"Swist","Color #1650","Peach Bloosom","#E88782","lightcoral"
"Swist","Color #1652","Porcelain Rose","#E06661","indianred2"
"Swist","Color #1654","Spiced Coral","#D65C54","indianred"
"Swist","Color #1655","Claret Red","#C74D59","indianred3"
"Swist","Color #1656","Raspberry Wine","#BD4757","indianred3"
"Swist","Color #1657","Dry Rose","#8F4754","palevioletred4"
"Swist","Color #1661","Peach Blush","#EDD1C2","bisque2"
"Swist","Color #1663","Lotus","#E0C2BA","seashell3"
"Swist","Color #1665","Powder Pink","#EDBAB0","rosybrown2"
"Swist","Color #1667","Creole Pink","#FAD6C4","bisque"
"Swist","Color #1669","Prairie Sunset","#FFC294","burlywood2"
"Swist","Color #1676","Salmon","#FAAD94","burlywood2"
"Swist","Color #1677","Peach Pink","#F7947A","darksalmon"
"Swist","Color #1678","Flamingo","#E8704A","coral2"
"Swist","Color #1681","Mandarin Orange","#EB6E30","chocolate2"
"Swist","Color #1683","Coral Rose","#E6703D","sienna2"
"Swist","Color #1685","Emberglow","#E86B52","coral2"
"Swist","Color #1693","Amber Yellow","#F7BA54","tan1"
"Swist","Color #1700","Maize","#EBD440","goldenrod2"
"Swist","Color #1701","White Asparagus","#E3DBC4","antiquewhite2"
"Swist","Color #1703","Garden Glade","#DED6A6","wheat2"
"Swist","Color #1705","Charlock","#DEE08A","khaki"
"Swist","Color #1706","Sulphur Yellow","#D6C945","khaki3"
"Swist","Color #1708","Mimosa","#F0C44F","tan1"
"Swist","Color #1710","Marigold","#FCAB47","tan1"
"Swist","Color #1712","Radiant Yellow","#FCA117","orange"
"Swist","Color #1715","Pastel Green","#B5D6AD","darkseagreen2"
"Swist","Color #1716","Green Ash","#A6D9A8","darkseagreen3"
"Swist","Color #1720","Brilliant Green","#8FBF87","darkseagreen"
"Swist","Color #1722","Spring Bud","#78D49E","aquamarine3"
"Swist","Color #1723","Spearmint","#61BD99","aquamarine3"
"Swist","Color #1724","Winter Green","#4F997A","aquamarine4"
"Swist","Color #1730","Eggshell Blue","#A1C9C4","paleturquoise3"
"Swist","Color #1732","Waterfall","#52AD9C","cadetblue"
"Swist","Color #1733","Navigate","#008C8C","cyan4"
"Swist","Color #1734","Sea Green","#2B9C87","darkslategray4"
"Swist","Color #1735","Misty Jade","#C4E3CC","azure3"
