"source","id","name","color","r_color"
"Thread Delight Poly","Color #507","Pale Peach","#FFECE0","antiquewhite1"
"Thread Delight Poly","Color #509","Peach","#F8C4B2","peachpuff2"
"Thread Delight Poly","Color #510","Salmon","#F4A990","burlywood2"
"Thread Delight Poly","Color #512","Coral Medium","#DC5B4B","coral3"
"Thread Delight Poly","Color #513","Coral Dark","#C23131","brown3"
"Thread Delight Poly","Color #515","Rose Pink","#FF8E9F","palevioletred1"
"Thread Delight Poly","Color #516","Light Carnation","#F17286","lightcoral"
"Thread Delight Poly","Color #518","Dark Carnation","#EC4068","indianred2"
"Thread Delight Poly","Color #519","Pale Dusty Rose","#F5CFCF","mistyrose2"
"Thread Delight Poly","Color #520","Candy Pink","#F1AEBA","pink2"
"Thread Delight Poly","Color #521","Dusty Rose Light","#E68C9B","lightpink3"
"Thread Delight Poly","Color #522","Dusty Rose","#E2848D","lightcoral"
"Thread Delight Poly","Color #523","Strawberry Light","#DB6D7D","palevioletred"
"Thread Delight Poly","Color #524","Raspberry","#CD5765","indianred"
"Thread Delight Poly","Color #525","Raspberry Dark","#A8444B","maroon"
"Thread Delight Poly","Color #532","Christmas Red BR","#D12627","firebrick3"
"Thread Delight Poly","Color #533","Christmas Red","#B1272A","firebrick"
"Thread Delight Poly","Color #536","Red Fruit","#973E3B","indianred4"
"Thread Delight Poly","Color #537","Garnet Medium","#863932","coral4"
"Thread Delight Poly","Color #538","Deep Wine Red","#713933","indianred4"
"Thread Delight Poly","Color #551","Mauve Light","#EAB6C8","pink1"
"Thread Delight Poly","Color #552","Mauve Medium","#D3889B","lightpink3"
"Thread Delight Poly","Color #553","Raspberry Mauve","#B9657B","palevioletred3"
"Thread Delight Poly","Color #555","Mauve Dark","#7C3D44","indianred4"
"Thread Delight Poly","Color #559","Rosebud Pink","#FCC4D8","pink"
"Thread Delight Poly","Color #560","Cranberry Light","#F8A2BE","pink2"
"Thread Delight Poly","Color #561","Cranberry","#F395B0","lightpink2"
"Thread Delight Poly","Color #562","Cranberry Medium","#D7537E","hotpink3"
"Thread Delight Poly","Color #564","Cranberry Dark","#B43461","maroon"
"Thread Delight Poly","Color #565","Pink Plum Light","#EDB5DB","plum2"
"Thread Delight Poly","Color #566","Pink Plum Medium","#DF92BD","plum3"
"Thread Delight Poly","Color #567","Light Plum","#BF5893","hotpink3"
"Thread Delight Poly","Color #568","Magenta","#AB3770","maroon"
"Thread Delight Poly","Color #570","Plum Dark","#81213E","violetred4"
