"source","id","name","color","r_color"
"Tristar Polyester","Color #0853","Tannin","#A68F6B","lemonchiffon4"
"Tristar Polyester","Color #10021","Neptune Green","#87BFA1","darkseagreen"
"Tristar Polyester","Color #10022","Gumdrop Green","#52AB87","darkslategray4"
"Tristar Polyester","Color #10023","Desert Mist","#E0B382","burlywood"
"Tristar Polyester","Color #10024","Baked Apple","#B04A45","coral3"
"Tristar Polyester","Color #10030","Duck Green","#4F6357","gray34"
"Tristar Polyester","Color #10031","Teak","#615445","gray33"
"Tristar Polyester","Color #10032","Oxblood Red","#754040","indianred4"
"Tristar Polyester","Color #10034","Aloe","#828061","wheat4"
"Tristar Polyester","Color #10040","Pumpkin","#F5A866","sandybrown"
"Tristar Polyester","Color #10041","Maple Sugar","#D1A88C","tan"
"Tristar Polyester","Color #10042","Tan","#BF9E73","darkkhaki"
"Tristar Polyester","Color #10043","Plum Wine","#6B4D52","gray32"
"Tristar Polyester","Color #10044","Prism Pink","#FAABBA","lightpink1"
"Tristar Polyester","Color #10045","Flint Stone","#707885","lightsteelblue4"
"Tristar Polyester","Color #10046","Swedish Blue","#2482AB","steelblue"
"Tristar Polyester","Color #10047","Carmine","#BA425E","maroon"
"Tristar Polyester","Color #10048","Wild Orchid","#DE7899","palevioletred"
"Tristar Polyester","Color #10049","Light Elm Green","#549969","darkseagreen4"
"Tristar Polyester","Color #10050","Dusty Orange","#E38754","salmon2"
"Tristar Polyester","Color #10051","Pale Khaki","#C9B896","wheat3"
"Tristar Polyester","Color #10052","Orchid Pink","#F7BFC2","rosybrown1"
"Tristar Polyester","Color #10053","Green Moss","#878047","lightgoldenrod4"
"Tristar Polyester","Color #10057","Deep Cobalt","#404261","gray26"
"Tristar Polyester","Color #10058","Tigerlily","#E36338","sienna3"
"Tristar Polyester","Color #10081","Beige","#D9BF94","wheat3"
"Tristar Polyester","Color #1185","Dark Shadow","#4F4F4F","gray31"
"Tristar Polyester","Color #1407","Velvet Morning","#5C6180","gray38"
"Tristar Polyester","Color #1451","Cloud Dancer","#F514E8","magenta2"
"Tristar Polyester","Color #1491","Sunset Gold","#F7C966","sandybrown"
"Tristar Polyester","Color #1837","Smoke Pine","#426357","gray34"
"Tristar Polyester","Color #1838","Green Black","#4F4F4A","gray31"
"Tristar Polyester","Color #1839","Powder Blue","#A3B8D1","lightsteelblue3"
"Tristar Polyester","Color #1840","Bluebell","#4570A3","skyblue4"
"Tristar Polyester","Color #1841","Liberty","#594F8C","mediumpurple4"
"Tristar Polyester","Color #1850","Deep Sea Coral","#D65E54","indianred"
"Tristar Polyester","Color #1851","Rococco Red","#C73B3B","brown3"
"Tristar Polyester","Color #1852","Mauvewood","#A3595C","lightpink4"
"Tristar Polyester","Color #1853","Flamingo","#E8704A","coral2"
"Tristar Polyester","Color #1856","Autumn Glaze","#B05C3B","coral3"
"Tristar Polyester","Color #1857","Sunburst","#FAC78A","burlywood2"
"Tristar Polyester","Color #1858","Buttercup","#F5E03B","goldenrod1"
"Tristar Polyester","Color #1859","Citrus","#F5B526","goldenrod2"
"Tristar Polyester","Color #1861","Marine Green","#409E82","aquamarine4"
"Tristar Polyester","Color #1863","Ming Green","#3DA375","mediumseagreen"
"Tristar Polyester","Color #1864","Leprechaun","#388A5E","seagreen"
"Tristar Polyester","Color #1865","Military Olive","#695E42","gray37"
"Tristar Polyester","Color #1868","Azure Blue","#4F8AC2","steelblue3"
"Tristar Polyester","Color #1871","Nine Iron","#524F54","gray32"
"Tristar Polyester","Color #1872","Jacaranda","#878FC2","mediumpurple3"
"Tristar Polyester","Color #1873","Violet Quartz","#8F4D5E","palevioletred4"
"Tristar Polyester","Color #1875","Damson","#804759","palevioletred4"
"Tristar Polyester","Color #1879","Raw Sienna","#B8734D","salmon3"
"Tristar Polyester","Color #1881","Canteen","#66594D","gray35"
"Tristar Polyester","Color #1882","Oxblood Red","#754040","indianred4"
"Tristar Polyester","Color #1883","Mahogany","#8A5447","lightsalmon4"
"Tristar Polyester","Color #1886","Dune","#998F75","lightyellow4"
"Tristar Polyester","Color #1897","New Wheat","#DEB880","burlywood"
"Tristar Polyester","Color #1899","Laurel Wreath","#667366","gray40"
"Tristar Polyester","Color #1977","Ice Flow","#C9D1CF","gray81"
"Tristar Polyester","Color #2001","Pinkish Gray","#EDCFC7","mistyrose2"
"Tristar Polyester","Color #2002","Powder Pink","#EDBAB0","rosybrown2"
"Tristar Polyester","Color #2003","Lilac Sachet","#EDB5C7","pink1"
"Tristar Polyester","Color #2005","Chatea Rose","#D1788C","palevioletred3"
"Tristar Polyester","Color #2006","Tea Rose","#E37373","salmon"
"Tristar Polyester","Color #2007","Chili","#BA573D","coral3"
"Tristar Polyester","Color #2008","Super Lemon","#E3BF38","goldenrod2"
"Tristar Polyester","Color #2009","Marsala","#9E544A","lightsalmon4"
"Tristar Polyester","Color #2012","Lilas","#B58A8F","rosybrown"
"Tristar Polyester","Color #2013","Dusk","#8F8294","gray56"
"Tristar Polyester","Color #2015","Winter Sky","#B0BFC9","lightcyan3"
"Tristar Polyester","Color #2018","Blue Mist","#63A8BF","skyblue3"
"Tristar Polyester","Color #2021","Delft","#3D5C87","steelblue4"
"Tristar Polyester","Color #2022","Cadet Gray","#758A94","lightslategray"
"Tristar Polyester","Color #2023","Castlerock","#636363","gray39"
"Tristar Polyester","Color #2025","Bog","#BDBA8F","wheat3"
"Tristar Polyester","Color #2026","Raspberry","#D9455C","indianred"
"Tristar Polyester","Color #2029","Wax Yellow","#F2EBAD","palegoldenrod"
"Tristar Polyester","Color #2030","Charlock","#DEE08A","khaki"
"Tristar Polyester","Color #2032","Golden Haze","#FAD999","burlywood1"
"Tristar Polyester","Color #2033","Golden Rod","#E0AB1C","goldenrod"
"Tristar Polyester","Color #2035","Nugget","#D18C45","peru"
"Tristar Polyester","Color #2036","Mecca Orange","#C2613D","sienna3"
"Tristar Polyester","Color #2037","Sun Orange","#ED8530","chocolate2"
"Tristar Polyester","Color #2039","Nouget","#BA9E82","rosybrown"
"Tristar Polyester","Color #2041","Biscuit","#B5875C","lightsalmon3"
"Tristar Polyester","Color #2042","Almond","#A3784D","lightgoldenrod4"
"Tristar Polyester","Color #2043","Raw Umber","#96735C","burlywood4"
"Tristar Polyester","Color #2044","Tangerine","#FC8F4F","coral"
"Tristar Polyester","Color #2045","Blue Gray","#ABADA6","gray67"
"Tristar Polyester","Color #2046","Gull Gray","#ABA3A1","gray64"
"Tristar Polyester","Color #2047","Frost Gray","#8A8585","lavenderblush4"
"Tristar Polyester","Color #2048","Eggshell Blue","#A1C9C4","paleturquoise3"
"Tristar Polyester","Color #2049","Beeswax","#EBAD45","tan2"
"Tristar Polyester","Color #2051","Lemon Drop","#F5E07A","lightgoldenrod"
"Tristar Polyester","Color #2052","Tangerine","#FC8F4F","coral"
"Tristar Polyester","Color #2053","Dawn","#F0D4B3","bisque2"
"Tristar Polyester","Color #2054","Mineral Red","#B3544F","indianred3"
"Tristar Polyester","Color #2055","Cashmere Blue","#ADBACF","lightsteelblue3"
"Tristar Polyester","Color #2057","Salmon","#FAAD94","burlywood2"
"Tristar Polyester","Color #2058","Buttercup","#F5E03B","goldenrod1"
"Tristar Polyester","Color #2061","Bluesteel","#456B7A","skyblue4"
"Tristar Polyester","Color #2062","Copper Brown","#9E614D","lightsalmon4"
"Tristar Polyester","Color #2064","Fungi","#8F8273","antiquewhite4"
"Tristar Polyester","Color #2065","Cameo Blue","#7AA1AB","cadetblue"
"Tristar Polyester","Color #2066","Red Earth","#9E473B","salmon4"
"Tristar Polyester","Color #2070","Celadon Green","#B3BF9C","gray70"
"Tristar Polyester","Color #2071","Strawberry Ice","#E38782","lightcoral"
"Tristar Polyester","Color #2072","Blue Moon","#4087A3","steelblue"
"Tristar Polyester","Color #2073","Sandstorm","#BD8C5E","lightsalmon3"
"Tristar Polyester","Color #2074","Carob Brown","#8F634A","lightsalmon4"
"Tristar Polyester","Color #2075","Bottle Green","#3D7A69","aquamarine4"
"Tristar Polyester","Color #2076","Vapor Blue","#C2C2C2","gray76"
"Tristar Polyester","Color #2077","Warm Sand","#C7B08A","navajowhite3"
"Tristar Polyester","Color #2078","Arcadian Green","#9EBF8A","darkseagreen"
"Tristar Polyester","Color #2079","Candy Pink","#F7B5BA","lightpink"
"Tristar Polyester","Color #2080","Warm Taupe","#BA9C82","rosybrown"
"Tristar Polyester","Color #2081","Pearlblush","#F2D1BF","bisque2"
"Tristar Polyester","Color #2082","Charcoal Gray","#736E6B","gray43"
"Tristar Polyester","Color #2083","New Wheat","#DEB880","burlywood"
"Tristar Polyester","Color #2084","Salmon","#FAAD94","burlywood2"
"Tristar Polyester","Color #2085","Dove","#B3ADA6","gray68"
"Tristar Polyester","Color #2086","Lavender Frost","#BFB0BA","gray73"
"Tristar Polyester","Color #2087","Lilac Rose","#C24A70","violetred3"
"Tristar Polyester","Color #2090","Tea Rose","#E37373","salmon"
"Tristar Polyester","Color #2091","Lavandula","#C4A3C7","plum3"
"Tristar Polyester","Color #2092","Marine Blue","#7AADB3","skyblue3"
"Tristar Polyester","Color #2096","Pumice Stone","#CCC2B0","antiquewhite3"
"Tristar Polyester","Color #2100","Sea Pink","#E399A1","rosybrown3"
"Tristar Polyester","Color #2103","Sea Pink","#E399A1","rosybrown3"
"Tristar Polyester","Color #2104","Rosebloom","#E68FA8","lightpink2"
"Tristar Polyester","Color #2105","Corsican Blue","#6E6194","lightsteelblue4"
"Tristar Polyester","Color #2106","Cradle Pink","#F2D4D6","mistyrose2"
"Tristar Polyester","Color #2108","Imperial Palace","#664D75","mediumpurple4"
"Tristar Polyester","Color #2109","Baton Rouge","#A3406B","hotpink4"
"Tristar Polyester","Color #2110","Blush","#CC9494","lightpink3"
"Tristar Polyester","Color #2111","Golden Olive","#AB9C42","peru"
"Tristar Polyester","Color #2113","White Smoke","#EBDBC7","antiquewhite2"
"Tristar Polyester","Color #2114","Light Taupe","#B39E8C","rosybrown"
"Tristar Polyester","Color #2116","Golden Nugget","#DB9E54","tan2"
"Tristar Polyester","Color #2117","Peony","#F5A3A6","lightpink2"
"Tristar Polyester","Color #2118","Purple Impression","#8F91B0","gray57"
"Tristar Polyester","Color #2120","Candied Ginger","#C2AB85","burlywood3"
"Tristar Polyester","Color #2121","Graystone","#524D5C","gray32"
"Tristar Polyester","Color #2123","Terra Cotta","#D1806E","lightsalmon3"
"Tristar Polyester","Color #2124","Absinthe Green","#70B580","palegreen3"
"Tristar Polyester","Color #2125","Coral Sands","#F0AB82","lightsalmon"
"Tristar Polyester","Color #2126","Purple Impression","#8F91B0","gray57"
"Tristar Polyester","Color #2127","Nightshadow Blue","#4F5466","gray33"
"Tristar Polyester","Color #2128","Fall Leaf","#C2A86B","darkkhaki"
"Tristar Polyester","Color #2130","Pink Champagne","#F0D9C7","antiquewhite2"
"Tristar Polyester","Color #2133","Silver Lake Blue","#6987B3","lightslategray"
"Tristar Polyester","Color #2134","Dusk Blue","#7A99B8","skyblue3"
"Tristar Polyester","Color #2135","Flint Stone","#707885","lightsteelblue4"
"Tristar Polyester","Color #2137","Cloud Blue","#ADBABA","gray73"
"Tristar Polyester","Color #2141","Nightshadow Blue","#4F5466","gray33"
"Tristar Polyester","Color #2142","Federal Blue","#4D638A","skyblue4"
"Tristar Polyester","Color #2144","Acorn","#7A5E52","lightpink4"
"Tristar Polyester","Color #2145","Forget-Me-Not","#8FB0BF","lightskyblue3"
"Tristar Polyester","Color #2146","Allure","#738AB3","lightslategray"
"Tristar Polyester","Color #2148","Opal Blue","#C7DED1","gray82"
"Tristar Polyester","Color #2149","Cranberry","#BA4F4F","indianred3"
"Tristar Polyester","Color #2150","Chrysanthemum","#B8474D","indianred3"
"Tristar Polyester","Color #2151","Burnt Coral","#F28F78","lightsalmon2"
"Tristar Polyester","Color #2154","Dull Blue","#618A99","paleturquoise4"
"Tristar Polyester","Color #2155","Medium Gray","#918785","seashell4"
"Tristar Polyester","Color #2156","Silver Rose","#968C94","gray58"
"Tristar Polyester","Color #2158","Freesia","#F0BD21","goldenrod2"
"Tristar Polyester","Color #2159","Mellow Yeloow","#F2E09C","khaki"
"Tristar Polyester","Color #2160","Sunshine","#F7E07D","lightgoldenrod"
"Tristar Polyester","Color #2161","Bisque","#F0CCB5","peachpuff2"
"Tristar Polyester","Color #2162","Evening Sand","#E3BAA3","bisque3"
"Tristar Polyester","Color #2164","Pink Sand","#E0B091","burlywood"
"Tristar Polyester","Color #2165","Deep Sea Coral","#D65E54","indianred"
"Tristar Polyester","Color #2166","Viola","#AB8FB5","gray67"
"Tristar Polyester","Color #2167","Persian Violet","#8F8AB0","gray56"
"Tristar Polyester","Color #2170","Plum Wine","#6B4D52","gray32"
"Tristar Polyester","Color #2171","Dusty Cedar","#B36359","indianred"
"Tristar Polyester","Color #2172","Mahogany","#8A5447","lightsalmon4"
"Tristar Polyester","Color #2175","Lagoon","#4A9E99","cadetblue"
"Tristar Polyester","Color #2177","Almost Aqua","#C9D1BD","ivory3"
"Tristar Polyester","Color #2180","Kelp","#998763","wheat4"
