"source","id","name","color","r_color"
"Tristar Rayon","Color #100","Pink","#DEA696","peachpuff3"
"Tristar Rayon","Color #101","Cerise","#F5A3A6","lightpink2"
"Tristar Rayon","Color #102","Petunia","#ED8CA6","palevioletred2"
"Tristar Rayon","Color #103","Flesh","#DECFBA","bisque2"
"Tristar Rayon","Color #104","Fuchsia","#BA425E","maroon"
"Tristar Rayon","Color #105","Azalea","#ED8594","palevioletred2"
"Tristar Rayon","Color #106","Dusty Rose","#E3ADB5","pink2"
"Tristar Rayon","Color #107","Cabernet","#D18785","lightpink3"
"Tristar Rayon","Color #108","Warm Pink","#E8BAB3","rosybrown2"
"Tristar Rayon","Color #109","Light Pink","#F0DED4","antiquewhite2"
"Tristar Rayon","Color #110","Blush","#E6CCC9","mistyrose2"
"Tristar Rayon","Color #111","Petal Pink","#F0C2C7","pink"
"Tristar Rayon","Color #112","Lady Pink","#EDC2C9","pink"
"Tristar Rayon","Color #113","Rose","#E399A1","rosybrown3"
"Tristar Rayon","Color #114","Ruby","#CC6387","palevioletred3"
"Tristar Rayon","Color #115","Berry","#AD6B75","rosybrown4"
"Tristar Rayon","Color #116","Hot Pink","#DE7899","palevioletred"
"Tristar Rayon","Color #117","Easter Pink","#FC9E9C","lightpink2"
"Tristar Rayon","Color #118","Carnation","#D1788C","palevioletred3"
"Tristar Rayon","Color #119","Rost Tint","#E399A1","rosybrown3"
"Tristar Rayon","Color #120","Salmon","#D9A199","rosybrown3"
"Tristar Rayon","Color #121","Wild Pink","#FAABBA","lightpink1"
"Tristar Rayon","Color #122","Perfect Ruby","#996370","pink4"
"Tristar Rayon","Color #123","Passion","#CC6387","palevioletred3"
"Tristar Rayon","Color #124","Whisper Pink","#F5D9D1","mistyrose2"
"Tristar Rayon","Color #125","Soft Pink","#F2D4D6","mistyrose2"
"Tristar Rayon","Color #126","New Berry","#AD6B75","rosybrown4"
"Tristar Rayon","Color #127","Floral Pink","#EDD1C2","bisque2"
"Tristar Rayon","Color #128","Passion Rose","#AD6B75","rosybrown4"
"Tristar Rayon","Color #129","Marsh Rose","#9E6166","lightpink4"
"Tristar Rayon","Color #131","Carnival Burgundy","#946E70","rosybrown4"
"Tristar Rayon","Color #132","Flamingo Pink","#E37382","lightcoral"
"Tristar Rayon","Color #200","Foxy","#C74D59","indianred3"
"Tristar Rayon","Color #201","Regal","#BA615C","indianred"
"Tristar Rayon","Color #203","Red","#BD5747","coral3"
"Tristar Rayon","Color #204","Blossom","#CC6370","indianred"
"Tristar Rayon","Color #205","Punch","#CC6387","palevioletred3"
"Tristar Rayon","Color #206","Apple","#A84F4F","sienna"
"Tristar Rayon","Color #208","Wild Fire","#BA4F4F","indianred3"
"Tristar Rayon","Color #209","Scarlet","#B3544F","indianred3"
"Tristar Rayon","Color #210","Candy Apple","#B5595E","indianred"
"Tristar Rayon","Color #211","Cranberry","#A66961","rosybrown4"
"Tristar Rayon","Color #212","Black Rose","#8C595E","lightpink4"
"Tristar Rayon","Color #213","Cherry","#D16B70","palevioletred3"
"Tristar Rayon","Color #214","Fire Red","#C74D59","indianred3"
"Tristar Rayon","Color #215","Hot Red","#CC6370","indianred"
"Tristar Rayon","Color #216","Red Maroon","#A66961","rosybrown4"
"Tristar Rayon","Color #217","Japonica","#E88782","lightcoral"
"Tristar Rayon","Color #218","Festive Pink","#D1788C","palevioletred3"
"Tristar Rayon","Color #219","Spectrum Red","#CC6370","indianred"
"Tristar Rayon","Color #220","Egyptian Pink","#E37373","salmon"
"Tristar Rayon","Color #221","Copper Glow","#BD5747","coral3"
"Tristar Rayon","Color #222","Fire Clay","#B0664F","salmon3"
"Tristar Rayon","Color #297","Fury","#B55C42","coral3"
"Tristar Rayon","Color #300","Burgundy","#8F5E4D","lightsalmon4"
"Tristar Rayon","Color #301","Maroon","#7D5C59","lightpink4"
"Tristar Rayon","Color #302","Wine","#8C6654","burlywood4"
"Tristar Rayon","Color #303","Dark Maroon","#785E57","gray37"
"Tristar Rayon","Color #304","Mocha","#87696B","rosybrown4"
"Tristar Rayon","Color #305","Carmine","#BF7A6B","lightsalmon3"
"Tristar Rayon","Color #310","Bisque","#EDD1C2","bisque2"
"Tristar Rayon","Color #311","Light Peach","#E8BAB3","rosybrown2"
"Tristar Rayon","Color #312","Peach","#E39987","darksalmon"
"Tristar Rayon","Color #313","Melon","#DB9682","darksalmon"
"Tristar Rayon","Color #314","Dark Melon","#D1806E","lightsalmon3"
"Tristar Rayon","Color #315","Tawny","#E8B596","burlywood2"
"Tristar Rayon","Color #316","Papaya","#EBAD94","burlywood2"
"Tristar Rayon","Color #317","Fantasy Pink","#EDBAB0","rosybrown2"
"Tristar Rayon","Color #318","Coral Pink","#E3B3B0","rosybrown2"
"Tristar Rayon","Color #319","Rosy Flesh","#D9A199","rosybrown3"
"Tristar Rayon","Color #320","Blushing Pink","#F5B0A3","rosybrown2"
"Tristar Rayon","Color #321","Charade","#E3BAA3","bisque3"
"Tristar Rayon","Color #322","Damask Rose","#EDBAB0","rosybrown2"
"Tristar Rayon","Color #323","Misty Rose","#CC9494","lightpink3"
"Tristar Rayon","Color #324","Sherry","#946E70","rosybrown4"
"Tristar Rayon","Color #325","Intense Maroon","#735C63","gray39"
"Tristar Rayon","Color #401","Lavender","#8C707D","mistyrose4"
"Tristar Rayon","Color #402","Dark Violet","#BA8FA6","rosybrown"
"Tristar Rayon","Color #403","Purple","#8F73A6","thistle4"
"Tristar Rayon","Color #404","Violet","#F0C2C7","pink"
"Tristar Rayon","Color #405","Lilac","#8F8294","gray56"
"Tristar Rayon","Color #406","Tulip","#A8A1B8","gray66"
"Tristar Rayon","Color #407","Mauve","#8F8294","gray56"
"Tristar Rayon","Color #408","Hyachinthe","#876178","pink4"
"Tristar Rayon","Color #409","Mulberry","#8C707D","mistyrose4"
"Tristar Rayon","Color #410","Orchid","#D6C4BF","seashell3"
"Tristar Rayon","Color #411","Violet Mist","#D4B5BD","mistyrose3"
"Tristar Rayon","Color #412","Port Wine","#756978","gray46"
"Tristar Rayon","Color #413","Dark Purple","#8C707D","mistyrose4"
"Tristar Rayon","Color #414","Asian Grape","#696187","slategray4"
"Tristar Rayon","Color #415","Blue Violet","#6E6366","gray40"
"Tristar Rayon","Color #416","Purple Twist","#70618F","lightsteelblue4"
"Tristar Rayon","Color #417","Purple Mist","#877D99","thistle4"
"Tristar Rayon","Color #418","Antarctic Blue","#707885","lightsteelblue4"
"Tristar Rayon","Color #419","Lake Blue","#8F9CB8","gray61"
"Tristar Rayon","Color #420","Cotton Candy","#ABB5CC","lightsteelblue3"
"Tristar Rayon","Color #421","Cool Blue","#736E6B","gray43"
"Tristar Rayon","Color #422","Light Midnight","#6E6375","gray43"
"Tristar Rayon","Color #423","Velvet Maroon","#8C707D","mistyrose4"
"Tristar Rayon","Color #424","Rich Plum","#967A99","thistle4"
"Tristar Rayon","Color #425","Plum","#B87D8F","rosybrown"
"Tristar Rayon","Color #426","Satin Wine","#AD99A1","gray63"
"Tristar Rayon","Color #427","Clove Dust","#BAA396","rosybrown"
