"source","id","name","color","r_color"
"Vyapar Rayon","Color #V11000","Black","#1C2730","gray15"
"Vyapar Rayon","Color #V11001","Bright White","#F5F0E3","linen"
"Vyapar Rayon","Color #V11002","Bright White","#F5F2E3","beige"
"Vyapar Rayon","Color #V11003","Natural White","#F0EDE4","ivory2"
"Vyapar Rayon","Color #V11010","Vapor","#DFDBD2","gray86"
"Vyapar Rayon","Color #V11011","Traditional Gray","#AEAFAB","gray68"
"Vyapar Rayon","Color #V11012","Pastel Blue","#C6D0D6","azure3"
"Vyapar Rayon","Color #V11013","Rosewater","#FDDDD6","antiquewhite"
"Vyapar Rayon","Color #V11014","Orchid Pink","#FBBFC3","rosybrown1"
"Vyapar Rayon","Color #V11015","Desert Bloom","#F7C0BE","rosybrown1"
"Vyapar Rayon","Color #V11016","Emily Pink","#FAB0AE","lightpink1"
"Vyapar Rayon","Color #V11017","Peach","#F9C8AC","peachpuff2"
"Vyapar Rayon","Color #V11018","Flesh Pink","#FABAAB","rosybrown2"
"Vyapar Rayon","Color #V11019","Flesh Pink","#FABAAB","rosybrown2"
"Vyapar Rayon","Color #V11020","Flamingo","#FAA68C","lightsalmon"
"Vyapar Rayon","Color #V11021","Old Dark Tex Orange","#A73F10","chocolate4"
"Vyapar Rayon","Color #V11022","Medium Yellow","#F5EE7E","khaki2"
"Vyapar Rayon","Color #V11023","Lemon","#F6ED48","khaki2"
"Vyapar Rayon","Color #V11024","Buttercup","#FEC81F","goldenrod1"
"Vyapar Rayon","Color #V11025","Pollen Gold","#E0AA0F","darkgoldenrod2"
"Vyapar Rayon","Color #V11026","Glow","#FED980","lightgoldenrod2"
"Vyapar Rayon","Color #V11027","Cadet Blue","#C4DAE2","lightsteelblue2"
"Vyapar Rayon","Color #V11028","Caribbean Blue","#76AADC","skyblue3"
"Vyapar Rayon","Color #V11029","Dolphin Blue","#3A75C4","royalblue3"
"Vyapar Rayon","Color #V11030","Lake Blue","#AFBDDC","lightsteelblue"
"Vyapar Rayon","Color #V11031","Carnatio","#EAACC5","pink2"
"Vyapar Rayon","Color #V11032","Iris","#AA74C0","mediumpurple"
"Vyapar Rayon","Color #V11033","Mulberry","#66136D","darkorchid4"
"Vyapar Rayon","Color #V11034","Burgundy","#A60445","deeppink4"
"Vyapar Rayon","Color #V11035","Warm Wine","#661F2B","brown4"
"Vyapar Rayon","Color #V11036","Dark Sepia","#5C2625","brown4"
"Vyapar Rayon","Color #V11037","Tuxedo Red","#D72A29","firebrick3"
"Vyapar Rayon","Color #V11038","Red Bittersweet","#9B311C","brown"
"Vyapar Rayon","Color #V11039","Red Berry","#B12726","firebrick"
"Vyapar Rayon","Color #V11040","Silvery Gray","#8C8A85","ivory4"
"Vyapar Rayon","Color #V11041","Metal","#676D6F","gray43"
"Vyapar Rayon","Color #V11042","Imperial Blue","#345686","steelblue4"
"Vyapar Rayon","Color #V11043","Black","#1C2730","gray15"
"Vyapar Rayon","Color #V11044","Navy","#15203D","gray12"
"Vyapar Rayon","Color #V11045","Seafrost","#86DFD2","darkslategray3"
"Vyapar Rayon","Color #V11046","Pale Green","#7BD2B6","darkslategray3"
"Vyapar Rayon","Color #V11047","Mint","#B4E2C0","darkseagreen2"
"Vyapar Rayon","Color #V11048","Green Dust","#7FBB00","chartreuse3"
"Vyapar Rayon","Color #V11049","Spruce","#AADD6E","darkolivegreen2"
