"source","id","name","color","r_color"
"Wonderfil Poly","Color #1007","Light Silky Pink","#FFD7DD","mistyrose"
"Wonderfil Poly","Color #1012","Salmon Pink","#E46C58","coral2"
"Wonderfil Poly","Color #1017","Dark Cherry","#9E0239","deeppink4"
"Wonderfil Poly","Color #1020","Light Flesh","#FFE8DA","antiquewhite1"
"Wonderfil Poly","Color #1021","Flesh","#FE59B8","hotpink"
"Wonderfil Poly","Color #1022","Barely Pink","#F1DFD0","antiquewhite2"
"Wonderfil Poly","Color #1023","Soft Demure","#E7CCBC","bisque2"
"Wonderfil Poly","Color #1025","Demure","#EDCCC0","bisque2"
"Wonderfil Poly","Color #1026","Satin Wine","#F1DDF2","thistle2"
"Wonderfil Poly","Color #1028","Soft Mauve","#FFBCDD","pink"
"Wonderfil Poly","Color #1029","Light Mauve","#FFB1DA","pink1"
"Wonderfil Poly","Color #1030","Medium Plum","#DA80A1","palevioletred2"
"Wonderfil Poly","Color #1031","Deep Passion","#CB0045","deeppink3"
"Wonderfil Poly","Color #1033","Medium Orange","#FF8B3D","sienna1"
"Wonderfil Poly","Color #1034","Dark Orange","#EF6E18","chocolate2"
"Wonderfil Poly","Color #1035","Rust Pink","#D65E55","indianred"
"Wonderfil Poly","Color #1038","Medium Fuschia","#B60156","deeppink4"
"Wonderfil Poly","Color #1039","Dark Fuschia","#860100","darkred"
"Wonderfil Poly","Color #1051","Wild Pink","#F779BD","hotpink1"
"Wonderfil Poly","Color #1052","Curry Gold","#FE9B95","lightsalmon"
"Wonderfil Poly","Color #1072","Orange","#F58826","chocolate1"
"Wonderfil Poly","Color #1074","Deep Orange","#FF5400","orangered"
"Wonderfil Poly","Color #1077","Wild Fuschia","#CE014F","deeppink3"
"Wonderfil Poly","Color #1078","Plush Velvet","#811D42","violetred4"
"Wonderfil Poly","Color #1081","Light Tulip","#EDBDE8","plum2"
"Wonderfil Poly","Color #1083","Dark Tulip","#B685B3","gray70"
"Wonderfil Poly","Color #1084","Bright Tulip","#FFB9F8","plum1"
"Wonderfil Poly","Color #1085","Deep Mauve","#CB50AF","hotpink3"
"Wonderfil Poly","Color #1086","Dark Grenandine","#C00566","deeppink3"
"Wonderfil Poly","Color #1087","Light Grenandine","#DE4F8C","violetred2"
"Wonderfil Poly","Color #1088","Poppy Red","#C12929","firebrick3"
"Wonderfil Poly","Color #1089","Coral Red","#D33E57","indianred3"
"Wonderfil Poly","Color #1091","Satin Red","#F63434","firebrick1"
"Wonderfil Poly","Color #1094","Burgundy","#940F5A","deeppink4"
"Wonderfil Poly","Color #1095","Deep Burgundy","#9E1163","maroon4"
"Wonderfil Poly","Color #1096","Bright Mulberry","#8A2B75","hotpink4"
"Wonderfil Poly","Color #1097","Mulberry","#9D45B4","darkorchid"
"Wonderfil Poly","Color #1098","Dark Mulberry","#72226B","maroon4"
"Wonderfil Poly","Color #1099","Dark Plum","#651E41","violetred4"
"Wonderfil Poly","Color #2101","Ice Blue","#C6E4EF","slategray1"
"Wonderfil Poly","Color #2102","Light Denim","#A512D4","darkviolet"
"Wonderfil Poly","Color #2104","Seashell Blue","#A3D0EF","lightskyblue2"
"Wonderfil Poly","Color #2106","Dark Seashell Blue","#8BC0DB","lightskyblue3"
"Wonderfil Poly","Color #2107","Lake Blue","#72D1CB","darkslategray3"
"Wonderfil Poly","Color #2109","Seashell Blue","#7CC8EB","skyblue2"
"Wonderfil Poly","Color #2110","Dark Seashell Blue","#3C9BBF","steelblue3"
