"source","id","name","color","r_color"
"Wonderfil Rayon","Color #1101","Light Pink","#F8E8E8","linen"
"Wonderfil Rayon","Color #1102","Soft Pink","#F8DBDF","mistyrose"
"Wonderfil Rayon","Color #1103","Strawberry Cream","#FDA0AB","lightpink2"
"Wonderfil Rayon","Color #1104","Pink Mist","#FE86A1","palevioletred1"
"Wonderfil Rayon","Color #1105","Med Rose","#EE6788","hotpink2"
"Wonderfil Rayon","Color #1106","Pansy Pink","#DC4161","indianred"
"Wonderfil Rayon","Color #1107","Dusty Rose","#DA9092","lightpink3"
"Wonderfil Rayon","Color #1108","Dark Rose","#B8575E","indianred"
"Wonderfil Rayon","Color #1109","Bright Rose","#A44A54","palevioletred4"
"Wonderfil Rayon","Color #1110","Deep Rose","#943843","indianred4"
"Wonderfil Rayon","Color #1111","Soft Fuschia","#FFC2C7","pink"
"Wonderfil Rayon","Color #1112","Light Fuschia","#D38EA1","pink3"
"Wonderfil Rayon","Color #1113","Ice Pink","#97FBBD","palegreen"
"Wonderfil Rayon","Color #1114","Hot Pink","#EA3174","violetred3"
"Wonderfil Rayon","Color #1115","Wild Pink","#DA5084","hotpink3"
"Wonderfil Rayon","Color #1116","Deep Pink","#B32783","mediumvioletred"
"Wonderfil Rayon","Color #1117","Dark Fuschia","#9F0760","deeppink4"
"Wonderfil Rayon","Color #1118","Soft Mauve","#E6B4C9","rosybrown2"
"Wonderfil Rayon","Color #1119","Light Mauve","#E597C7","plum3"
"Wonderfil Rayon","Color #1120","Med Mauve","#C56A93","palevioletred3"
"Wonderfil Rayon","Color #1121","Deep Mauve","#CF66A4","hotpink3"
"Wonderfil Rayon","Color #1122","Deep Passion","#A11A80","mediumvioletred"
"Wonderfil Rayon","Color #1123","Light Burgundy","#800158","deeppink4"
"Wonderfil Rayon","Color #1124","Dark Burgundy","#6E0045","deeppink4"
"Wonderfil Rayon","Color #1125","Light Peach","#EFE8DC","seashell2"
"Wonderfil Rayon","Color #1126","Opal Mist","#FDD0B3","peachpuff"
"Wonderfil Rayon","Color #1127","Flesh Pink","#FA9F8D","lightsalmon"
"Wonderfil Rayon","Color #1128","Bashful Pink","#DB5E64","indianred"
"Wonderfil Rayon","Color #1129","Rust Pink","#B85940","coral3"
"Wonderfil Rayon","Color #1130","Watermelon","#F63E5C","brown1"
"Wonderfil Rayon","Color #1131","Soft Mocha","#DBB2A5","bisque3"
"Wonderfil Rayon","Color #1132","Med Mocha","#D18F92","lightpink3"
"Wonderfil Rayon","Color #1133","Deep Mocha","#C57679","palevioletred3"
"Wonderfil Rayon","Color #1134","Pink Snow","#FFCCB0","navajowhite"
"Wonderfil Rayon","Color #1135","Sugar Plum","#F9A179","lightsalmon"
