"id","min_color","med_color","max_color","r_color"
"00292","#E2CF58","#F1E068","#FDF47D","lightgoldenrod"
"00293","#E2C432","#EED842","#FDED52","goldenrod2"
"00295","#E5B925","#F6DB3A","#FEF151","goldenrod1"
"00305","#DAAA17","#F3D530","#FEEB4D","goldenrod1"
"00297","#DF9F14","#E9B51C","#FACB2F","goldenrod2"
"00298","#DD9112","#E99F17","#F8C32B","darkgoldenrod2"
"00288","#E4D024","#EDDE31","#FCF03C","goldenrod2"
"00289","#E5CB18","#F1DA23","#FDEE36","goldenrod1"
"00290","#E7B50E","#FBD215","#FDE628","gold"
"00291","#E8A90F","#F8C210","#FCD42B","darkgoldenrod1"
"00275","#DCCF95","#E8DEAA","#FFFCCB","palegoldenrod"
"00386","#E5CE85","#EEE095","#FEF3AB","khaki"
"00300","#E4C866","#F0DE7B","#FCF293","lightgoldenrod"
"00301","#DEB13D","#EFC84B","#F8E068","tan2"
"00302","#DA8629","#F09F35","#FABD4F","tan2"
"00303","#CE661B","#E97F27","#F8A53C","chocolate2"
"00304","#C74F1C","#DB5D21","#EA6D28","chocolate"
"00313","#D36B2D","#DF7C39","#F59147","sienna2"
"00314","#D2531F","#DD5E24","#EE712D","chocolate"
"00316","#C13C1D","#CB4621","#E0532A","tomato3"
"00925","#B72F1E","#CE3A23","#E44C2D","brown3"
"00323","#CE422F","#DE5138","#F26544","tomato3"
"00328","#C13834","#D3453D","#EB574C","tomato3"
"00329","#CA2B2A","#DA342F","#EE4739","brown3"
"00330","#BD2722","#CB2F27","#E23A2D","firebrick3"
"00332","#C32621","#CD2D25","#E3382A","firebrick3"
"00333","#C21F22","#D12826","#E5312B","firebrick3"
"00334","#BD1B21","#CC2224","#E02A2A","firebrick3"
"00335","#B71B1F","#C32023","#DB2729","firebrick3"
"00891","#BF7D29","#DC9E3A","#EFBB4D","goldenrod"
"00890","#A16424","#C38031","#EFA64A","peru"
"00901","#854A1A","#9F5C28","#D6863A","sienna"
"00308","#853F1A","#A65724","#D37335","sienna"
"00309","#75371B","#894422","#A65B37","sienna4"
"00310","#5F291A","#6E3523","#85422F","tomato4"
"00306","#B26C19","#D28520","#EEA337","chocolate"
"00307","#AE5F1A","#C97825","#EA9231","chocolate3"
"00361","#C08F48","#E4B55E","#FCE18B","sandybrown"
"00311","#D28331","#EA9F41","#FAC560","tan2"
"00363","#BB6221","#CE7532","#F3973D","sienna3"
"00365","#86411C","#9A5027","#BE662F","sienna"
"00372","#A87340","#C38D52","#F1BC71","peru"
"00373","#82502C","#98663F","#C98B57","lightsalmon4"
"00374","#804626","#9D5E36","#CF8351","sienna"
"00375","#6B391F","#864C2A","#B96C40","sienna4"
"00944","#5D2D1C","#683824","#804B35","tomato4"
"00942","#BC9346","#D4A757","#F2D876","sandybrown"
"00943","#976530","#AD793D","#D69951","peru"
"00362","#C07332","#D5853C","#F0AD57","peru"
"00367","#C0784A","#DB9863","#F9C185","lightsalmon2"
"00368","#AB5C35","#C67347","#F19861","salmon3"
"01045","#9F5429","#B56632","#E08941","sienna3"
"01046","#8B461E","#A0542C","#C26C37","sienna"
"01002","#CB5822","#D9692C","#EC833B","chocolate"
"01001","#B2481D","#C35628","#D96A33","tomato3"
"01003","#C14027","#D44F2F","#ED683F","tomato3"
"00324","#BF3724","#CE4429","#E45733","brown3"
"00326","#90231E","#9C2922","#BA382D","brown"
"01004","#8C251F","#962B23","#B5372A","brown4"
"00340","#6B1A1D","#751F23","#94282C","brown4"
"00276","#DCB28F","#E9C7A4","#FBE3BE","navajowhite2"
"00366","#D09158","#DFA366","#F8C17F","sandybrown"
"00369","#953F2B","#B15439","#D36D50","sienna"
"00370","#722C1F","#81382A","#B3503A","tomato4"
"00371","#672621","#713027","#8D3D35","tomato4"
"00881","#CC8C62","#E2A376","#F7C598","darksalmon"
"00347","#A95638","#B86544","#DA8359","coral3"
"00349","#8C2F21","#9A3828","#BB4A33","tomato4"
"00355","#792D22","#89362C","#A64538","tomato4"
"00357","#521E1C","#5B2523","#7A3532","brown4"
"01047","#C85E2C","#D86E36","#EE8845","sienna3"
"01048","#A63624","#B7422B","#DF5D38","sienna"
"01049","#902D1C","#A13926","#BF4933","brown"
"00351","#681F1F","#702423","#862C2D","brown4"
"00352","#521C1C","#622023","#812B2E","brown4"
"01009","#E2BD92","#FAE1BA","#FEFAD7","wheat1"
"00933","#C69679","#DAAC8C","#F5C9A6","tan"
"00378","#7D4E40","#906454","#BC836B","burlywood4"
"00379","#704439","#835447","#B07667","lightsalmon4"
"00936","#542725","#602F2C","#6F3C38","gray18"
"00358","#50221D","#612D28","#81443D","tomato4"
"00359","#3F1E1A","#4A2422","#643430","gray14"
"00360","#381C19","#3E2220","#4C2C2B","gray13"
"00380","#2B1718","#301C1D","#46292B","gray11"
"00381","#241615","#261919","#2F1F20","gray10"
"00382","#241717","#271B1C","#322526","gray11"
"01080","#B98362","#D7A47D","#F9C7A1","burlywood3"
"01082","#875F4B","#A97E66","#D4AA8C","wheat4"
"01084","#764939","#835748","#C5876D","lightsalmon4"
"01086","#413028","#4C3A32","#725749","gray23"
"01088","#2E1F1C","#322421","#4A3835","gray14"
"01011","#E0B796","#EED2B5","#FDF6E2","bisque2"
"01012","#DD997C","#EEB799","#F6D8C3","burlywood2"
"00868","#BB5A4D","#DE7A69","#F79E87","lightsalmon3"
"09575","#B84941","#D96759","#F38A78","indianred"
"01013","#9D3937","#AC4640","#D26058","sienna"
"05975","#832126","#90292F","#AE353A","brown4"
"01014","#6D1820","#7D1F28","#912833","brown4"
"01010","#E1B17F","#EDCA98","#FDE8B5","burlywood2"
"00336","#BB5042","#DD7159","#F6987B","salmon3"
"00337","#A83A35","#C54D42","#F37762","tomato3"
"00338","#9E292E","#B53A37","#CF4A45","brown3"
"00339","#831E21","#90292B","#AB3537","brown4"
"00341","#5F191C","#6B1B21","#801F27","firebrick4"
"00778","#D59D7C","#E5B793","#F9D5B0","burlywood"
"00882","#B05244","#CF6D57","#F4967F","salmon3"
"00883","#903A31","#B35045","#E77A62","coral3"
"00884","#852C27","#92352F","#AE443D","coral4"
"00880","#D49675","#E0B190","#F9D8B8","burlywood"
"04146","#C9806A","#E09B82","#F7BBA4","darksalmon"
"01008","#B06352","#C77662","#EC9E81","lightsalmon3"
"00914","#924538","#AD5B4B","#D97C64","coral3"
"01007","#76332F","#8A453F","#B15D54","salmon4"
"00376","#A6765F","#C09076","#E9B999","rosybrown"
"00892","#D7A493","#E1B3A1","#F6D5C4","bisque3"
"00893","#C57173","#D88887","#F4ADAB","lightpink3"
"00894","#B84E5C","#C85D6A","#EE7D87","indianred"
"00895","#A6364B","#BF465D","#F06F84","indianred"
"01027","#892137","#A03449","#CB4A62","indianred4"
"00896","#741E33","#7D253B","#963149","indianred4"
"01019","#6E2537","#7A2E43","#913A53","indianred4"
"00897","#3D0F1D","#421221","#4E1529","gray13"
"01026","#D9A29D","#F2C8C1","#FDEEEF","rosybrown1"
"01021","#CF6E76","#E08086","#F39EA2","lightcoral"
"01022","#C34A57","#D25C64","#E4717A","indianred"
"01023","#B62F4A","#C33C54","#DF5468","indianred3"
"01024","#A11D38","#A8263E","#BF344C","brown"
"01025","#891628","#981C30","#B3233B","brown"
"01015","#66161F","#771B27","#902634","brown4"
"00006","#E48982","#ED9E94","#F8B6B0","lightpink2"
"00008","#D66365","#E67878","#F39290","lightcoral"
"00009","#C74049","#D64D53","#F06C6D","indianred3"
"00010","#BB283A","#C73041","#DA414F","brown3"
"00011","#AE1C31","#C2263A","#E43748","brown3"
"00013","#8C1626","#991C2C","#B92537","brown"
"00031","#CF3A62","#DD4770","#ED5984","violetred3"
"00033","#CA2447","#D52B51","#EA3F60","brown3"
"00035","#B91635","#C91B3A","#DB2441","brown3"
"01098","#B6182C","#BF1C30","#C92033","firebrick"
"00046","#AA1826","#BA1B2C","#CE2333","firebrick"
"09046","#971623","#A91C2C","#CD2335","brown"
"00047","#871424","#921A29","#A91F33","brown4"
"00019","#811627","#89192B","#A12036","brown4"
"00020","#61151F","#6A1A24","#84202E","brown4"
"00022","#4D141B","#521820","#681D2A","gray12"
"00024","#D56881","#EB8AA5","#F8B4D6","palevioletred2"
"00025","#D34B7D","#E76498","#F38DC2","hotpink2"
"00026","#CF3265","#DE4074","#F06AA0","violetred3"
"00027","#C72459","#D63065","#ED467E","violetred3"
"00028","#B91742","#C41D48","#D92455","brown3"
"00029","#AC1436","#B71A3E","#D02048","firebrick"
"01006","#721324","#80192C","#FFFFFF","brown4"
"01005","#631421","#751B2A","#8F2235","brown4"
"00045","#5D1422","#661A28","#FFFFFF","brown4"
"00023","#DB8093","#F39AB0","#FAC1E2","lightpink2"
"00036","#D45B75","#DE728E","#F396B1","palevioletred"
"00038","#C0184E","#CE2159","#DE3466","deeppink3"
"00042","#8C1434","#9A1D3E","#B0244A","violetred4"
"00040","#CF2363","#DB2F6D","#E6457F","violetred3"
"00041","#C2164E","#D4255D","#EC3970","violetred3"
"00039","#9E1439","#B42046","#D4385D","firebrick"
"00059","#921532","#9E1939","#B21F44","brown"
"00043","#661325","#71182B","#861B34","brown4"
"00044","#621521","#691825","#741B2B","brown4"
"00048","#E4A4B8","#EEB7CC","#FAD5E8","pink1"
"00049","#CD7896","#E693B2","#F9C4E3","lightpink2"
"00050","#D7558B","#F175AD","#F597CF","hotpink2"
"00052","#CD276B","#DC3779","#EA4B8E","violetred3"
"00054","#C91753","#D21E5C","#E32968","deeppink3"
"01094","#DA659C","#E577AF","#F594CC","palevioletred2"
"00055","#D03578","#DF468A","#EE60A1","violetred2"
"00057","#BB1352","#CC1D5D","#DF326E","deeppink3"
"00060","#BE487F","#DB659F","#F590CB","palevioletred"
"00062","#BC195E","#CB276D","#EA418B","violetred3"
"00063","#AC134B","#B71854","#D71F66","maroon"
"00065","#891336","#94183E","#AD1E4A","violetred4"
"00271","#DEB2B0","#EAC8C7","#F4E5E9","mistyrose2"
"00073","#D5829F","#F3AAC8","#F9D0E9","pink2"
"00074","#D26992","#E780AA","#F8A7D6","palevioletred2"
"00075","#CC3674","#D64685","#F163A5","violetred3"
"00076","#A62354","#B52D61","#D9497C","maroon"
"00077","#9E1446","#AE1B50","#C62E63","maroon"
"00078","#90113F","#9E1949","#C3255F","violetred4"
"01028","#73132F","#83183A","#FFFFFF","brown4"
"01020","#D18890","#F2B1B8","#FCE3F0","rosybrown2"
"01016","#A55A75","#B76C88","#DC86A6","palevioletred3"
"01017","#A1516A","#B0607A","#CD7894","hotpink3"
"01018","#743145","#813B52","#AA4E6B","hotpink4"
"00968","#CB7F87","#D88E96","#F3AEB7","lightpink3"
"00969","#A54A66","#C1607B","#E2809C","hotpink3"
"00970","#792849","#933D60","#B4527B","hotpink4"
"00972","#621632","#6C1C3A","#7D2246","brown4"
"01029","#4B152B","#521831","#601E3D","gray19"
"00066","#C03473","#D54C88","#EC61A2","hotpink3"
"00068","#A3194D","#B22158","#CC286B","maroon"
"00069","#761433","#891B3F","#A82752","violetred4"
"00070","#4E1322","#551728","#6A1C32","gray16"
"00072","#48131E","#4C1722","#581B2A","gray13"
"00103","#C68FB5","#D5A2C6","#ECC0DF","plum3"
"00085","#C16096","#D274AE","#EE99CB","palevioletred"
"00086","#B23A7B","#C1458B","#DF6AAF","hotpink3"
"00087","#A2195E","#BC2A74","#D84692","violetred3"
"00088","#97124F","#A9195B","#C5246D","maroon"
"00089","#99124B","#A31753","#BB1B61","violetred4"
"00095","#B377A6","#C48CB9","#E7B5DB","plum3"
"00096","#AE4D8C","#BF61A1","#E587C3","hotpink3"
"00092","#712257","#7B2C64","#963D80","hotpink4"
"00094","#4A1943","#582052","#702666","violetred4"
"00090","#B46896","#C57CAD","#E8A5D5","pink3"
"00097","#75396F","#844785","#A25FA6","orchid4"
"00098","#5E3169","#673972","#804889","mediumorchid4"
"00099","#581D4E","#602659","#6B326A","violetred4"
"00100","#451A40","#4C224C","#632E66","gray29"
"00101","#311B38","#381F40","#FFFFFF","gray22"
"00102","#201A38","#261E3D","#FFFFFF","gray15"
"00869","#8F7080","#B092A3","#D3B7CA","gray64"
"00870","#6F5C75","#806883","#9782A1","plum4"
"00871","#553F56","#5E475F","#785D7C","gray37"
"00872","#46344B","#4E3B53","#6D5473","gray30"
"00873","#362130","#3B2737","#4F374B","gray21"
"00342","#A581AD","#C19FCC","#EBCBE8","plum3"
"00108","#886BA0","#A588BC","#C6ADDC","gray65"
"00109","#5F4B85","#695690","#8069AA","mediumpurple4"
"01030","#2E3A74","#384280","#4A5195","royalblue4"
"00110","#38366E","#423E76","#5E579D","darkslateblue"
"00111","#322657","#382B5C","#42326B","gray22"
"00112","#221F44","#27244C","#332F63","gray15"
"00117","#49669B","#617FB9","#859FD8","steelblue"
"00118","#32457F","#3A4D8C","#5261A6","steelblue4"
"00119","#1E2957","#232E60","#2D3872","midnightblue"
"00941","#1D2C57","#213260","#2D3F77","midnightblue"
"00120","#738FBA","#86A3CA","#99BAE1","lightskyblue3"
"00121","#446392","#5B78AB","#7693CC","lightskyblue4"
"00122","#203B63","#2F4A78","#466099","royalblue4"
"00123","#1B264B","#1F2C52","#293862","gray17"
"00127","#151924","#171C27","#1C2434","gray11"
"00939","#4A5F8D","#566B9A","#6A7EB5","skyblue4"
"00940","#1D3B6E","#234278","#365499","royalblue4"
"00175","#396095","#496DA7","#7BA1DA","skyblue4"
"00176","#274479","#3D548F","#5C71B6","steelblue4"
"00177","#1E2E5D","#213362","#2A3C70","midnightblue"
"00178","#1B254A","#1F294F","#27335F","gray16"
"00144","#507DAB","#5F8AB8","#7BA5D5","steelblue"
"00136","#2B5187","#3A5C97","#5071B5","steelblue4"
"00137","#203F76","#294A86","#FFFFFF","royalblue4"
"00139","#1D2B58","#243567","#FFFFFF","midnightblue"
"00130","#346AA4","#507FBB","#74A1DB","steelblue"
"00131","#21437D","#284987","#34569C","royalblue4"
"00132","#1F3265","#22376D","#2A3F7A","midnightblue"
"00133","#1E2F5D","#223364","#283A71","midnightblue"
"00134","#1B274C","#1E2A52","#233161","midnightblue"
"00140","#2F669B","#4B7EB8","#6CA0D8","steelblue"
"00142","#1F3D74","#284989","#3558A0","royalblue4"
"00143","#1F3263","#23366A","#283F7A","midnightblue"
"00128","#7EA1C8","#91B8DE","#A8D4F1","lightskyblue3"
"00129","#4977AC","#5885BB","#75A0D6","steelblue"
"00145","#355B91","#4268A0","#5880C0","skyblue4"
"00146","#20417A","#2A4A8A","#395BA1","royalblue4"
"00147","#1F3262","#23396C","#2D4685","royalblue4"
"00148","#1B2A4E","#1E2E54","#253966","gray18"
"00149","#182340","#1C2745","#212F54","gray15"
"00150","#161C2E","#182032","#202A40","gray12"
"00152","#16161C","#18191E","#212027","gray10"
"01090","#3376B3","#5392D0","#79BCE8","steelblue3"
"00433","#245A9E","#3B78C0","#619AD8","steelblue"
"01089","#255A9E","#2F65AC","#4371BE","steelblue4"
"00410","#214281","#28488A","#32539B","royalblue4"
"01037","#B6C5C9","#C6D6DB","#EAF5F9","gray84"
"01096","#7892A1","#91ADBB","#B7DDED","lightskyblue3"
"00343","#5F7F9A","#7998B4","#9FC6E8","lightslategray"
"00920","#446D85","#5D88A2","#79A8C9","cadetblue"
"00921","#365467","#456275","#5B809A","steelblue4"
"00922","#324757","#394E5F","#526C81","darkslategray"
"01031","#9AB4C7","#AEC7DA","#D5F0FB","lightsteelblue"
"01032","#7A9CB0","#8DAFC5","#B0D6EF","lightskyblue3"
"01033","#66809E","#7E9CBE","#FFFFFF","skyblue3"
"01034","#35516A","#4A6989","#6B8CB2","skyblue4"
"01035","#1B3350","#2B3E55","#355582","darkslategray"
"01036","#1A3049","#1F3651","#FFFFFF","darkslategray"
"00975","#7493A1","#93B4C1","#BBE5F7","lightskyblue3"
"00976","#61849A","#7295AE","#91B3D1","lightslategray"
